timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
244646260,0.0,0.0,0.0,0.0
244667780,0.0,0.0,0.0,0.0
244670822,0.0,0.0,0.0,0.0
244694086,0.0,0.0,0.0,0.0
244707842,0.0,0.0,0.0,0.0
244729162,0.0,0.0,0.0,0.0
244754220,0.0,0.0,0.0,0.0
244766773,0.0,0.0,0.0,0.0
244791919,0.0,0.0,0.0,0.0
244813629,0.0,0.0,0.0,0.0
244829816,0.0,0.0,0.0,0.0
244848325,0.0,0.0,0.0,0.0
244869385,0.0,0.0,0.0,0.0
244889292,0.0,0.0,0.0,0.0
244908352,0.0,0.0,0.0,0.0
244929763,0.0,0.0,0.0,0.0
244954514,0.0,0.0,0.0,0.0
244973864,0.0,0.0,0.0,0.0
244991185,0.0,0.0,0.0,0.0
245011791,0.0,0.0,0.0,0.0
245032106,0.0,0.0,0.0,0.0
245052104,0.0,0.0,0.0,0.0
245070838,0.0,0.0,0.0,0.0
245093220,0.0,0.0,0.0,0.0
245111710,0.0,0.0,0.0,0.0
245130602,0.0,0.0,0.0,0.0
245149086,0.0,0.0,0.0,0.0
245172237,0.0,0.0,0.0,0.0
245188766,0.0,0.0,0.0,0.0
245209669,0.0,0.0,0.0,0.0
245234239,0.0,0.0,0.0,0.0
245254353,0.0,0.0,0.0,0.0
245271418,0.0,0.0,0.0,0.0
245291112,0.0,0.0,0.0,0.0
245313307,0.0,0.0,0.0,0.0
245332262,0.0,0.0,0.0,0.0
245349188,0.0,0.0,0.0,0.0
245373960,0.0,0.0,0.0,0.0
245394400,0.0,0.0,0.0,0.0
245410682,0.0,0.0,0.0,0.0
245432403,0.0,0.0,0.0,0.0
245453454,0.0,0.0,0.0,0.0
245468725,0.0,0.0,0.0,0.0
245489246,0.0,0.0,0.0,0.0
245513212,0.0,0.0,0.0,0.0
245534391,0.0,0.0,0.0,0.0
245550815,0.0,0.0,0.0,0.0
245573300,0.0,0.0,0.0,0.0
245592517,0.0,0.0,0.0,0.0
245610852,0.0,0.0,0.0,0.0
245632227,0.0,0.0,0.0,0.0
245653992,0.0,0.0,0.0,0.0
245672334,0.0,0.0,0.0,0.0
245691310,0.0,0.0,0.0,0.0
245713159,0.0,0.0,0.0,0.0
245733537,0.0,0.0,0.0,0.0
245748669,0.0,0.0,0.0,0.0
245772383,0.0,0.0,0.0,0.0
245791876,0.0,0.0,0.0,0.0
245809610,0.0,0.0,0.0,0.0
245831787,0.0,0.0,0.0,0.0
245851581,0.0,0.0,0.0,0.0
245874308,0.0,0.0,0.0,0.0
245888406,0.0,0.0,0.0,0.0
245909940,0.0,0.0,0.0,0.0
245932448,0.0,0.0,0.0,0.0
245953602,0.0,0.0,0.0,0.0
245969000,0.0,0.0,0.0,0.0
245991176,0.0,0.0,0.0,0.0
246012240,0.0,0.0,0.0,0.0
246031976,0.0,0.0,0.0,0.0
246050401,0.0,0.0,0.0,0.0
246072859,0.0,0.0,0.0,0.0
246095528,0.0,0.0,0.0,0.0
246111247,0.0,0.0,0.0,0.0
246131963,0.0,0.0,0.0,0.0
246149743,0.0,0.0,0.0,0.0
246170438,0.0,0.0,0.0,0.0
246193105,0.0,0.0,0.0,0.0
246212381,0.0,0.0,0.0,0.0
246233746,0.0,0.0,0.0,0.0
246248245,0.0,0.0,0.0,0.0
246271550,0.0,0.0,0.0,0.0
246293291,0.0,0.0,0.0,0.0
246311390,0.0,0.0,0.0,0.0
246329852,0.0,0.0,0.0,0.0
246352830,0.0,0.0,0.0,0.0
246373687,0.0,0.0,0.0,0.0
246391071,0.0,0.0,0.0,0.0
246410540,0.0,0.0,0.0,0.0
246431492,0.0,0.0,0.0,0.0
246447164,0.0,0.0,0.0,0.0
246469257,0.0,0.0,0.0,0.0
246493132,0.0,0.0,0.0,0.0
246514498,0.0,0.0,0.0,0.0
246529047,0.0,0.0,0.0,0.0
246551433,0.0,0.0,0.0,0.0
246571960,0.0,0.0,0.0,0.0
246586879,0.0,0.0,0.0,0.0
246611443,0.0,0.0,0.0,0.0
246633566,0.0,0.0,0.0,0.0
246652308,0.0,0.0,0.0,0.0
246672401,0.0,0.0,0.0,0.0
246693725,0.0,0.0,0.0,0.0
246713493,0.0,0.0,0.0,0.0
246729080,0.0,0.0,0.0,0.0
246751173,0.0,0.0,0.0,0.0
246772787,0.0,0.0,0.0,0.0
246792933,0.0,0.0,0.0,0.0
246811181,0.0,0.0,0.0,0.0
246833528,0.0,0.0,0.0,0.0
246853278,0.0,0.0,0.0,0.0
246870018,0.0,0.0,0.0,0.0
246889113,0.0,0.0,0.0,0.0
246913667,0.0,0.0,0.0,0.0
246933401,-1.902376e-05,0.00029804162,-3.9933067e-05,0.0
246952530,-6.1248065e-05,0.00072990445,-5.9690665e-05,0.0
246971260,-7.974758e-05,0.0011756406,-7.1315e-05,0.0
246993972,-8.658818e-05,0.0017983394,-9.7412e-05,0.0
247006595,-7.261484e-05,0.0021221107,-7.709954e-05,0.0
247032669,-8.489334e-05,0.0027869602,-7.115603e-05,0.0
247053851,-7.5562755e-05,0.0032397269,-7.8244164e-05,0.0
247072717,-0.00017685875,0.0036351916,-8.396444e-05,0.0
247089882,-0.00021321271,0.0039239842,-0.0001045314,0.0
247111814,-0.00031788534,0.0042496254,-0.00018181255,0.0
247132929,-0.00056724495,0.0045224926,-0.0003065107,0.0
247147180,-0.00055140466,0.0046571908,-0.00037767235,0.0
247169913,-0.00068228255,0.004987224,-0.00044114116,0.0
247192706,-0.0008111568,0.005186491,-0.00047242778,0.0
247212640,-0.00097607664,0.00536878,-0.0005318878,0.0
247231634,-0.0011407248,0.0053708153,-0.00060743577,0.0
247252255,-0.0012720394,0.005115118,-0.0007480801,0.0
247269394,-0.0012398941,0.0046672174,-0.000896292,0.0
247289605,-0.0009925227,0.004140078,-0.001029564,0.0
247311843,-0.0009935383,0.0038196736,-0.0012544643,0.0
247329661,-0.0009277832,0.0036296586,-0.0015575844,0.0
247354178,-0.0009036541,0.0032385718,-0.0019285565,0.0
247371678,-0.0008925949,0.003069662,-0.00219269,0.0
247387787,-0.00082200905,0.0029728275,-0.0024909368,0.0
247414869,-0.001033118,0.002846005,-0.0030433338,0.0
247429489,-0.0010825665,0.0030025824,-0.003341808,0.0
247451284,-0.000961188,0.0031396088,-0.0037861064,0.0
247473381,-0.00056837196,0.00339245,-0.0042848657,0.0
247494190,-0.0001510085,0.0036593976,-0.0047899703,0.0
247512868,0.00024658366,0.0038716218,-0.0052101426,0.0
247531841,0.00081041316,0.0039872266,-0.0057276664,0.0
247554966,0.0012657865,0.0040413914,-0.0064410926,0.0
247569875,0.0015245696,0.0040780837,-0.006935284,0.0
247590315,0.0017825227,0.0038693494,-0.007566211,0.0
247611895,0.0020977652,0.0036899797,-0.00824885,0.0
247633441,0.0022308594,0.0034927372,-0.008954396,0.0
247650097,0.0024182785,0.0033176655,-0.0094524,0.0
247671162,0.002754635,0.0030097084,-0.010142641,0.0
247693461,0.00300286,0.0025176986,-0.010928613,0.0
247710895,0.0031136086,0.0020456368,-0.011596891,0.0
247732669,0.0031802158,0.0012035152,-0.012447079,0.0
247752863,0.003381572,0.0005157022,-0.013162687,0.0
247769414,0.0035472908,-6.871276e-06,-0.013723689,0.0
247791431,0.0035483246,-0.0009332267,-0.014444219,0.0
247811000,0.003494464,-0.0016647655,-0.015106276,0.0
247833761,0.0033237787,-0.002362985,-0.015973395,0.0
247847859,0.0031654486,-0.0027991754,-0.016557837,0.0
247872460,0.0031050427,-0.0036471107,-0.017538255,0.0
247893225,0.0030699284,-0.0043762866,-0.01834309,0.0
247913683,0.003059146,-0.0051181577,-0.01905442,0.0
247931056,0.0030543678,-0.0058252765,-0.019631095,0.0
247950227,0.0028485996,-0.006548281,-0.020251967,0.0
247973785,0.0025645588,-0.0074003986,-0.0209324,0.0
247991295,0.002389369,-0.007992921,-0.021402832,0.0
248011324,0.0021377755,-0.008691008,-0.021849405,0.0
248030854,0.0019049186,-0.009269218,-0.022217698,0.0
248053685,0.0016133873,-0.009943263,-0.0225992,0.0
248068178,0.0014764288,-0.010307383,-0.022794291,0.0
248092164,0.001100417,-0.010825276,-0.02304705,0.0
248112999,0.00079273654,-0.011222945,-0.023206938,0.0
248129831,0.0005452677,-0.011519923,-0.023294726,0.0
248151856,0.00015771532,-0.011865371,-0.023424882,0.0
248173041,-0.0003149275,-0.012269679,-0.023596067,0.0
248191956,-0.00058811205,-0.012526501,-0.023760378,0.0
248211259,-0.0007319525,-0.01268264,-0.02390241,0.0
248233755,-0.0007945944,-0.012865658,-0.024057282,0.0
248253043,-0.0008522814,-0.012908954,-0.0241869,0.0
248269324,-0.0009058944,-0.012950038,-0.02430446,0.0
248291916,-0.0009361662,-0.012988603,-0.024484225,0.0
248313252,-0.000962256,-0.012977373,-0.024657598,0.0
248332223,-0.000994529,-0.013013584,-0.024793545,0.0
248346775,-0.0010101192,-0.013077016,-0.024898684,0.0
248370448,-0.0009934654,-0.013151916,-0.025058836,0.0
248395341,-0.00097339234,-0.01320561,-0.025219064,0.0
248411025,-0.00095562084,-0.013245515,-0.025322469,0.0
248429413,-0.00093867315,-0.013274977,-0.0254358,0.0
248448492,-0.0009293135,-0.013261307,-0.025536476,0.0
248472773,-0.0009069211,-0.013275766,-0.025642183,0.0
248490419,-0.0008541371,-0.013298193,-0.025705772,0.0
248511213,-0.00081565307,-0.013324106,-0.025779696,0.0
248530835,-0.0007880153,-0.013381236,-0.025858982,0.0
248549635,-0.0007251008,-0.013453766,-0.025934959,0.0
248571950,-0.0006563757,-0.01353507,-0.026023284,0.0
248593277,-0.0006186297,-0.013593497,-0.026089508,0.0
248614128,-0.00059275643,-0.013660658,-0.026128406,0.0
248631978,-0.0006130291,-0.0137485415,-0.026147781,0.0
248651752,-0.00058390026,-0.013804062,-0.026181223,0.0
248673623,-0.000557618,-0.013882571,-0.026236238,0.0
248686555,-0.00054547004,-0.013929462,-0.026265347,0.0
248711558,-0.00054466055,-0.013994336,-0.02631358,0.0
248727696,-0.00054894306,-0.014067762,-0.02630867,0.0
248752841,-0.00056447275,-0.014124121,-0.026306845,0.0
248770870,-0.0005610518,-0.014174631,-0.02630054,0.0
248792885,-0.0005466555,-0.01424472,-0.026323099,0.0
248814168,-0.00057311903,-0.01427607,-0.02636098,0.0
