timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
244632808,244599332,67137539,1.3170848e-05,0.0031285998,0.0014209321,0,0.004979594,0.0034721121,0.0008737169,nan,0.0015787849,0.010288862,0.0,0.0,0.0,0.38695,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
244669655,244625962,67137539,1.2027191e-05,0.0032447146,0.0014409121,0,0.004775699,0.0033338645,0.00046969345,nan,0.0010906124,0.008550863,0.0,0.0,0.0,0.38695,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
244838508,244787618,67137539,4.829704e-06,0.0030618007,0.0014549129,0,0.0056236777,0.0039325943,0.00044826884,nan,0.0017958339,0.008344673,0.0,0.0,0.0,0.38695,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
245036864,244993491,28675,9.848358e-06,0.0028209474,0.0014526882,0,0.0054763947,0.0038312043,0.0009053467,nan,0.0031403012,0.009313442,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
245239379,245191829,28675,2.574868e-05,0.0030426725,0.0014772085,0,0.005000433,0.0035010318,0.0007075388,nan,0.0043177865,0.010169301,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
245446481,245395219,28675,1.7294697e-05,0.0045167534,0.0019032059,0,0.0048421454,0.003387442,0.0011159661,nan,0.0009501781,0.019285602,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
245645348,245591245,28675,3.0012514e-05,0.006909559,0.0027143708,0,0.0048885145,0.0034106083,0.000491314,nan,0.0040117474,0.035213973,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
245849278,245802030,28675,2.4524305e-05,0.010157735,0.0041344627,0,0.0053055407,0.0036937844,0.0012348912,nan,0.0023506267,0.050255865,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
246045322,245988995,28675,2.8533474e-05,0.014385859,0.006128489,0,0.0048295334,0.0033790825,0.003025163,nan,0.0063908445,0.04586597,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
246234430,246200079,28675,3.9793416e-05,0.0132840555,0.006150794,0,0.00507182,0.0035302478,0.0015478203,nan,0.0048625185,0.05008375,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
246435864,246384464,28675,2.4270328e-05,0.014598285,0.0068025496,0,0.0046473267,0.003248859,0.000118123855,nan,0.0023693626,0.038600802,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
246641631,246589149,28675,1.5275113e-05,0.010150716,0.005172177,0,0.0052046957,0.0036253186,0.0024081203,nan,0.0022565841,0.037210852,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
246846128,246795048,28675,6.896063e-06,0.0073294053,0.0036466462,0,0.0050655412,0.0035296662,0.00060843554,nan,0.00032951654,0.028795935,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
247041065,246983320,1077379,2.2569224e-05,0.005399897,0.0023945959,0,0.0050516087,0.003524021,0.00024665758,nan,0.002740681,0.02736724,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
247247345,247200603,1077379,8.240332e-05,0.004748594,0.0015189477,0,0.0048052557,0.003355451,6.226512e-05,nan,0.015628792,0.03146226,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
247448872,247397719,1077379,0.00016195151,0.009542083,0.0028536224,0,0.0052684215,0.0036694028,0.0019051887,nan,0.022778442,0.079933904,0.0,0.0,0.0,0.39194,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
247644667,247593487,1077379,0.00013998097,0.008592659,0.003506247,0,0.0052688466,0.0036519677,0.0024970053,nan,0.01122695,0.06304493,0.0,0.0,0.0,0.396928,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
247835520,247784292,1077379,2.3244002e-05,0.0041228533,0.0023893258,0,0.0050222343,0.003487481,0.0013035611,nan,0.0034516512,0.0057281363,0.0,0.0,0.0,0.396928,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
248040147,247992721,1077379,4.555373e-05,0.004490813,0.0010438407,0,0.005125442,0.0035695373,0.0020219074,nan,0.0043697273,0.01236553,0.0,0.0,0.0,0.396928,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
248245754,248199936,1077379,0.000109059794,0.0040907464,0.0012199597,0,0.005189328,0.0036221656,0.00398195,nan,0.014608112,0.009901289,0.0,0.0,0.0,0.396928,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
248442008,248386921,1077379,8.2296916e-05,0.008337778,0.0024740852,0,0.0050855,0.003553894,0.003038367,nan,0.01458277,0.05829964,0.0,0.0,0.0,0.396928,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
