timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
244647644,244641005,0,nan,nan,-0.027177084,0.039787803,-0.13927774,0.36788493,-0.40101236,0.120266795,-0.0011257925,0.00027869747,-0.007221259,-0.005299401,-0.15992807,2.1012235,0.00075247884,-0.0043829144,-0.003030659,-0.01439524,1.4903716,-1.7507709,nan,0.101584055,0.0049026483,0.00341993,0.028503599,0.019605525,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
244669341,244667534,0,nan,nan,-0.027176613,0.039793015,-0.13929987,0.36788493,-0.40101236,0.120266795,-0.001095728,0.00025540404,-0.0070289006,-0.0050193756,-0.15992807,2.1012235,0.00075247884,-0.0052274256,-0.0004335367,-0.010272258,1.4903746,-1.7507709,nan,0.101632394,0.004775699,0.0033338645,0.028164318,0.019403907,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
244740825,244735728,0,nan,nan,-0.027147327,0.039796688,-0.13924068,0.36788493,-0.40101236,0.120266795,-0.00039479206,-0.00015797156,-0.007315824,-0.005012174,-0.15992807,2.1012235,0.00075247884,-0.025789805,0.009514087,-0.07292647,1.4903306,-1.7507709,nan,0.101488926,0.0055875373,0.0038927,0.030058006,0.020743242,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
244838171,244831766,0,nan,nan,-0.027203366,0.039751325,-0.13944794,0.36788493,-0.40101236,0.120266795,-0.0019989247,-0.0015123207,-0.008571368,-0.0059576943,-0.15992807,2.1012235,0.00075247884,0.01376687,-0.044077072,-0.0015175471,1.4900241,-1.7507709,nan,0.10172749,0.0056236777,0.0039325943,0.029527606,0.020524412,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
244937270,244935461,0,nan,nan,-0.027319146,0.03923428,-0.13961901,0.36788493,-0.40101236,0.120266795,-0.0019910987,-0.0063713575,-0.009973188,-0.007045396,-0.15992807,2.1012235,0.00075247884,-0.15046073,0.15822133,-0.081510045,1.4920828,-1.7507709,nan,0.10184155,0.005056583,0.0035455788,0.028423548,0.01968433,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245047116,245045275,0,nan,nan,-0.027472047,0.03930614,-0.13953744,0.36788493,-0.40101236,0.120266795,-0.0031275759,0.0069342055,-0.006525612,-0.0032617252,-0.15992807,2.1012235,0.00075247884,0.08382828,0.18183346,0.11991992,1.491337,-1.7507709,nan,0.101681076,0.0053095864,0.003717161,0.029322375,0.020283012,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245135122,245133733,0,nan,nan,-0.027597126,0.03961785,-0.13945474,0.36788493,-0.40101236,0.120266795,-0.0017968252,0.0044054217,-0.0079232,-0.004409103,-0.15992807,2.1012235,0.00075247884,-0.14040805,0.19851066,-0.035233628,1.4899182,-1.7507709,nan,0.10168704,0.0053819544,0.0037662275,0.02948324,0.020382885,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245239069,245237446,0,nan,nan,-0.027819853,0.039849587,-0.13955286,0.36788493,-0.40101236,0.120266795,-0.0027903472,0.00092535216,-0.011412365,-0.0076679387,-0.15992807,2.1012235,0.00075247884,-0.07755994,0.07286571,-0.2523797,1.4909787,-1.7507709,nan,0.10179115,0.005000433,0.0035010318,0.028519185,0.019650912,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245341410,245339796,0,nan,nan,-0.027811248,0.039900936,-0.13990161,0.36788493,-0.40101236,0.120266795,-0.0030949898,0.004318226,-0.013285432,-0.009266395,-0.15992807,2.1012235,0.00075247884,-0.12892175,-0.09138407,0.061324395,1.4904212,-1.7507709,nan,0.10191593,0.00502136,0.0035102863,0.028715817,0.019783283,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245446031,245444437,0,nan,nan,-0.027704263,0.03992567,-0.14073029,0.36788493,-0.40101236,0.120266795,-0.000670598,-0.00023090572,-0.019011308,-0.01466491,-0.15992807,2.1012235,0.00075247884,0.037602384,-0.25398925,-0.045268387,1.4899067,-1.7507709,nan,0.102561556,0.0048421454,0.003387442,0.02817531,0.019417075,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245542299,245539558,0,nan,nan,-0.027261773,0.03973754,-0.14159964,0.36788493,-0.40101236,0.120266795,0.0041195117,0.0005659751,-0.022205804,-0.017466506,-0.15992807,2.1012235,0.00075247884,0.14200187,0.026418742,-0.07241003,1.4891076,-1.7507709,nan,0.10314993,0.00462247,0.0032330807,0.02780655,0.019102437,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245644630,245639070,0,nan,nan,-0.026905648,0.03963383,-0.14264335,0.36788493,-0.40101236,0.120266795,0.0026032357,0.0007778628,-0.026021417,-0.0206651,-0.15992807,2.1012235,0.00075247884,0.27326345,0.11251118,-0.0070037222,1.4905033,-1.7507709,nan,0.10376074,0.0048885145,0.0034106083,0.028548002,0.019574396,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245743273,245741403,0,nan,nan,-0.026626991,0.03959306,-0.14379397,0.36788493,-0.40101236,0.120266795,0.0017044805,0.0018159834,-0.029751955,-0.02348367,-0.15992807,2.1012235,0.00075247884,0.024576847,0.0034425103,-0.04144984,1.489765,-1.7507709,nan,0.1048182,0.004665864,0.0032568744,0.02792047,0.019182062,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
245849052,245842466,0,nan,nan,-0.026623134,0.039714977,-0.14476548,0.36788493,-0.40101236,0.120266795,0.0019293361,0.0019238387,-0.03208729,-0.02469533,-0.15992807,2.1012235,0.00075247884,0.0022366096,-0.08369583,-0.048614416,1.4894258,-1.7507709,nan,0.10516829,0.0053055407,0.0036937844,0.029326731,0.020115636,inf,inf,inf,inf,1,1,1,1,4,3,2,1,1,1,0,0,0,0,0
