timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
244647818,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.04333,-0.0,-0.0,-0.001,1.4903716,0.0
244669506,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.042175,-0.0,-0.0,-0.001,1.4903746,0.0
244740970,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.0439,-0.0,-0.0,-0.001,1.4903306,0.0
244838362,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.05143,-0.0,-0.0,-0.001,1.4900241,0.0
244937436,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.05984,-0.0,-0.0,-0.001,1.4920828,0.0
245047316,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.039154,-0.0,-0.0,-0.001,1.491337,0.0
245135291,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.04754,-0.0,-0.0,-0.001,1.4899182,0.0
245239248,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.068474,-0.0,-0.0,-0.001,1.4909787,0.0
245341569,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.07971,-0.0,-0.0,-0.001,1.4904212,0.0
245446211,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.11407,-0.0,-0.0,-0.001,1.4899067,0.0
245542466,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.13323,-0.0,-0.0,-0.001,1.4891076,0.0
245644799,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.15613,-0.0,-0.0,-0.001,1.4905033,0.0
245743483,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.17851,-0.0,-0.0,-0.001,1.489765,0.0
245849173,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.19252,-0.0,-0.0,-0.001,1.4894258,0.0
245946712,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.20877,-0.0,-0.0,-0.001,1.4902815,0.0
246045191,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.21765,-0.0,-0.0,-0.001,1.4875306,0.0
246142127,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.21447,-0.0,-0.0,-0.001,1.4902147,0.0
246234315,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.202896,-0.0,-0.0,-0.001,1.4897557,0.0
246347476,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.19349,-0.0,-0.0,-0.001,1.4898117,0.0
246435651,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.17955,-0.0,-0.0,-0.001,1.4899023,0.0
246542042,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.15379,-0.0,-0.0,-0.001,1.4897208,0.0
246641478,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.136665,-0.0,-0.0,-0.001,1.4895,0.0
246741494,nan,nan,nan,nan,nan,1.5,0.0,0.0,109.119415,-0.0,-0.0,-0.001,1.4900534,0.0
246845965,-0.026931906,0.040136307,nan,-1.8883124e-05,1.06059015e-05,1.2999418,-0.0020966486,0.00013282217,7.962732,-0.0,-0.0,-0.07333067,1.4899595,0.0
246940919,-0.026931906,0.040136307,nan,-3.8167836e-05,0.00013028756,0.76601076,-0.0019488807,0.009860011,4.9539742,-3.876034e-05,0.00019610095,-0.19298573,1.4899595,0.0
247040932,-0.026931906,0.040136307,nan,-5.4508822e-05,0.00019101352,0.23216438,-0.0017181525,0.006178296,1.8687487,-5.8405258e-05,0.00021001919,-0.31568184,1.4899595,0.0
247143037,-0.026931906,0.040136307,nan,1.0244176e-05,0.00040597617,-0.3732282,0.024915777,0.02277481,-1.7508829,0.0011654757,0.0010653284,-0.45963073,1.4899595,0.0
247246725,-0.026931906,0.040136307,nan,0.00025984572,0.00069346506,-0.9565846,0.036788832,0.03021589,-5.242739,0.0022413041,0.0018408572,-0.5984981,1.4899595,0.0
247337890,-0.026931906,0.040136307,nan,0.0004615225,0.0007654749,-1.2148143,0.032010328,0.011647319,-6.005067,0.0020504147,0.00074606645,-0.62881505,1.4899595,0.0
247448633,-0.026931906,0.040136307,nan,0.00060921017,0.00065135956,-1.2148143,0.021275826,0.005252027,-5.1992445,0.0012964075,0.00032002365,-0.5967684,1.4899595,0.0
