timestamp,timestamp_sample,wrench[0],wrench[1],wrench[2],wrench[3],wrench[4],wrench[5],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14]
252123353,4547153483028326252,0.0,0.0,0.0,0.0,0.0,0.0,0.8671732,1.0105107,0.9201439,0.9731406,0.0036551226,0.007777266,0.016227365,0.99931526,-0.03650275,0.0060583614,0.03644529,0.999292,0.0093473485,-0.009178929,0.03805588,0.02722358,0.0039002951,-0.017621275,-0.0903472
252130215,4547320329622885593,0.0,0.0,0.0,0.0,0.0,0.0,0.8606375,1.0146701,0.9136866,0.97438353,0.0037679924,0.0074833287,0.015956819,0.99937296,-0.034934312,0.005774076,0.034879714,0.9993484,0.00928839,-0.008803667,0.036793437,0.02799255,0.0032097516,-0.01945291,-0.09474398
252135848,4547015915225795239,0.0,0.0,0.0,0.0,0.0,0.0,0.8661271,1.0070817,0.92139536,0.9688517,0.0038999235,0.0071327966,0.015645623,0.99937296,-0.034934312,0.005774076,0.034879714,0.9993484,0.00928839,-0.008526038,0.040320743,0.029100265,0.009142677,-0.021378513,-0.08395217
252137810,4547236199803472754,0.0,0.0,0.0,0.0,0.0,0.0,0.86020446,1.0125725,0.91452146,0.97237515,0.0038999235,0.0071327966,0.015645623,0.99937296,-0.034934312,0.005774076,0.034879714,0.9993484,0.00928839,-0.008526038,0.040320743,0.029100265,0.009006868,-0.02222727,-0.092180766
252143398,4546902506614323196,0.0,0.0,0.0,0.0,0.0,0.0,0.8713278,1.0042553,0.9200021,0.9665899,0.0038999235,0.0071327966,0.015645623,0.9993956,-0.034313142,0.005576303,0.034261167,0.99937105,0.009151057,-0.008526038,0.040320743,0.029100265,0.014525571,-0.014723577,-0.07982489
252147022,4546890356151830459,0.0,0.0,0.0,0.0,0.0,0.0,0.8733847,1.0039525,0.9177358,0.9652701,0.0038999235,0.0071327966,0.015645623,0.9993956,-0.034313142,0.005576303,0.034261167,0.99937105,0.009151057,-0.008526038,0.040320743,0.029100265,0.019506933,-0.012108226,-0.07898209
252151415,4546929882735854215,0.0,0.0,0.0,0.0,0.0,0.0,0.87198156,1.0049374,0.91502696,0.9651281,0.004086556,0.0066046556,0.0152516365,0.9994281,-0.03338304,0.00541207,0.033334047,0.9994047,0.008896462,-0.011922045,0.04235295,0.028961463,0.024657248,-0.008223499,-0.07911126
252154070,4546862125331773218,0.0,0.0,0.0,0.0,0.0,0.0,0.8749628,1.0032488,0.915426,0.9630656,0.004086556,0.0066046556,0.0152516365,0.999437,-0.033111393,0.005428194,0.033062994,0.9994149,0.00876697,-0.011922045,0.04235295,0.028961463,0.027646983,-0.0064383373,-0.07586575
252159171,4547055501939330826,0.0,0.0,0.0,0.0,0.0,0.0,0.8683995,1.0080686,0.9122314,0.96546996,0.004242846,0.0062130475,0.014961183,0.999437,-0.033111393,0.005428194,0.033062994,0.9994149,0.00876697,-0.015097172,0.04517665,0.028853845,0.030760536,-0.008904612,-0.081508
252161846,4546939151275261936,0.0,0.0,0.0,0.0,0.0,0.0,0.87236404,1.0051687,0.9138294,0.96330655,0.004242846,0.0062130475,0.014961183,0.999437,-0.033111393,0.005428194,0.033062994,0.9994149,0.00876697,-0.015097172,0.04517665,0.028853845,0.03339076,-0.0062938617,-0.077494934
