timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
261466178,2490378,2490378,0,0,0,0,0,0,1,1,791.5435,791.5435,7915.435,7915.435,1.3819932,0.0282241,4.757387e-09,-0.17769282,-0.0604705,-9.860821,5.6587425e-05,-0.016008338,-0.007886449,9.744,8.414339,2.3351727,0.0007985608,0.00397464,0.010821986,30.640299,30.640299
262507508,2490378,2490378,0,0,0,0,0,0,1,1,791.5445,791.5445,7915.445,7915.445,1.3332542,0.036883455,6.826565e-08,0.07618356,-0.32386577,-9.704055,-0.6065365,-0.3081812,0.07749507,15.789642,19.427464,1.488181,0.0020931044,0.007124636,0.016458381,30.471691,30.471691
263439585,2490378,2490378,0,0,0,0,0,0,1,1,791.54663,791.54663,7915.4663,7915.4663,1.4125863,0.033566143,3.0288014e-08,-0.11401472,0.07459701,-9.811897,0.27562624,-0.13640374,-0.02401039,12.316956,46.424297,1.7162592,0.0020606902,0.0039247996,0.013977748,30.283289,30.283289
264466488,2490378,2490378,0,0,0,0,0,0,1,1,791.54846,791.54846,7915.485,7915.485,1.3677816,0.03156063,1.394893e-08,-0.18758757,-0.13726574,-10.004701,-0.053207032,0.12863332,-0.0058134347,25.719778,15.493321,1.5900613,0.0012848434,0.0101414155,0.009673669,30.117716,30.117716
265489629,2490378,2490378,0,0,0,0,0,0,1,1,791.55035,791.55035,7915.5034,7915.5034,1.4251572,0.029590866,1.1808911e-08,-0.10913815,-0.09062383,-9.87686,-0.06342272,-0.1046303,-0.015767543,16.977581,13.526918,2.4496555,0.0007417389,0.0068750307,0.011430445,29.981064,29.981064
266533262,2490378,2490378,0,0,0,0,0,0,1,1,791.55023,791.55023,7915.502,7915.502,1.4664738,0.043898128,3.7862787e-08,0.16673094,0.009039648,-9.490008,0.0816869,-0.23333406,-0.006537702,20.070644,15.886101,2.9617515,0.009214244,0.19237894,0.007202795,29.85567,29.85567
267488274,2490378,2490378,0,0,0,0,0,0,1,1,791.55194,791.5525,7915.5195,7915.525,1.5803488,0.04751894,5.4297672e-08,-0.78686345,-0.04803665,-10.2172,0.13418598,0.6110114,0.03429366,39.64256,14.600325,3.4257019,0.0008843643,0.021795498,0.009476886,29.786415,29.78765
268527739,2490378,2490378,0,0,0,0,0,0,1,1,791.5521,791.5521,7915.521,7915.521,1.5007851,0.034535293,2.6231065e-08,-0.0698716,0.005005054,-9.734227,-0.07601529,-0.23252125,-0.024956066,16.426594,25.383219,1.5986121,0.00065966113,0.006163383,0.016782869,29.564775,29.564775
269471377,2490378,2490378,0,0,0,0,0,0,1,1,791.5544,791.5544,7915.544,7915.544,1.4134372,0.03126429,1.1912342e-08,-0.24321367,-0.08587817,-9.919922,0.036857333,0.097134344,0.006173983,15.592845,19.334822,1.9987712,0.00069260696,0.007245674,0.014760672,29.480612,29.480612
270502301,2490378,2490378,0,0,0,0,0,0,1,1,791.5554,791.5554,7915.5537,7915.5537,1.5165347,0.029614506,1.273787e-08,-0.1523887,-0.048477955,-9.910875,-0.0800064,-0.07386465,-0.00898199,15.4652815,31.513062,1.2623897,0.0009785045,0.0049838736,0.009843435,29.337687,29.337687
