timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
111697099,1200.0,0.3020821,566.2757,0.0,2477,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112706224,1200.0,0.3020821,423.7519,0.0,2489,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112946241,1200.0,0.3020821,423.7519,0.0,2492,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114197450,1200.0,0.3020821,718.8455,0.0,2517,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115458253,1200.0,0.3020821,423.96555,0.0,2535,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116708516,1200.0,0.3020821,742.91235,0.0,2558,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117718223,1200.0,0.3020821,450.5477,0.0,2571,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117968403,1200.0,0.3020821,450.5477,0.0,2575,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119219249,1200.0,0.3020821,409.8535,0.0,2591,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120479626,1200.0,0.3020821,513.5466,0.0,2617,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121481248,1200.0,0.3020821,712.8713,0.0,2632,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121731272,1200.0,0.3020821,521.9561,0.0,2634,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122981229,1200.0,0.3020821,400.97302,0.0,2659,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124243281,1200.0,0.3020821,792.2418,0.0,2674,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125494388,1200.0,0.3020821,404.5954,0.0,2693,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126496262,1200.0,0.3020821,550.4485,0.0,2713,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126747651,1200.0,0.3020821,668.66406,0.0,2716,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127999315,1200.0,0.3020821,476.54892,0.0,2731,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129261254,1200.0,0.3020821,449.57068,0.0,2747,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130514225,1200.0,0.3020821,418.11737,0.0,2775,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131516241,1200.0,0.3020821,827.4204,0.0,2788,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131766251,1200.0,0.3020821,499.012,0.0,2791,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133019125,1200.0,0.3020821,427.57242,0.0,2815,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134272239,1200.0,0.3020821,716.9344,0.0,2831,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135533318,1200.0,0.3020821,500.63757,0.0,2849,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136533364,1200.0,0.3020821,454.39926,0.0,2870,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136783453,1200.0,0.3020821,735.8782,0.0,2873,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138043239,1200.0,0.3020821,450.4335,0.0,2890,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139296261,1200.0,0.3020821,472.59262,0.0,2907,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140547240,1200.0,0.3020821,745.7627,0.0,2930,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141549225,1200.0,0.3020821,390.60938,0.0,2945,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141799290,1200.0,0.3020821,558.3373,0.0,2947,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143059225,1200.0,0.3020821,490.1898,0.0,2974,11,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
