timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
110470302,0,1,1,1,1,1,1,0,0,0,1,1
111470773,0,1,1,1,1,1,1,0,0,0,1,1
112471145,0,1,1,1,1,1,1,0,0,0,1,1
113475418,0,1,1,1,1,1,1,0,0,0,1,1
114481764,0,1,1,1,1,1,1,0,0,0,1,1
115342028,0,1,1,1,1,0,1,0,0,0,1,0
115362329,0,1,0,0,1,0,1,0,0,0,1,0
115371940,0,0,0,0,1,0,1,0,0,0,1,0
116372293,0,0,0,0,1,0,0,0,0,0,1,0
117372644,0,0,0,0,1,0,0,0,0,0,1,0
117572703,0,0,0,0,0,0,0,0,0,0,1,0
118579391,0,0,0,0,0,0,0,0,0,0,1,0
119579775,0,0,0,0,0,0,0,0,0,0,1,0
120586027,0,0,0,0,0,0,0,0,0,0,1,0
121589746,0,0,0,0,0,0,0,0,0,0,1,0
122593250,0,0,0,0,0,0,0,0,0,0,1,0
123594824,0,0,0,0,0,0,0,0,0,0,1,0
124599886,0,0,0,0,0,0,0,0,0,0,1,0
125604611,0,0,0,0,0,0,0,0,0,0,1,0
126606351,0,0,0,0,0,0,0,0,0,0,1,0
127608078,0,0,0,0,0,0,0,0,0,0,1,0
128616054,0,0,0,0,0,0,0,0,0,0,1,0
129616428,0,0,0,0,0,0,0,0,0,1,1,0
130625616,0,0,0,0,0,0,0,0,0,1,1,0
131632038,0,0,0,0,0,0,0,0,0,1,1,0
132639677,0,0,0,0,0,0,0,0,0,1,1,0
133646055,0,0,0,0,0,0,0,0,0,1,1,0
134657007,0,0,0,0,0,0,0,0,0,1,1,0
135657497,0,0,0,0,0,0,0,0,0,1,1,0
136659074,0,0,0,0,0,0,0,1,0,1,1,0
137662426,0,0,0,0,0,0,0,0,0,1,1,0
138665852,0,0,0,0,0,0,0,0,0,1,1,0
139673312,0,0,0,0,0,0,0,0,0,1,1,0
140681110,0,0,0,0,0,0,0,0,0,1,1,0
141684643,0,0,0,0,0,0,0,0,0,1,1,0
142690675,0,0,0,0,0,0,0,0,0,1,1,0
143695425,0,0,0,0,0,0,0,0,0,1,1,0
144705984,0,0,0,0,0,0,0,0,0,1,1,0
145717129,0,0,0,0,0,0,0,0,0,1,1,0
146718457,0,0,0,0,0,0,0,0,0,0,1,0
147727903,0,0,0,0,0,0,0,0,0,1,1,0
148729687,0,0,0,0,0,0,0,0,0,0,1,0
149735935,0,0,0,0,0,0,0,0,0,1,1,0
150745111,0,0,0,0,0,0,0,0,0,1,1,0
151754413,0,0,0,0,0,0,0,0,0,1,1,0
152758849,0,0,0,0,0,0,0,0,0,1,1,0
153762667,0,0,0,0,0,0,0,0,0,1,1,0
154774531,0,0,0,0,0,0,0,0,0,1,1,0
155774749,0,0,0,0,0,0,0,0,0,1,1,0
156777906,0,0,0,0,0,0,0,0,0,1,1,0
157783144,0,0,0,0,0,0,0,0,0,1,1,0
158784280,0,0,0,0,0,0,0,0,0,1,1,0
159796553,0,0,0,0,0,0,0,0,0,1,1,0
160804248,0,0,0,0,0,0,0,0,0,1,1,0
161804423,0,0,0,0,0,0,0,0,0,1,1,0
162813410,0,0,0,0,0,0,0,0,0,1,1,0
163818221,0,0,0,0,0,0,0,0,0,1,1,0
164818311,0,0,0,0,0,0,0,0,0,1,1,0
165826595,0,0,0,0,0,0,0,0,0,1,1,0
166827914,0,0,0,0,0,0,0,0,0,1,1,0
167832339,0,0,0,0,0,0,0,0,0,0,1,0
168835781,0,0,0,0,0,0,0,0,0,1,1,0
169837292,0,0,0,0,0,0,0,0,0,1,1,0
170842176,0,0,0,0,0,0,0,0,0,1,1,0
171850047,0,0,0,0,0,0,0,0,0,1,1,0
172860245,0,0,0,0,0,0,0,0,0,1,1,0
173862117,0,0,0,0,0,0,0,0,0,1,1,0
174866709,0,0,0,0,0,0,0,0,0,1,1,0
175868230,0,0,0,0,0,0,0,0,0,1,1,0
176874872,0,0,0,0,0,0,0,0,0,1,1,0
177879278,0,0,0,0,0,0,0,0,0,0,1,0
178881393,0,0,0,0,0,0,0,0,0,1,1,0
179893095,0,0,0,0,0,0,0,0,0,1,1,0
180894623,0,0,0,0,0,0,0,0,0,1,1,0
181902466,0,0,0,0,0,0,0,0,0,1,1,0
182904163,0,0,0,0,0,0,0,0,0,1,1,0
183905866,0,0,0,0,0,0,0,0,0,1,1,0
184910615,0,0,0,0,0,0,0,0,0,1,1,0
185918398,0,0,0,0,0,0,0,0,0,1,1,0
186924259,0,0,0,0,0,0,0,0,0,1,1,0
187933400,0,0,0,0,0,0,0,0,0,1,1,0
188933887,0,0,0,0,0,0,0,0,0,1,1,0
189939723,0,0,0,0,0,0,0,0,0,1,1,0
190942789,0,0,0,0,0,0,0,0,0,1,1,0
191943237,0,0,0,0,0,0,0,0,0,0,1,0
192953609,0,0,0,0,0,0,0,1,0,0,1,0
193956752,0,0,0,0,0,0,0,0,0,0,1,0
194960227,0,0,0,0,0,0,0,1,0,0,1,0
195558511,0,1,0,0,0,0,1,0,0,0,1,0
195892468,0,1,1,0,0,0,1,0,0,0,1,0
196232151,0,1,1,1,0,0,1,0,0,0,1,0
197235268,0,1,1,1,0,0,1,0,0,0,1,0
