timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
114971894,0.0019674145,-0.13632536,nan,-0.0005332478,-0.00062149536,1.7063458,-0.014978708,-0.009889339,8.418213,-0.000107931526,-7.125925e-05,-0.070790604,1.6891997,0.0
115071852,0.0019674145,-0.13632536,nan,-0.00072781875,-0.0007614143,1.5245619,-0.029915987,-0.012880924,8.021132,-0.00027840762,-0.00011987395,-0.09103607,1.6891997,0.0
115172041,0.0019674145,-0.13632536,nan,-0.00084225385,-0.0009176269,1.3427781,-0.0068029407,-0.015533259,7.58667,-7.838893e-05,-0.0001789867,-0.11318749,1.6891997,0.0
115272024,0.0019674145,-0.13632536,nan,-0.00097542163,-0.00097650214,1.1609943,0.0072201295,0.0051466515,7.10435,9.488485e-05,6.7635796e-05,-0.13777897,1.6891997,0.0
115371923,0.0019674145,-0.13632536,nan,-0.0009652876,-0.0011039778,0.9792083,-0.012694081,-0.0003312158,6.5967817,-0.00021877102,-5.7082043e-06,-0.16365774,1.6891997,0.0
115471976,0.0019674145,-0.13632536,nan,-0.0009281022,-0.0012783527,0.7974242,0.020542825,0.01898023,6.037322,0.00040483652,0.0003740425,-0.19218224,1.6891997,0.0
115572410,0.0019674145,-0.13632536,nan,-0.00079207885,-0.0014668554,0.61563987,0.07883722,-0.020828266,5.463684,0.0017817192,-0.00047071822,-0.22142965,1.6891997,0.0
115672039,0.0019674145,-0.13632536,nan,-0.0006257044,-0.0017628453,0.43385735,0.08945589,-0.12142719,4.815152,0.0023216263,-0.003151369,-0.25449556,1.6891997,0.0
115772084,0.0019674145,-0.13632536,nan,-0.0004931093,-0.0021768406,0.25207305,-0.008807616,-0.05823724,4.1649675,-0.00025851576,-0.0017093439,-0.28764576,1.6891997,0.0
115872237,0.0019674145,-0.13632536,nan,-0.00032793253,-0.0027963824,0.070288755,0.027466837,-0.044618838,3.4777389,0.00090481533,-0.0014698382,-0.32268468,1.6891997,0.0
115972160,0.0019674145,-0.13632536,nan,6.7982473e-06,-0.0036483959,-0.11149376,0.024784772,0.006316155,2.7402143,0.00091008097,0.00023192518,-0.36028796,1.6891997,0.0
116072305,0.0019674145,-0.13632536,nan,-1.6553571e-05,-0.004777175,-0.27574933,0.09559027,-0.06319241,2.0363348,0.0038613256,-0.002552629,-0.39617583,1.6891997,0.0
116172242,0.0019674145,-0.13632536,nan,0.00070591853,-0.0073322807,-0.27574944,-0.03138924,0.0055292062,2.0071964,-0.0012684583,0.0002234386,-0.39766148,1.6891997,0.0
116272684,0.0019674145,-0.13632536,nan,0.0002648796,-0.008576532,-0.27729926,-0.0048004454,-0.1587769,1.9642999,-0.00019570437,-0.006473011,-0.39984858,1.6891997,0.0
116372277,0.0019674145,-0.13632536,nan,-0.00011950582,-0.010224656,-0.27728754,-0.08807048,-0.06289582,1.8507912,-0.0036419465,-0.0026009076,-0.40563592,1.6891997,0.0
116472401,0.0019674145,-0.13632536,nan,-9.942583e-05,-0.011210444,-0.27574933,-0.03663678,-0.10130952,1.7346401,-0.001536596,-0.004249058,-0.41155797,1.6891997,0.0
116572510,0.0019674145,-0.13632536,nan,0.00030405208,-0.012099971,-0.27896944,-0.020245649,-0.010565834,1.6078544,-0.0008583345,-0.00044794905,-0.41802225,1.6891997,0.0
116672526,0.0019674145,-0.13632536,nan,0.00059892517,-0.013094134,-0.27574933,0.033361726,0.0066039823,1.4605341,0.0014484554,0.000286723,-0.42553347,1.6891997,0.0
116772443,0.0019674145,-0.13632536,nan,0.0011120486,-0.014287889,-0.27896947,0.035000384,-0.060125943,1.3569016,0.0015391101,-0.0026439836,-0.43081728,1.6891997,0.0
116872555,0.0019674145,-0.13632536,nan,0.0016424005,-0.014947019,-0.27574933,0.051519353,-0.06059894,1.271951,0.002286453,-0.0026894093,-0.43514854,1.6891997,0.0
116972687,0.0019674145,-0.13632536,nan,0.001642195,-0.015860228,-0.27890992,0.045561314,-0.07761334,1.1240562,0.0020560452,-0.0035024567,-0.4426891,1.6891997,0.0
117072573,0.0019674145,-0.13632536,nan,0.0020603656,-0.017237384,-0.27896947,0.0034868373,-0.12817581,1.009972,0.00015947422,-0.005862257,-0.44850576,1.6891997,0.0
117172539,0.0019674145,-0.13632536,nan,0.00200972,-0.020910347,-0.3001074,0.099717185,-0.32853958,0.8914666,0.0046219947,-0.01522815,-0.45454785,1.6891997,0.0
117272720,0.0019674145,-0.13632536,nan,0.0022068373,-0.02976303,-0.3210346,-0.024146276,-0.43957147,0.74534154,-0.0011375641,-0.02070881,-0.46199816,1.6891997,0.0
117372627,0.0019674145,-0.13632536,nan,0.003222484,-0.042930096,-0.3185448,0.07131919,-0.4177305,0.7082553,0.0033736825,-0.019760322,-0.46388903,1.6891997,0.0
117472725,0.0019674145,-0.13632536,nan,0.0051979474,-0.058528423,-0.3185448,0.078474715,-0.56437624,0.6775131,0.0037246002,-0.026786665,-0.46545646,1.6891997,0.0
117572684,0.0019674145,-0.13632536,nan,0.008047223,-0.07561506,-0.31536973,0.13022874,-0.53747725,0.6517588,0.006198528,-0.025582433,-0.46676955,1.6891997,0.0
117672911,0.0019674145,-0.13632536,nan,0.01108549,-0.09326808,-0.31518182,0.04581597,-0.59651387,0.6937598,0.0021707122,-0.028262192,-0.4646281,1.6891997,0.0
117776180,nan,nan,nan,-0.03025595,0.20268321,-0.09576411,0.17638695,-0.4526432,2.082412,0.0070836344,-0.018177982,-0.39382654,1.6922649,0.0
117876708,nan,nan,nan,-0.02003301,0.1342002,-0.13110507,0.14111544,-0.88077617,0.4792202,0.006843259,-0.0427124,-0.47556657,1.6922649,0.0
117973040,nan,nan,nan,-0.011102074,0.07437229,-0.23422325,0.11736718,-0.630133,-0.13067102,0.006063801,-0.032555956,-0.50666237,1.6922649,0.0
118064903,nan,nan,nan,-0.0054477737,0.03649439,-0.29502636,0.09944584,-0.42274877,0.59981465,0.0047600176,-0.02023505,-0.46941796,1.6922649,0.0
118171722,nan,nan,nan,-0.0007899311,0.0052917125,-0.30515593,0.078542404,-0.22329818,0.8844874,0.0036432731,-0.010357924,-0.4549037,1.6922649,0.0
118275524,-0.028213568,0.03888605,nan,0.00044591192,-0.00021966024,-0.30515593,0.004150063,-0.0121594,0.6378192,0.0002019201,-0.0005916121,-0.46748027,1.6922649,0.0
118368780,-0.028213568,0.03888605,nan,0.000735291,-0.0014890946,-0.30515593,0.09730701,-0.13004762,0.5564128,0.0046791183,-0.006253488,-0.47163084,1.6922649,0.0
118475636,-0.028213568,0.03888605,nan,0.0028355825,-0.003742095,-0.30515593,0.032288402,-0.17048272,0.48039854,0.0015654552,-0.0082656015,-0.47550648,1.6922649,0.0
118565744,-0.028213568,0.03888605,nan,0.0054300404,-0.0072466508,-0.30515593,0.049704134,-0.18249705,0.44436836,0.0024190948,-0.008882112,-0.47734353,1.6922649,0.0
118663560,-0.028213568,0.03888605,nan,0.009362004,-0.0126172425,-0.30515593,0.0153598115,-0.20373276,0.43407643,0.00074847764,-0.009927819,-0.47786826,1.6922649,0.0
118767251,-0.028213568,0.03888605,nan,0.01418892,-0.019654771,-0.30515593,0.04102319,-0.25722188,0.3894894,0.002008726,-0.012595027,-0.48014158,1.6922649,0.0
118869533,-0.028213568,0.03888605,nan,0.019502131,-0.02727863,-0.30515593,0.15378946,-0.24030943,0.37084413,0.0075447154,-0.011789274,-0.4810922,1.6922649,0.0
118969017,-0.028213568,0.03888605,nan,0.025505157,-0.03510629,-0.30515593,0.11162564,-0.29492852,0.38098216,0.0054701073,-0.014452689,-0.48057532,1.6922649,0.0
119068735,-0.028213568,0.03888605,nan,0.03164909,-0.04294354,-0.30515593,0.18635657,-0.29507002,0.33443928,0.009177214,-0.014530854,-0.48294833,1.6922649,0.0
119165928,-0.028213568,0.03888605,nan,0.03721579,-0.05039023,-0.30515593,0.18924627,-0.30742902,0.3374567,0.00931668,-0.015134869,-0.4827945,1.6922649,0.0
119273064,-0.028213568,0.03888605,nan,0.042644538,-0.058577064,-0.30385068,0.11030419,-0.3126906,0.15793863,0.005533177,-0.015685463,-0.49194738,1.6922649,0.0
119375037,-0.028213568,0.03888605,nan,0.047570374,-0.065917894,-0.30184692,0.06982873,-0.3613479,0.289886,0.0034549993,-0.017878842,-0.48521993,1.6922649,0.0
119463931,-0.028213568,0.03888605,nan,0.051064778,-0.07162035,-0.30359095,0.115031645,-0.30086443,0.43286318,0.005605922,-0.01466225,-0.47793013,1.6922649,0.0
