timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
114671869,0.0,0.6640305,-0.00021097748,0.00027330898,0.7477055,0.0,0.0,-0.01903649,0,0
114721937,0.0,0.66403055,6.3642638e-06,0.00034520827,0.74770534,0.0,0.0,-0.026373154,0,0
114771695,0.0,0.66403055,-0.0002076977,0.0002758096,0.74770546,0.0,0.0,-0.034195226,0,0
114821859,0.0,0.6640305,-0.0002478462,0.00029594576,0.74770546,0.0,0.0,-0.0424289,0,0
114872186,0.0,0.6640304,-0.00051105965,0.00019194071,0.74770546,0.0,0.0,-0.051816825,0,0
114921786,0.0,0.66403055,-0.00013125154,0.0003193467,0.74770546,0.0,0.0,-0.061351463,0,0
114971898,0.0,0.6640305,0.00023578403,0.00088253675,0.747705,0.0,0.0,-0.07079072,0,0
115021938,0.0,0.66403043,0.0003551764,0.00070689357,0.74770516,0.0,0.0,-0.08078101,0,0
115071856,0.0,0.6640302,0.0007061278,0.0015076469,0.7477039,0.0,0.0,-0.09103657,0,0
115121985,0.0,0.6640304,0.00045670886,0.0011320483,0.7477047,0.0,0.0,-0.10175511,0,0
115172044,0.0,0.66403055,-0.00026611064,0.00082112313,0.7477049,0.0,0.0,-0.11318766,0,0
115222239,0.0,0.66403055,-3.848761e-06,0.00034524553,0.74770546,0.0,0.0,-0.12527187,0,0
115272050,0.0,0.66403055,-9.447622e-05,-0.0004121749,0.74770534,0.0,0.0,-0.13777901,0,0
115322062,0.0,0.66403025,0.0006243381,0.00023924238,0.74770546,0.0,0.0,-0.15069172,0,0
115371927,0.0,0.6640304,0.00048817054,0.00045686375,0.74770534,0.0,0.0,-0.16365789,0,0
115422098,0.0,0.6640304,0.00043300074,0.00037461426,0.74770546,0.0,0.0,-0.17771947,0,0
115471980,0.0,0.6640306,-0.00014132974,-0.0014270198,0.74770397,0.0,0.0,-0.19218303,0,0
115522191,0.0,0.6640204,0.0037108227,0.0018019208,0.7477031,0.0,0.0,-0.20669971,0,0
115572413,0.0,0.66402036,-0.0037138988,-0.0018767267,0.7477029,0.0,0.0,-0.22143732,0,0
115622100,0.0,0.66402936,-0.0012455741,-0.0020567442,0.7477027,0.0,0.0,-0.23715822,0,0
115672042,0.0,0.6639919,-0.00752103,0.0016005982,0.7477003,0.0,0.0,-0.25452566,0,0
115722249,0.0,0.6640147,0.004637946,0.002198797,0.7477019,0.0,0.0,-0.26999944,0,0
115772087,0.0,0.66402924,-0.0016370022,0.0025199854,0.7477006,0.0,0.0,-0.28765094,0,0
115822219,0.0,0.6640302,0.0009007936,-0.0016627837,0.7477035,0.0,0.0,-0.3047589,0,0
115872241,0.0,0.6640261,-0.002560602,0.00077193056,0.74770474,0.0,0.0,-0.3226893,0,0
115922540,0.0,0.6640307,0.000103329956,-0.0017058576,0.74770343,0.0,0.0,-0.34134406,0,0
115972163,0.0,0.66403013,-0.00073061784,-0.0010793192,0.7477047,0.0,0.0,-0.3602892,0,0
116022279,0.0,0.6640342,-0.0013123237,0.009712397,0.7476379,0.0,0.0,-0.3798553,0,0
116072309,0.0,0.66400665,-0.0057827034,-0.00082704786,0.7477039,0.0,0.0,-0.39620286,0,0
116122343,0.0,0.6640144,-0.005008063,0.0027209998,0.7476981,0.0,0.0,-0.3977457,0,0
116172245,0.0,0.6640291,0.0013790618,0.0008489952,0.74770504,0.0,0.0,-0.39766356,0,0
116222325,0.0,0.6640295,-0.0011956905,-0.0009769902,0.7477048,0.0,0.0,-0.40475193,0,0
116272688,0.0,0.6640159,-0.0051914486,0.0062140166,0.7476747,0.0,0.0,-0.39990103,0,0
116322436,0.0,0.66402787,-0.0019007425,-0.0011157761,0.7477046,0.0,0.0,-0.40898624,0,0
116372280,0.0,0.66403,0.0012276034,0.0053778403,0.74768555,0.0,0.0,-0.4056606,0,0
116422399,0.0,0.6640161,-0.0045245225,-5.3795546e-05,0.7477046,0.0,0.0,-0.41138145,0,0
116472405,0.0,0.66402954,-0.002031984,0.005099137,0.74768627,0.0,0.0,-0.41158277,0,0
116522471,0.0,0.66403043,0.00034383783,-3.1382187e-05,0.74770546,0.0,0.0,-0.420184,0,0
116572514,0.0,0.66403043,0.0004118543,0.0010823497,0.74770474,0.0,0.0,-0.41802338,0,0
116622732,0.0,0.664029,0.0014144828,0.001571492,0.74770385,0.0,0.0,-0.42351356,0,0
116672530,0.0,0.6640297,-0.0010488257,-0.0013820273,0.7477042,0.0,0.0,-0.42553604,0,0
116722510,0.0,0.664024,-0.003578808,0.0048590717,0.74768686,0.0,0.0,-0.4269425,0,0
116772446,0.0,0.6640229,-0.0033731558,0.001108243,0.7477039,0.0,0.0,-0.43082815,0,0
116822666,0.0,0.6640296,-0.0014549552,0.0024715476,0.7477008,0.0,0.0,-0.43225634,0,0
116872558,0.0,0.6640194,-0.004016276,0.00056604366,0.74770445,0.0,0.0,-0.43516287,0,0
116922591,0.0,0.66402924,-0.0015408525,0.0019783997,0.74770236,0.0,0.0,-0.43815938,0,0
116972690,0.0,0.6640178,-0.0043630204,0.0014158011,0.7477028,0.0,0.0,-0.44270772,0,0
117022631,0.0,0.6640298,-0.0010781578,0.0004227058,0.7477053,0.0,0.0,-0.44352385,0,0
117072577,0.0,0.6640192,-0.0044723134,0.0047681173,0.7476869,0.0,0.0,-0.4485441,0,0
117122646,0.0,0.6640013,-0.0073296614,0.008642585,0.74764556,0.0,0.0,-0.45133042,0,0
117172543,0.0,0.66388935,-0.014917215,0.009145267,0.7476261,0.0,0.0,-0.45482635,0,0
117222617,0.0,0.6639438,-0.012280134,0.012346536,0.74757975,0.0,0.0,-0.4573959,0,0
117272723,0.0,0.6639274,-0.013952836,0.017560797,0.74746066,0.0,0.0,-0.46246347,0,0
117322827,0.0,0.66393375,-0.013670215,0.018066831,0.74744815,0.0,0.0,-0.46382222,0,0
117372631,0.0,0.6638581,-0.016849656,0.01350137,0.74754685,0.0,0.0,-0.46432197,0,0
117422744,0.0,0.6637385,-0.021731269,0.015793823,0.7474821,0.0,0.0,-0.46414804,0,0
117472728,0.0,0.66373855,-0.02207058,0.018834686,0.7474017,0.0,0.0,-0.46624148,0,0
117522782,0.0,0.6637241,-0.02223076,0.015920866,0.7474776,0.0,0.0,-0.46824452,0,0
117572688,0.0,0.66369706,-0.023132455,0.016063893,0.74747115,0.0,0.0,-0.46751115,0,0
117622766,0.0,0.66359293,-0.02670254,0.020284873,0.74734193,0.0,0.0,-0.4669499,0,0
117672915,0.0,0.6637513,-0.02191256,0.021159045,0.7473328,0.0,0.0,-0.46549192,0,0
117722766,0.0,0.6637701,-0.02167861,0.024404716,0.74722403,0.0,0.0,-0.4666504,0,0
117776183,0.0,0.6625709,-0.022010084,0.011310805,0.7485903,0.0,0.0,-0.3943095,0,0
117825527,0.0,0.66228145,-0.031380236,0.023736509,0.74822134,0.0,0.0,-0.43050832,0,0
117876712,0.0,0.66214466,-0.03504427,0.028767068,0.7480033,0.0,0.0,-0.47752982,0,0
117926565,0.0,0.6623762,-0.02908325,0.024183778,0.74821603,0.0,0.0,-0.50113964,0,0
117973044,0.0,0.66248107,-0.025734924,0.020057729,0.7483678,0.0,0.0,-0.5077435,0,0
118023173,0.0,0.66259795,-0.021571578,0.015932884,0.74849504,0.0,0.0,-0.4874036,0,0
