timestamp,speed_up,speed_down,want_takeoff
111730782,3.0,1.5,0
112731259,3.0,1.5,0
113731453,3.0,1.5,0
114732036,3.0,1.5,1
115732033,3.0,1.5,0
116732362,3.0,1.5,0
117736515,3.0,1.5,1
118731228,3.0,1.5,1
119731790,3.0,1.5,1
120738389,3.0,1.5,1
121737169,3.0,1.5,1
122749762,3.0,1.5,0
123731682,3.0,1.5,0
124735040,3.0,1.5,0
125733750,3.0,1.5,0
126738762,3.0,1.5,0
127730023,3.0,1.5,0
128393321,3.0,1.5,0
