timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
111251830,4.842645,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
111751859,4.8931,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
112251936,4.9083066,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
112751936,4.861276,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
113251826,4.866815,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
113753000,4.8789,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
114251827,4.875778,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
114752028,4.870642,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
115251939,4.891992,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
115752513,4.865002,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
116252269,4.8887696,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
116751826,4.8933015,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
117251826,4.8887696,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
117751853,4.879504,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
118251918,4.8867555,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
118751828,4.8828278,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
119251826,4.864197,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
119751838,4.847177,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
120252551,4.861679,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
120751833,4.8647003,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
121251827,4.892798,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
121751826,4.8828278,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
