timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
121178835,120982167,120982708,-0.06964167952537537,0.11530113965272903,0,1e-04,1e-04,-5.479157e-05,-7.6167285e-05,1.8637651e-05,0.00018759111,0.000106848354,0.00010685056,1.1238792e-06,2.1718017e-06,9.980659e-06,5.1122748e-05,1,0,1
121687467,121482340,121489662,-0.06167016178369522,0.10592478513717651,0,1e-04,1e-04,-0.00054848567,6.569922e-05,-0.00026970834,1.4602125e-05,0.00010722661,0.0001072258,0.000112224574,1.6102047e-06,-4.672327e-05,1.33593085e-05,1,0,1
122192867,121988565,121989092,-0.05163998529314995,0.09555346518754959,0,1e-04,1e-04,-0.0002783537,0.00043591112,-0.00037310066,0.00016347377,0.000106859596,0.00010685806,2.9002833e-05,7.112931e-05,-7.241671e-05,2.2024718e-05,1,0,1
122690715,122488927,122490025,-0.04511662945151329,0.08315764367580414,0,1e-04,1e-04,-0.00010462478,-0.00021848083,-6.8424524e-05,0.00014092165,0.00010705932,0.000107059,4.089824e-06,1.7834604e-05,-2.035092e-05,1.7032498e-05,1,0,1
123196208,122995314,122995513,-0.044697802513837814,0.07141935080289841,0,1e-04,1e-04,0.0002497807,-0.00024183095,0.00024207513,-0.0002783114,0.00010656103,0.00010656029,2.3419596e-05,2.1952721e-05,4.048664e-05,-6.2790416e-05,1,0,1
123694223,123501934,123503919,-0.044862113893032074,0.06231721490621567,0,1e-04,1e-04,-0.0002944246,0.00032845885,2.017895e-05,-0.0001024771,0.00010689138,0.00010689034,3.2438853e-05,4.03723e-05,1.05993495e-05,-2.3882092e-05,1,0,1
124192110,123988987,123995863,-0.04291098192334175,0.05249820277094841,0,1e-04,1e-04,0.0003917925,0.00030636415,9.03589e-05,0.00013738334,0.00010686867,0.000106868974,5.7454206e-05,3.513049e-05,1.44638825e-05,1.1527583e-05,1,0,1
124686930,124488714,124489221,-0.041985876858234406,0.042839910835027695,0,1e-04,1e-04,0.00031097233,0.00026765838,0.00016920757,0.00023968551,0.00010690181,0.00010690162,3.6184156e-05,2.6806334e-05,1.9662511e-05,2.7530326e-05,1,0,1
125186304,124995461,124996206,-0.041610121726989746,0.03574554994702339,0,1e-04,1e-04,3.2655895e-05,-0.00022342801,0.00021111623,2.828472e-05,0.00010702328,0.000107023356,3.9857022e-07,1.8657638e-05,2.8719194e-05,6.148705e-06,1,0,1
125694892,125495257,125501594,-0.04154442995786667,0.031758349388837814,0,1e-04,1e-04,-0.00010374561,-0.00037257373,2.9155099e-05,-0.00018986258,0.000107648266,0.0001076483,3.9993774e-06,5.157952e-05,6.855028e-06,-2.3099434e-05,1,0,1
