timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
113975106,113780709,171865829443,5.8896072e-05,0.0016457387,0.00244546,0,0.0035629051,0.0014646355,0.00017286108,nan,0.0021868232,0.10913119,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
114171917,113980778,171865829443,7.950872e-05,0.0016872903,0.00250465,0,0.0035242273,0.0014585922,0.00023819704,nan,0.0021129595,0.11811116,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
114371611,114180847,171865829443,8.333235e-05,0.0016215498,0.0024217372,0,0.0035735737,0.0014671878,0.00027304183,nan,0.0021486096,0.1265507,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
114571742,114380916,171865829443,6.840073e-05,0.0016148158,0.0024453376,0,0.0035198915,0.0014599523,0.00035177302,nan,0.0019577525,0.13401625,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
114771613,114580985,171865829443,5.0692794e-05,0.001465343,0.0022690997,0,0.0035865908,0.0014688363,0.0003925655,nan,0.0016323255,0.1401862,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
114971789,114781054,171865829443,6.275074e-05,0.0013356797,0.0020719802,0,0.0036662298,0.0014785071,0.0004316353,nan,0.0009819897,0.14560065,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
115171963,114981122,171865829443,9.8987315e-05,0.0014086808,0.0020390332,0,0.0036578323,0.0014836729,0.0004309041,nan,0.0018811811,0.15208888,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
115371845,115181191,171865829443,0.0001300219,0.0015173476,0.0020581943,0,0.0036337432,0.0014860182,0.00044708996,nan,0.0025671006,0.15752482,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,2,1,3,2,1,0,0,0,0,0,0,0,0
115572335,115381259,171799769283,0.00013226515,0.0015851447,0.0021167698,0,0.003538441,0.0014727683,0.00048182058,nan,0.0032968665,0.16218458,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,2,1,3,2,1,0,0,0,0,0,0,0,0
115771982,115581327,171799769283,0.00014052853,0.0014970221,0.0019384543,0,0.0036033473,0.0014780464,0.0005204427,nan,0.0040250914,0.16554451,nan,nan,nan,0.0,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,2,1,3,2,1,0,0,0,0,0,0,0,0
