timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
110775054,110774657,0.0,0.002,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
110776294,110775908,1.3668168e-09,0.0019999985,1.0632497e-12,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
110876209,110875943,3.2993252e-12,0.0020000003,3.9766324e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
110978741,110978479,9.430165e-13,0.0019999975,8.6489593e-10,0.0020000022,nan,nan,nan,nan,nan,nan,nan,nan,0
111076276,111076013,1.0967323e-09,0.0020000003,1.9372837e-12,0.0019999992,nan,nan,nan,nan,nan,nan,nan,nan,0
111176316,111176049,1.3082042e-12,0.0019999975,9.9186e-10,0.0020000022,nan,nan,nan,nan,nan,nan,nan,nan,0
111276454,111276084,5.540573e-10,0.0019999987,5.2328747e-14,0.0020000015,nan,nan,nan,nan,nan,nan,nan,nan,0
111377624,111377370,4.2074286e-10,0.0020000003,1.2132856e-14,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
111475164,111474904,1.7026283e-12,0.0019999968,1.5371624e-09,0.002000002,nan,nan,nan,nan,nan,nan,nan,nan,0
111576449,111576191,8.262771e-10,0.002,4.5360135e-13,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
111675230,111674974,0.0,0.0019999985,0.0,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
111776599,111776260,1.1138555e-09,0.002000002,4.8203032e-14,0.0019999973,nan,nan,nan,nan,nan,nan,nan,nan,0
111877802,111877545,9.897129e-13,0.0020000013,1.1777154e-09,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
111975338,111975080,9.872175e-10,0.0020000003,2.3127086e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
112076627,112076365,4.8591665e-14,0.0020000015,8.630619e-10,0.0019999982,nan,nan,nan,nan,nan,nan,nan,nan,0
112175409,112175150,9.019374e-13,0.0019999992,1.3251413e-09,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
112276770,112276435,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
112377976,112377721,8.417747e-10,0.0020000003,4.1739095e-13,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
112476769,112476505,1.443293e-12,0.001999997,1.4646622e-09,0.0020000022,nan,nan,nan,nan,nan,nan,nan,nan,0
112578045,112577791,4.644356e-10,0.0020000003,1.2256945e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
112675587,112675325,1.4671953e-12,0.001999994,2.3959608e-09,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
112776920,112776612,1.4015791e-09,0.0020000003,2.680742e-12,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
112875838,112875394,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
112976941,112976680,3.4299664e-12,0.0019999999,2.8033237e-10,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
113079476,113079216,1.5008714e-09,0.0020000024,1.6137994e-12,0.0019999968,nan,nan,nan,nan,nan,nan,nan,nan,0
113175751,113175499,4.960869e-13,0.002000001,1.1782091e-09,0.0019999987,nan,nan,nan,nan,nan,nan,nan,nan,0
113277044,113276784,1.2648749e-12,0.0020000013,8.572981e-10,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
113376015,113375568,1.0795186e-09,0.002,9.610845e-13,0.0019999992,nan,nan,nan,nan,nan,nan,nan,nan,0
113477114,113476854,1.9390367e-09,0.0020000003,5.9707014e-15,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
113574646,113574387,6.9927493e-12,0.0019999999,2.2776578e-09,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
113677183,113676923,4.0482602e-13,0.001999999,1.4802526e-09,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
113778463,113778208,2.715319e-10,0.002,4.9544847e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
113876129,113875742,1.602772e-09,0.0020000006,1.5766791e-12,0.0019999987,nan,nan,nan,nan,nan,nan,nan,nan,0
113977288,113977027,3.32829e-12,0.001999999,1.306344e-09,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
114076067,114075811,1.0123278e-09,0.0020000006,8.493012e-13,0.0019999992,nan,nan,nan,nan,nan,nan,nan,nan,0
114177355,114177096,1.854468e-09,0.0020000022,9.011537e-13,0.0019999966,nan,nan,nan,nan,nan,nan,nan,nan,0
114274883,114274629,1.1145316e-09,0.0020000003,5.0898077e-13,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
114376293,114375914,1.5486807e-09,0.0020000003,1.8875504e-13,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
114478713,114478450,1.1396422e-09,0.0019999985,2.6831553e-12,0.002000001,nan,nan,nan,nan,nan,nan,nan,nan,0
114576244,114575983,3.4410127e-12,0.0019999943,4.2238906e-09,0.0020000022,nan,nan,nan,nan,nan,nan,nan,nan,0
114677526,114677268,0.0,0.03807298,0.0,0.03807298,nan,nan,nan,nan,nan,nan,nan,nan,0
114775057,114774801,0.0059127123,0.060025062,0.013109686,0.052140296,nan,nan,nan,nan,nan,nan,nan,nan,0
114877704,114877337,0.026133183,0.077769525,0.030332604,0.07303197,nan,nan,nan,nan,nan,nan,nan,nan,0
114975131,114974875,0.041515537,0.096809715,0.0486761,0.089060046,nan,nan,nan,nan,nan,nan,nan,nan,0
115076410,115076155,0.064029135,0.11414957,0.07179862,0.10565729,nan,nan,nan,nan,nan,nan,nan,nan,0
115177696,115177440,0.08253822,0.14409049,0.09367889,0.13244304,nan,nan,nan,nan,nan,nan,nan,nan,0
115276481,115276223,0.108581424,0.16278891,0.1146474,0.15477636,nan,nan,nan,nan,nan,nan,nan,nan,0
115377793,115377508,0.13158095,0.1959139,0.1555047,0.17163198,nan,nan,nan,nan,nan,nan,nan,nan,0
115475478,115475041,0.16435565,0.21321769,0.1719171,0.20698085,nan,nan,nan,nan,nan,nan,nan,nan,0
115576581,115576325,0.19528995,0.24382867,0.18979497,0.246204,nan,nan,nan,nan,nan,nan,nan,nan,0
115675367,115675109,0.20660627,0.29244944,0.22683993,0.27065808,nan,nan,nan,nan,nan,nan,nan,nan,0
115776656,115776396,0.25784338,0.3099243,0.24869525,0.31758997,nan,nan,nan,nan,nan,nan,nan,nan,0
115877977,115877677,0.29959837,0.346121,0.31072056,0.33431718,nan,nan,nan,nan,nan,nan,nan,nan,0
115975666,115975210,0.33920813,0.37425995,0.33064714,0.37964913,nan,nan,nan,nan,nan,nan,nan,nan,0
116078001,116077744,0.3744532,0.4164999,0.3953408,0.39851746,nan,nan,nan,nan,nan,nan,nan,nan,0
116175531,116175276,0.38191697,0.4164786,0.41343448,0.37649894,nan,nan,nan,nan,nan,nan,nan,nan,0
116278070,116277810,0.4160712,0.38325328,0.4210799,0.37919965,nan,nan,nan,nan,nan,nan,nan,nan,0
116375596,116375342,0.40836933,0.3989608,0.43200496,0.38014016,nan,nan,nan,nan,nan,nan,nan,nan,0
116477078,116476626,0.43140858,0.3930201,0.4297725,0.39118436,nan,nan,nan,nan,nan,nan,nan,nan,0
116578167,116577909,0.4263294,0.41335157,0.47057778,0.36183465,nan,nan,nan,nan,nan,nan,nan,nan,0
116675696,116675440,0.44787383,0.3999443,0.46296716,0.38551524,nan,nan,nan,nan,nan,nan,nan,nan,0
116778232,116777973,0.4618676,0.39831972,0.4771509,0.38597435,nan,nan,nan,nan,nan,nan,nan,nan,0
116875758,116875504,0.47324383,0.3952809,0.49524584,0.37441617,nan,nan,nan,nan,nan,nan,nan,nan,0
116977173,116976786,0.47763667,0.39571396,0.50127405,0.38959008,nan,nan,nan,nan,nan,nan,nan,nan,0
117074573,117074317,0.48599744,0.3828944,0.4932914,0.4213533,nan,nan,nan,nan,nan,nan,nan,nan,0
117177103,117176849,0.44215477,0.42356268,0.49461183,0.45243302,nan,nan,nan,nan,nan,nan,nan,nan,0
117278390,117278130,0.4747789,0.44360954,0.5006592,0.43080613,nan,nan,nan,nan,nan,nan,nan,nan,0
117375913,117375660,0.48460335,0.4446221,0.4652095,0.4532063,nan,nan,nan,nan,nan,nan,nan,nan,0
117477261,117476942,0.48802972,0.44645295,0.48160747,0.44892043,nan,nan,nan,nan,nan,nan,nan,nan,0
117576184,117575721,0.4786834,0.45229387,0.4886974,0.4472999,nan,nan,nan,nan,nan,nan,nan,nan,0
117677258,117677001,0.4795903,0.43858838,0.48013175,0.42899954,nan,nan,nan,nan,nan,nan,nan,nan,0
117775610,117775516,0.3836533,0.3912531,0.4066063,0.36352104,nan,nan,nan,nan,nan,nan,nan,nan,0
117876353,117876261,0.48309642,0.4443465,0.49332255,0.42704555,nan,nan,nan,nan,nan,nan,nan,nan,0
117978700,117978602,0.51387197,0.51509833,0.5368527,0.46515074,nan,nan,nan,nan,nan,nan,nan,nan,0
118076486,118076384,0.48191455,0.48963687,0.4719463,0.43601412,nan,nan,nan,nan,nan,nan,nan,nan,0
118177221,118177129,0.4799246,0.45404574,0.45327204,0.4274097,nan,nan,nan,nan,nan,nan,nan,nan,0
118275003,118274912,0.48298156,0.46912193,0.48806822,0.4266266,nan,nan,nan,nan,nan,nan,nan,nan,0
118377343,118377252,0.5068125,0.45859966,0.4924616,0.43160775,nan,nan,nan,nan,nan,nan,nan,nan,0
118475127,118475036,0.5021268,0.47999027,0.48239273,0.44313222,nan,nan,nan,nan,nan,nan,nan,nan,0
118575874,118575780,0.49037865,0.49199343,0.4972117,0.4301453,nan,nan,nan,nan,nan,nan,nan,nan,0
118678215,118678121,0.49453256,0.500493,0.47490126,0.441961,nan,nan,nan,nan,nan,nan,nan,nan,0
118775995,118775903,0.5060909,0.49278727,0.4927846,0.42958087,nan,nan,nan,nan,nan,nan,nan,nan,0
118878251,118878152,0.49921048,0.48792416,0.48814425,0.44990414,nan,nan,nan,nan,nan,nan,nan,nan,0
118976039,118975934,0.5075308,0.48613,0.49241352,0.4345721,nan,nan,nan,nan,nan,nan,nan,nan,0
119076863,119076770,0.5088553,0.50820905,0.4668905,0.44754642,nan,nan,nan,nan,nan,nan,nan,nan,0
119174645,119174552,0.5233038,0.5001449,0.46455094,0.44448635,nan,nan,nan,nan,nan,nan,nan,nan,0
119276895,119276802,0.52895653,0.493364,0.47578746,0.44742864,nan,nan,nan,nan,nan,nan,nan,nan,0
119377750,119377637,0.5083521,0.4987714,0.47481826,0.43664822,nan,nan,nan,nan,nan,nan,nan,nan,0
119475508,119475419,0.5037942,0.49469623,0.47463915,0.4396216,nan,nan,nan,nan,nan,nan,nan,nan,0
119577762,119577668,0.5148478,0.5045285,0.4894527,0.44784316,nan,nan,nan,nan,nan,nan,nan,nan,0
119675556,119675449,0.51148033,0.51410437,0.492405,0.4418348,nan,nan,nan,nan,nan,nan,nan,nan,0
119776380,119776285,0.5128355,0.5060067,0.47868788,0.46944764,nan,nan,nan,nan,nan,nan,nan,nan,0
119875622,119875525,0.5098938,0.50310117,0.48914105,0.46842593,nan,nan,nan,nan,nan,nan,nan,nan,0
119976413,119976316,0.49943882,0.511626,0.5057405,0.457924,nan,nan,nan,nan,nan,nan,nan,nan,0
120078709,120078610,0.51688325,0.50908464,0.51138395,0.4640878,nan,nan,nan,nan,nan,nan,nan,nan,0
120176484,120176391,0.50438863,0.50735986,0.5048327,0.47097316,nan,nan,nan,nan,nan,nan,nan,nan,0
120277273,120277181,0.50647604,0.5000248,0.51624095,0.46207464,nan,nan,nan,nan,nan,nan,nan,nan,0
120375053,120374962,0.49802414,0.50511456,0.518828,0.4685837,nan,nan,nan,nan,nan,nan,nan,nan,0
120477347,120477256,0.5085325,0.5031051,0.53348017,0.46657944,nan,nan,nan,nan,nan,nan,nan,nan,0
120575133,120575037,0.49875978,0.50201815,0.50045276,0.48446238,nan,nan,nan,nan,nan,nan,nan,nan,0
120675919,120675827,0.5050905,0.5067499,0.51606685,0.48232293,nan,nan,nan,nan,nan,nan,nan,nan,0
120778226,120778121,0.5278061,0.47717375,0.4945422,0.48466164,nan,nan,nan,nan,nan,nan,nan,nan,0
120875996,120875902,0.5177601,0.50678396,0.49892092,0.48758587,nan,nan,nan,nan,nan,nan,nan,nan,0
120978291,120978195,0.5060052,0.5022648,0.5037388,0.4695661,nan,nan,nan,nan,nan,nan,nan,nan,0
121076066,121075976,0.51465917,0.5052038,0.5285438,0.4612162,nan,nan,nan,nan,nan,nan,nan,nan,0
121176856,121176765,0.5220406,0.50433666,0.5225025,0.46720907,nan,nan,nan,nan,nan,nan,nan,nan,0
121274638,121274545,0.53434217,0.51200545,0.5183657,0.47682455,nan,nan,nan,nan,nan,nan,nan,nan,0
121376930,121376839,0.532993,0.52146864,0.5114065,0.4805132,nan,nan,nan,nan,nan,nan,nan,nan,0
121477721,121477628,0.51651776,0.5199298,0.49261954,0.4840407,nan,nan,nan,nan,nan,nan,nan,nan,0
121575500,121575408,0.52457285,0.5055023,0.49700528,0.47841597,nan,nan,nan,nan,nan,nan,nan,nan,0
121677795,121677701,0.51951903,0.49878117,0.49473387,0.48643148,nan,nan,nan,nan,nan,nan,nan,nan,0
121775577,121775481,0.519655,0.50051504,0.50192946,0.47599158,nan,nan,nan,nan,nan,nan,nan,nan,0
121876359,121876269,0.52284724,0.51588726,0.5060275,0.4737811,nan,nan,nan,nan,nan,nan,nan,nan,0
121975647,121975553,0.52517194,0.50209665,0.49494746,0.49148163,nan,nan,nan,nan,nan,nan,nan,nan,0
122076442,122076342,0.5125186,0.5210674,0.50169736,0.47997826,nan,nan,nan,nan,nan,nan,nan,nan,0
122178731,122178635,0.5146366,0.49603862,0.5053064,0.46107575,nan,nan,nan,nan,nan,nan,nan,nan,0
122276509,122276414,0.49576187,0.4907819,0.49266058,0.46125707,nan,nan,nan,nan,nan,nan,nan,nan,0
122377332,122377202,0.45299047,0.44385937,0.44787195,0.4126357,nan,nan,nan,nan,nan,nan,nan,nan,0
122475073,122474982,0.4641234,0.45661235,0.45695883,0.4313752,nan,nan,nan,nan,nan,nan,nan,nan,0
122577381,122577274,0.50862026,0.50559705,0.51303744,0.47743982,nan,nan,nan,nan,nan,nan,nan,nan,0
122675148,122675053,0.5473187,0.5367318,0.54034954,0.5125027,nan,nan,nan,nan,nan,nan,nan,nan,0
122775932,122775841,0.5169455,0.50767237,0.5062229,0.47866824,nan,nan,nan,nan,nan,nan,nan,nan,0
122878226,122878133,0.5444255,0.51520246,0.51054823,0.4888936,nan,nan,nan,nan,nan,nan,nan,nan,0
122976003,122975912,0.52199703,0.5142419,0.50140893,0.47372338,nan,nan,nan,nan,nan,nan,nan,nan,0
123076841,123076701,0.531526,0.50486875,0.50716,0.46003157,nan,nan,nan,nan,nan,nan,nan,nan,0
123176120,123176028,0.5256127,0.5033993,0.5160935,0.4538046,nan,nan,nan,nan,nan,nan,nan,nan,0
123276861,123276770,0.52972114,0.5066666,0.5068733,0.46213952,nan,nan,nan,nan,nan,nan,nan,nan,0
123374640,123374549,0.51961464,0.51432705,0.4926979,0.48210242,nan,nan,nan,nan,nan,nan,nan,nan,0
123476991,123476886,0.5279141,0.5024153,0.4973832,0.47779685,nan,nan,nan,nan,nan,nan,nan,nan,0
123577721,123577627,0.5036807,0.49719197,0.49186143,0.44839892,nan,nan,nan,nan,nan,nan,nan,nan,0
123675501,123675406,0.5146212,0.52526593,0.505293,0.4710694,nan,nan,nan,nan,nan,nan,nan,nan,0
123777832,123777743,0.5203848,0.5249744,0.4934129,0.47744545,nan,nan,nan,nan,nan,nan,nan,nan,0
123875615,123875521,0.53040034,0.50736165,0.49223274,0.48370084,nan,nan,nan,nan,nan,nan,nan,nan,0
123976358,123976262,0.51989424,0.5154385,0.5082725,0.4666516,nan,nan,nan,nan,nan,nan,nan,nan,0
124075641,124075545,0.5219286,0.51368105,0.50366074,0.46609393,nan,nan,nan,nan,nan,nan,nan,nan,0
124176469,124176377,0.525561,0.50364107,0.5026761,0.48054522,nan,nan,nan,nan,nan,nan,nan,nan,0
124278740,124278622,0.51541,0.5070548,0.5044869,0.48764747,nan,nan,nan,nan,nan,nan,nan,nan,0
124376499,124376400,0.5214469,0.5039593,0.50928825,0.4734904,nan,nan,nan,nan,nan,nan,nan,nan,0
124477325,124477233,0.5181336,0.512586,0.50124437,0.47642586,nan,nan,nan,nan,nan,nan,nan,nan,0
124575103,124575010,0.5179083,0.5188967,0.5137889,0.45708483,nan,nan,nan,nan,nan,nan,nan,nan,0
124677346,124677255,0.5232488,0.5177086,0.50422144,0.46181247,nan,nan,nan,nan,nan,nan,nan,nan,0
124775126,124775033,0.5319298,0.5151162,0.5026893,0.46160018,nan,nan,nan,nan,nan,nan,nan,nan,0
124875954,124875865,0.53577924,0.50826365,0.5057943,0.4637168,nan,nan,nan,nan,nan,nan,nan,nan,0
124978202,124978109,0.5344603,0.5147219,0.48855403,0.47132146,nan,nan,nan,nan,nan,nan,nan,nan,0
125075980,125075887,0.5327894,0.5180911,0.49668834,0.46326774,nan,nan,nan,nan,nan,nan,nan,nan,0
125178273,125178177,0.52566034,0.5160232,0.48966542,0.47265467,nan,nan,nan,nan,nan,nan,nan,nan,0
125276043,125275954,0.52061903,0.52097756,0.4927949,0.4705108,nan,nan,nan,nan,nan,nan,nan,nan,0
125376838,125376740,0.53402513,0.5131115,0.49901512,0.46334606,nan,nan,nan,nan,nan,nan,nan,nan,0
125474610,125474517,0.52740365,0.51811236,0.50314677,0.46164492,nan,nan,nan,nan,nan,nan,nan,nan,0
125576902,125576807,0.51218635,0.531126,0.5070282,0.46111315,nan,nan,nan,nan,nan,nan,nan,nan,0
125677690,125677592,0.5228806,0.5160806,0.49438256,0.48034322,nan,nan,nan,nan,nan,nan,nan,nan,0
125775476,125775369,0.5130109,0.5087085,0.52454007,0.4689909,nan,nan,nan,nan,nan,nan,nan,nan,0
125877754,125877659,0.5164471,0.5071663,0.5171533,0.47312868,nan,nan,nan,nan,nan,nan,nan,nan,0
125975565,125975436,0.5117055,0.50882167,0.50865245,0.48202118,nan,nan,nan,nan,nan,nan,nan,nan,0
126076314,126076221,0.51455945,0.51094186,0.5081157,0.4828836,nan,nan,nan,nan,nan,nan,nan,nan,0
126175598,126175502,0.51770973,0.50218236,0.50965077,0.48030165,nan,nan,nan,nan,nan,nan,nan,nan,0
126276381,126276287,0.5272475,0.4945486,0.49661532,0.48665267,nan,nan,nan,nan,nan,nan,nan,nan,0
126378676,126378576,0.51932913,0.5084669,0.4903791,0.49229902,nan,nan,nan,nan,nan,nan,nan,nan,0
126476447,126476353,0.51379716,0.5001833,0.50401026,0.48939562,nan,nan,nan,nan,nan,nan,nan,nan,0
126577271,126577138,0.5157186,0.50578326,0.5089744,0.48419663,nan,nan,nan,nan,nan,nan,nan,nan,0
126675010,126674914,0.5239716,0.5030338,0.48741707,0.4955209,nan,nan,nan,nan,nan,nan,nan,nan,0
126777297,126777203,0.51956606,0.5138814,0.4947354,0.49096724,nan,nan,nan,nan,nan,nan,nan,nan,0
126875076,126874979,0.5241683,0.5109259,0.50938,0.46664718,nan,nan,nan,nan,nan,nan,nan,nan,0
126977365,126977268,0.51930994,0.5089426,0.49775508,0.4800343,nan,nan,nan,nan,nan,nan,nan,nan,0
127078147,127078053,0.49991238,0.5188189,0.51831704,0.4727598,nan,nan,nan,nan,nan,nan,nan,nan,0
127175923,127175829,0.5105188,0.50290936,0.53092533,0.46535003,nan,nan,nan,nan,nan,nan,nan,nan,0
127278217,127278117,0.5233089,0.4938398,0.5101039,0.4809556,nan,nan,nan,nan,nan,nan,nan,nan,0
127375998,127375894,0.5169055,0.51172364,0.50227696,0.47830915,nan,nan,nan,nan,nan,nan,nan,nan,0
127476774,127476678,0.51343054,0.51653665,0.50886434,0.46734333,nan,nan,nan,nan,nan,nan,nan,nan,0
127574584,127574453,0.51132876,0.5139891,0.51535696,0.47318554,nan,nan,nan,nan,nan,nan,nan,nan,0
127676834,127676742,0.51620585,0.5101731,0.5107862,0.47356385,nan,nan,nan,nan,nan,nan,nan,nan,0
127777617,127777526,0.5097874,0.5129572,0.51103306,0.47447574,nan,nan,nan,nan,nan,nan,nan,nan,0
127875397,127875302,0.5300485,0.499913,0.5043644,0.4778932,nan,nan,nan,nan,nan,nan,nan,nan,0
127977682,127977590,0.51968485,0.5120523,0.5004339,0.48092988,nan,nan,nan,nan,nan,nan,nan,nan,0
128075456,128075365,0.5246689,0.50938475,0.49388954,0.4895077,nan,nan,nan,nan,nan,nan,nan,nan,0
128177793,128177699,0.5183307,0.50633126,0.5064086,0.47915632,nan,nan,nan,nan,nan,nan,nan,nan,0
128275566,128275474,0.5114913,0.51671547,0.5031521,0.48181888,nan,nan,nan,nan,nan,nan,nan,nan,0
128376305,128376213,0.5123874,0.5155378,0.5143295,0.47061718,nan,nan,nan,nan,nan,nan,nan,nan,0
128478741,2306385687525493184,0.5316768,0.56435055,0.44034448,0.5816766,nan,nan,nan,nan,nan,nan,nan,nan,0
128576500,2306385687525493184,0.52160573,0.4710845,0.5909612,0.37844774,nan,nan,nan,nan,nan,nan,nan,nan,0
128677254,2306385687525493184,0.50121963,0.53456396,0.45870233,0.5243015,nan,nan,nan,nan,nan,nan,nan,nan,0
128775036,2306385687525493184,0.53045607,0.58056366,0.28362188,0.7700698,nan,nan,nan,nan,nan,nan,nan,nan,0
128877363,2306385687525493184,0.53094816,0.45811015,0.6732299,0.2071418,nan,nan,nan,nan,nan,nan,nan,nan,0
128975118,2306385687525493184,0.5230549,0.47467095,0.6681178,0.17968868,nan,nan,nan,nan,nan,nan,nan,nan,0
129077420,2306385687525493184,0.5409068,0.60571265,0.36669564,0.58365023,nan,nan,nan,nan,nan,nan,nan,nan,0
129175158,2306385687525493184,0.56241643,0.6018026,0.21330705,0.82837737,nan,nan,nan,nan,nan,nan,nan,nan,0
129275974,2306385687525493184,0.5681955,0.433014,0.62374014,0.31862342,nan,nan,nan,nan,nan,nan,nan,nan,0
129378255,2306385687525493184,0.53127164,0.511208,0.6602501,0.14062238,nan,nan,nan,nan,nan,nan,nan,nan,0
129475991,2306385687525493184,0.503826,0.46812674,0.6537422,0.33476362,nan,nan,nan,nan,nan,nan,nan,nan,0
129576815,2306385687525493184,0.55981064,0.6281783,0.23109607,0.8090542,nan,nan,nan,nan,nan,nan,nan,nan,0
129674590,9295429631027894954,0.5836328,0.5102153,0.3467081,0.6596524,nan,nan,nan,nan,nan,nan,nan,nan,0
129776827,2306385687525493184,0.5448033,0.48540527,0.6714995,0.16476743,nan,nan,nan,nan,nan,nan,nan,nan,0
129877658,2306385687525493184,0.48335606,0.457518,0.6994212,0.21118663,nan,nan,nan,nan,nan,nan,nan,nan,0
129976912,2306385687525493184,0.50657266,0.6535946,0.31110194,0.66114086,nan,nan,nan,nan,nan,nan,nan,nan,0
130077691,2306385687525493184,0.5812358,0.5539363,0.30340305,0.8293006,nan,nan,nan,nan,nan,nan,nan,nan,0
130175454,2306385687525493184,0.6338903,0.40977654,0.6299937,0.32163495,nan,nan,nan,nan,nan,nan,nan,nan,0
130277789,2306385687525493184,0.50980765,0.515968,0.6618001,0.12584202,nan,nan,nan,nan,nan,nan,nan,nan,0
130375526,2306385687525493184,0.42035252,0.6174355,0.58680207,0.27491578,nan,nan,nan,nan,nan,nan,nan,nan,0
130477796,2306385687525493184,0.5434779,0.6542765,0.23485807,0.8192561,nan,nan,nan,nan,nan,nan,nan,nan,0
130578605,2306385687525493184,0.7263349,0.36496603,0.4363536,0.6036523,nan,nan,nan,nan,nan,nan,nan,nan,0
130676395,2306385687525493184,0.5801761,0.4616172,0.6618318,0.16970958,nan,nan,nan,nan,nan,nan,nan,nan,0
130777178,2306385687525493184,0.43160638,0.5335553,0.6723614,0.20623334,nan,nan,nan,nan,nan,nan,nan,nan,0
130874936,2306385687525493184,0.495632,0.69783765,0.27546972,0.64313084,nan,nan,nan,nan,nan,nan,nan,nan,0
130977201,2306385687525493184,0.6430716,0.44745108,0.37399617,0.80017036,nan,nan,nan,nan,nan,nan,nan,nan,0
131074994,2306385687525493184,0.6123392,0.4240621,0.66580915,0.2309972,nan,nan,nan,nan,nan,nan,nan,nan,0
131177282,2306385687525493184,0.43991643,0.51754683,0.6811113,0.1409546,nan,nan,nan,nan,nan,nan,nan,nan,0
131278093,2306385687525493184,0.44011578,0.6920856,0.38290015,0.5420717,nan,nan,nan,nan,nan,nan,nan,nan,0
131375819,2306385687525493184,0.5765487,0.57847685,0.27245423,0.8860461,nan,nan,nan,nan,nan,nan,nan,nan,0
131478099,2306385687525493184,0.6591448,0.40395537,0.60422575,0.35397193,nan,nan,nan,nan,nan,nan,nan,nan,0
131575871,2306385687525493184,0.5293436,0.5174332,0.65467423,0.10693722,nan,nan,nan,nan,nan,nan,nan,nan,0
131676677,2306385687525493184,0.39705575,0.57533944,0.664828,0.25515223,nan,nan,nan,nan,nan,nan,nan,nan,0
131774472,2306385687525493184,0.4986217,0.6908449,0.27676496,0.71826917,nan,nan,nan,nan,nan,nan,nan,nan,0
131876712,2306385687525493184,0.6949739,0.43240672,0.35776466,0.6832213,nan,nan,nan,nan,nan,nan,nan,nan,0
131977521,2306385687525493184,0.6115748,0.47977144,0.65552944,0.1671835,nan,nan,nan,nan,nan,nan,nan,nan,0
132076780,2306385687525493184,0.4310805,0.4996791,0.6959929,0.18093589,nan,nan,nan,nan,nan,nan,nan,nan,0
132177592,2306385687525493184,0.44686985,0.714959,0.33729318,0.58928317,nan,nan,nan,nan,nan,nan,nan,nan,0
132275373,2306385687525493184,0.60399634,0.5258042,0.3351657,0.9113474,nan,nan,nan,nan,nan,nan,nan,nan,0
132377673,2306385687525493184,0.68685997,0.3445514,0.62524277,0.349367,nan,nan,nan,nan,nan,nan,nan,nan,0
132475415,2306385687525493184,0.5232323,0.49620852,0.6706858,0.14716348,nan,nan,nan,nan,nan,nan,nan,nan,0
132576199,2306385687525493184,0.3756889,0.68198514,0.5290797,0.38104227,nan,nan,nan,nan,nan,nan,nan,nan,0
132675520,2306385687525493184,0.50962883,0.66563743,0.2482223,0.8248518,nan,nan,nan,nan,nan,nan,nan,nan,0
132776234,2306385687525493184,0.71812004,0.3762421,0.43977723,0.6108567,nan,nan,nan,nan,nan,nan,nan,nan,0
132877081,2306385687525493184,0.59269714,0.46444082,0.6572959,0.1439946,nan,nan,nan,nan,nan,nan,nan,nan,0
