timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
131185643,130988615,130992061,0,-0.70011234,1e-04,0.0002219677,-0.0004064256,0.0001024516,1.9236266e-05,-0.0004980628,1,0,1
131698272,131495422,131504999,0,-0.701132,1e-04,0.0007852316,0.00011359081,0.00010252249,0.00024056715,-0.000118558666,1,0,1
132194651,131988510,131993867,0,-0.7004828,1e-04,0.00033771992,1.5077414e-05,0.00010290602,4.4333556e-05,-4.978624e-05,1,0,1
132703066,132502069,132509855,0,-0.69936967,1e-04,-0.00020378828,-0.00010649842,0.000103207545,1.6095591e-05,-3.934671e-05,1,0,1
133202549,133001753,133007700,0,-0.69680476,1e-04,-0.0012301803,-0.00055318186,0.00010314552,0.00058687705,-0.00022006161,1,0,1
133703306,133495113,133496563,0,-0.69278157,1e-04,-0.0025154352,-0.0012888658,0.0001027818,0.0024624649,-0.0008452487,1,0,1
134192226,133981635,133991489,0,-0.69100344,1e-04,-0.0030358434,-0.0019791462,0.000102466576,0.0035977955,-0.0017612319,1,0,1
134699192,134495073,134502913,0,-0.6887061,1e-04,-0.0030189157,-0.0026145738,0.000102493024,0.0035568671,-0.0029396857,1,0,1
135198540,135001903,135003761,0,-0.68837005,1e-04,-0.0027999282,-0.0028214613,0.000102506085,0.0030591737,-0.003243517,1,0,1
135646827,135448541,135453511,0,-0.6888737,1e-04,-0.0018953085,-0.002580003,0.00010253923,0.0014012957,-0.0027247588,1,0,1
136198829,135995232,136002535,0,-0.6909123,1e-04,-0.0009275079,-0.0019251041,0.00010253615,0.0003355971,-0.001668694,1,0,1
136702722,136488435,136497408,0,-0.8479886,1e-04,-0.0026017427,-0.0021517046,0.00010262845,0.0026382802,-0.002752159,1,0,1
137205317,137001538,137004312,0,-0.98164827,1e-04,0.0019130111,-0.00016301234,0.00010244789,0.0014288673,-0.0006001053,1,0,1
137703043,137501584,137506703,0,-1.0134513,1e-04,0.0019050837,0.0011077562,0.000102337086,0.001418584,0.0006432486,1,0,1
138195174,137994903,137997058,0,-1.0185392,1e-04,0.0011565685,0.001290994,0.00010228205,0.0005231223,0.00077232363,1,0,1
138695648,138501736,138502453,0,-1.0168539,1e-04,-2.9563904e-05,0.0004963722,0.000102265076,3.4186624e-07,0.00030236592,1,0,1
139201511,139001527,139003335,0,-1.0162894,1e-04,-0.00046730042,-0.0002998461,0.00010220372,8.5464475e-05,-4.9731512e-05,1,0,1
139699033,139501528,139505719,0,-1.0111971,1e-04,-0.0011636019,-0.0007633041,0.000102276994,0.00052953034,-0.00032238904,1,0,1
140202905,140001508,140009606,0,-1.010977,1e-04,-0.0011345148,-0.0011249167,0.000102259335,0.0005034744,-0.000580252,1,0,1
140702775,140494850,140504513,0,-1.0113634,1e-04,-0.0021172762,-0.0017451788,0.000102320744,0.0017524731,-0.0013469347,1,0,1
141195841,141001597,141002336,0,-1.0128154,1e-04,-0.0008112192,-0.0016562177,0.000102264596,0.00025740155,-0.001204772,1,0,1
141684649,141489829,141491178,0,-1.0127553,1e-04,-0.0006028414,-0.0011993704,0.00010231858,0.00014207301,-0.00068796956,1,0,1
142203334,142003051,142013110,0,-1.0117395,1e-04,-0.00083482265,-0.0011162754,0.000102421836,0.00027217978,-0.000555064,1,0,1
