timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
110726201,110536155,6684714,-0.00024092353,0.00084828417,-0.000136636,0.15,1.6222081e-07,1.6225462e-07,3.016669e-07,6946858,0.004966446,0.0067504738,0.003918402,0.4,0.0002829798,0.00030771786,5.613435e-07,589834,0.058687445,-0.0023950539,-0.0016589133,0.5,1.4029351e-05,0.0005579421,0.0012501641,1,1,1,0,1,0
111740130,111542635,6684714,-0.0002100659,0.000823405,-0.00013904308,0.15,1.6206366e-07,1.6210238e-07,3.017594e-07,6946858,0.004969928,0.0067262785,0.004224747,0.4,0.0002829798,0.0003077173,5.5829065e-07,589834,0.058518663,-0.0020649948,-0.0015493387,0.5,1.39708445e-05,0.0005578715,0.0012501575,1,1,1,0,1,0
113360601,113155407,6684714,-0.00022486916,0.0007904119,-0.00013971154,0.15,1.6201315e-07,1.6204602e-07,3.0159129e-07,6946858,0.0048046685,0.006307843,0.0061926986,0.4,0.00028297846,0.0003077107,5.5857925e-07,589834,0.05834002,-0.0015357584,-0.0015214621,0.5,1.3883436e-05,0.00055776373,0.0012501469,1,1,1,0,1,0
114005862,113811392,6684714,-0.00023091148,0.00080135925,-0.000140487,0.15,1.6184282e-07,1.6187501e-07,3.0157662e-07,6946858,0.0047009797,0.0061242855,0.007184016,0.4,0.00028297774,0.00030770857,5.592257e-07,589834,0.058282364,-0.0014032837,-0.0014882322,0.5,1.3849954e-05,0.00055772206,0.0012501437,1,1,1,0,1,0
115292930,115099152,6684714,-0.00022859797,0.00081467716,-0.00014149881,0.15,1.6195173e-07,1.6198568e-07,3.0200476e-07,6946858,0.004480151,0.0057664723,0.00916074,0.4,0.0002829756,0.00030770444,5.6068524e-07,589834,0.058206823,-0.0011721103,-0.0014299724,0.5,1.37810675e-05,0.0005576409,0.0012501333,1,1,1,0,1,0
116481029,116283140,6684714,-0.00022853792,0.00095186953,-0.00014244967,0.15,1.6250057e-07,1.6252689e-07,3.0380227e-07,6946858,0.005297923,0.005979076,0.010531054,0.4,0.00028289377,0.00030769204,5.612933e-07,589834,0.05882671,-0.00054451264,-0.015560999,0.5,1.3721665e-05,0.0005575307,0.0012440566,1,0,1,0,1,0
117313140,117115063,6684714,-0.00025522205,0.0009896853,-0.00014304576,0.15,1.6301736e-07,1.6302742e-07,3.054412e-07,6946858,0.009241342,0.007171135,0.011090609,0.4,0.00027512608,0.0003070596,5.687949e-07,589834,0.05897755,0.0005036304,-0.02928778,0.5,1.3679825e-05,0.0005574502,0.0012346501,1,0,1,0,1,0
118456034,118250842,6684714,-0.00021406345,0.0009274318,-9.564266e-05,0.15,1.6334927e-07,1.6332228e-07,3.0500422e-07,6946858,0.007976608,0.0067698513,0.011086218,0.4,0.0002467334,0.0003040069,5.9458426e-07,589834,0.059320074,0.00045613112,-0.022542654,0.5,1.3593878e-05,0.0005573604,0.0012298597,1,0,1,0,1,0
119489566,119291845,6684714,-0.0003242487,0.0009710613,-1.501639e-05,0.15,1.636935e-07,1.635717e-07,3.036475e-07,6946858,0.006610081,0.012206096,0.012786407,0.4,0.00024348882,0.00030257524,5.7838673e-07,589834,0.059493627,0.0010278883,-0.021158101,0.5,1.3546358e-05,0.000557312,0.0012294861,1,0,1,0,1,0
120381521,120188426,6684714,-0.00029478513,0.0008999973,-4.685134e-06,0.15,1.6391189e-07,1.6382967e-07,3.053136e-07,6946858,-0.0050970432,0.013883591,0.0137547245,0.4,0.00022181556,0.00030218408,5.3301693e-07,589834,0.059897855,0.00096997316,-0.02115977,0.5,1.34897355e-05,0.00055729796,0.0012294861,1,0,1,0,1,0
121473732,121277554,6684714,-0.00029096083,0.0008974116,-1.074159e-05,0.15,1.6413202e-07,1.6407039e-07,3.072857e-07,6946858,0.0036473477,0.013659563,0.013249856,0.4,0.00018340655,0.00030187264,5.021068e-07,589834,0.059602994,0.000985085,-0.021166544,0.5,1.3404051e-05,0.00055727956,0.0012294861,1,0,1,0,1,0
122495070,122298978,6684714,-0.0002684515,0.00087793503,-1.498964e-05,0.15,1.6436695e-07,1.643232e-07,3.0890854e-07,6946858,0.02446628,0.012915267,0.011836778,0.4,0.0001634537,0.00030179488,5.097746e-07,589834,0.058890928,0.001036334,-0.021173807,0.5,1.3346083e-05,0.00055726315,0.0012294861,1,0,1,0,1,0
123424799,123225624,6684714,-0.00028636112,0.0009070887,-2.0731824e-05,0.15,1.6455655e-07,1.6451723e-07,3.105383e-07,6946858,0.035936706,0.011645542,0.0106058605,0.4,0.0001562914,0.0003011779,5.230382e-07,589834,0.05859193,0.0010445642,-0.019526482,0.5,1.3303109e-05,0.00055722566,0.0012288521,1,0,1,0,1,0
124414513,124218451,6684714,-0.00029363678,0.000889221,-2.5427882e-05,0.15,1.648585e-07,1.6480655e-07,3.120185e-07,6946858,0.04292246,0.009840325,0.009186971,0.4,0.00015412527,0.00030084877,5.3307394e-07,589834,0.058354516,0.001098083,-0.019515572,0.5,1.3267629e-05,0.00055721117,0.0012288521,1,0,1,0,1,0
125264590,125075887,6684714,-0.0003079094,0.000889186,-3.0375968e-05,0.15,1.6495041e-07,1.6490158e-07,3.1349185e-07,6946858,0.045168385,0.008154075,0.008014387,0.4,0.00015381552,0.00030065383,5.3634807e-07,589834,0.058279693,0.0011405877,-0.019503212,0.5,1.3239619e-05,0.0005572014,0.0012288521,1,0,1,0,1,0
126302437,126103298,6684714,-0.00029456304,0.0009030275,-3.401405e-05,0.15,1.6487496e-07,1.6482952e-07,3.1504132e-07,6946858,0.045680534,0.0066919937,0.0067451843,0.4,0.00015378773,0.0003005153,5.335566e-07,589834,0.058265306,0.0011741726,-0.019491456,0.5,1.3205718e-05,0.00055718963,0.0012288521,1,1,1,0,1,0
127188441,126990806,6684714,-0.00031532784,0.0008609099,-3.6868212e-05,0.15,1.6485365e-07,1.6480871e-07,3.1626627e-07,6946858,0.045468993,0.006101746,0.005963956,0.4,0.00015376913,0.00030043142,5.3178576e-07,589834,0.058275387,0.0011860696,-0.019486615,0.5,1.3179122e-05,0.00055718055,0.0012288521,1,1,1,0,1,0
128197807,128003162,6684714,-0.00032808547,0.00085100945,-4.0343544e-05,0.15,1.6480445e-07,1.6476511e-07,3.174706e-07,6946858,0.045181207,0.00591913,0.0052462053,0.4,0.00015375127,0.00030041242,5.298125e-07,589834,0.058289234,0.0011870543,-0.019485945,0.5,1.3146515e-05,0.0005571692,0.0012288521,1,1,1,0,1,0
129206988,129014007,6684714,-0.00029318515,0.0008705694,-3.842808e-05,0.15,1.6489437e-07,1.6483118e-07,3.1815466e-07,6946858,0.0447911,0.0060833865,0.0043780515,0.4,0.00015372288,0.00030036003,5.277486e-07,589834,0.058305994,0.0011804523,-0.019486891,0.5,1.3116668e-05,0.0005571586,0.0012288521,1,1,1,0,1,0
130483057,130288087,6684714,-0.00034370052,0.0009029235,6.4697647e-06,0.15,1.6484216e-07,1.6485453e-07,3.177949e-07,6946858,0.044486586,0.006522506,0.0035674216,0.4,0.00015346348,0.00029943036,5.303023e-07,589834,0.05840164,0.10954073,0.05554324,0.5,0.0012423492,0.0011017462,0.0013230004,1,1,1,0,1,0
131465398,131267333,6684714,-0.00035771626,0.0008887526,1.2147979e-05,0.15,1.6521719e-07,1.6524832e-07,3.1930324e-07,6946858,0.044587094,0.006571077,0.0036060861,0.4,0.00015323493,0.00029873117,5.338312e-07,589834,0.14275104,0.15950565,0.050305225,0.5,0.0010420488,0.00095060305,0.00128246,1,1,1,0,1,0
132452062,132249582,6684714,-0.00028982956,0.00083424663,2.204153e-05,0.15,1.6548134e-07,1.6550065e-07,3.2171602e-07,6946858,0.044541154,0.006679639,0.0036299005,0.4,0.00015318923,0.00029857355,5.3858986e-07,589834,0.19642736,0.17677337,0.043883495,0.5,0.000870199,0.00090859976,0.0012701073,1,1,1,0,1,0
133488289,133295001,6684714,-0.00025266127,0.00083537534,2.0120926e-05,0.15,1.6553668e-07,1.6556055e-07,3.2487634e-07,6946858,0.044606324,0.006785368,0.0034200733,0.4,0.00015318303,0.00029853423,5.373639e-07,589834,0.2372905,0.17804563,0.04373659,0.5,0.00071761553,0.0008931232,0.0012639621,1,1,1,0,1,0
134478144,134277285,6684714,-0.00025509318,0.0008486731,1.4426271e-05,0.15,1.6551849e-07,1.6554607e-07,3.255729e-07,6946858,0.044782713,0.006854642,0.0028739534,0.4,0.00015317192,0.0002985261,5.389925e-07,589834,0.26133922,0.17891815,0.04371637,0.5,0.0005982235,0.0008825855,0.0012598352,1,1,1,0,1,0
135454077,135256464,6684714,-0.00030737324,0.00083810487,8.896555e-06,0.15,1.6529218e-07,1.6530001e-07,3.261176e-07,6946858,0.044837117,0.0066819363,0.0021888248,0.4,0.00015316025,0.000298488,5.3632345e-07,589834,0.28094998,0.17242377,0.04264623,0.5,0.0005015229,0.0008735311,0.0012575326,1,1,1,0,1,0
136507203,136307928,6684714,-0.00030962733,0.0008177327,7.220182e-06,0.15,1.6517261e-07,1.651694e-07,3.2770745e-07,6946858,0.04482384,0.006506708,0.0017513699,0.4,0.00015313111,0.0002983768,5.3696914e-07,589834,0.2966889,0.17004281,0.043398906,0.5,0.0004191687,0.0008620236,0.0012551149,1,1,1,0,1,0
137483608,137290103,6684714,-0.00033599962,0.0007879875,9.924693e-06,0.15,1.65179e-07,1.6516132e-07,3.2731978e-07,6946858,0.04451743,0.006071979,0.0018139,0.4,0.00015276726,0.0002970813,5.335382e-07,589834,0.30332306,0.16435766,0.04369683,0.5,0.00035690455,0.0008484915,0.0012515787,1,1,1,0,1,0
138324377,138130929,6684714,-0.00031790306,0.0008852478,4.6072517e-05,0.15,1.6518231e-07,1.6520205e-07,3.253891e-07,6946858,0.044027116,0.0063735037,0.0021324458,0.4,0.00015245192,0.0002960048,5.3441556e-07,589834,0.30910897,0.15919444,0.041788466,0.5,0.00031296755,0.0008369951,0.0012498912,1,1,1,0,1,0
139377158,139176312,6684714,-0.000351285,0.0008263381,6.126742e-05,0.15,1.6494985e-07,1.6493784e-07,3.2396687e-07,6946858,0.04397362,0.0066175484,0.0020006578,0.4,0.00015235298,0.0002956976,5.33536e-07,589834,0.31287867,0.1563618,0.03951048,0.5,0.00027055998,0.0008233512,0.0012484768,1,1,1,0,1,0
140359250,140158562,6684714,-0.00033801844,0.0008227955,5.8661823e-05,0.15,1.6500105e-07,1.649816e-07,3.2347606e-07,6946858,0.04414443,0.0065444713,0.0016657092,0.4,0.00015230043,0.0002955993,5.3405637e-07,589834,0.31668606,0.15390934,0.038182724,0.5,0.00023912248,0.0008109,0.0012474493,1,1,1,0,1,0
141398779,141205394,6684714,-0.0003520625,0.00085039396,5.6796212e-05,0.15,1.6517892e-07,1.6516549e-07,3.2337715e-07,6946858,0.044395026,0.00650821,0.0012068518,0.4,0.00015226322,0.00029556654,5.36802e-07,589834,0.32162908,0.15145291,0.037174158,0.5,0.00021165307,0.0007988154,0.0012464838,1,1,1,0,1,0
142453269,142255274,6684714,-0.0003508063,0.00081444514,5.5988265e-05,0.15,1.652623e-07,1.6525048e-07,3.2387103e-07,6946858,0.04446812,0.0064622764,0.00093067094,0.4,0.00015225032,0.0002955464,5.3849203e-07,589834,0.32564437,0.14718622,0.03662229,0.5,0.00018908874,0.0007874575,0.0012454478,1,1,1,0,1,0
143503112,143309708,6684714,-0.00037538263,0.0007584832,5.40377e-05,0.15,1.6528126e-07,1.6525972e-07,3.244241e-07,6946858,0.044564657,0.0064487723,0.00059140334,0.4,0.000152242,0.0002955462,5.397847e-07,589834,0.32994452,0.1444183,0.038055707,0.5,0.00017046943,0.0007771062,0.0012445898,1,1,1,0,1,0
144414198,144213635,6684714,-0.00037030285,0.0007687965,5.3234773e-05,0.15,1.6532552e-07,1.6527842e-07,3.2458888e-07,6946858,0.044613104,0.0065011093,0.0002828063,0.4,0.00015223597,0.000295532,5.4058785e-07,589834,0.3313594,0.14170219,0.037000917,0.5,0.00015661735,0.0007687815,0.0012438673,1,1,1,0,1,0
