timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
110678169,0.021947168,0,0,0,0,0,0,0,0,0
111691167,0.08347492,0,0,0,0,0,0,0,0,0
112201135,0.108547054,0,0,0,0,0,0,0,0,0
112709474,0.1285198,0,0,0,0,0,0,0,0,0
113215237,0.14308332,0,0,0,0,0,0,0,0,0
113722791,0.15325423,0,0,0,0,0,0,0,0,0
114230353,0.1701618,0,0,0,0,0,0,0,0,0
114738242,0.17826062,0,0,0,0,0,0,0,0,0
115244364,0.21463384,0,0,0,0,0,0,0,0,0
115750200,0.43640244,0,0,0,0,0,0,0,0,0
116256253,0.6701546,0,0,0,0,0,0,0,0,0
116762736,0.77177995,0,0,0,0,0,0,0,0,0
117268293,0.8861287,0,0,0,0,0,0,0,0,0
117776453,1.0790306,0,0,0,0,0,0,0,0,0
118282199,1.1890154,0,0,0,0,0,0,0,0,0
118788333,1.3460575,0,0,0,0,0,0,0,0,0
119294345,1.4540185,0,0,0,0,0,0,0,0,0
119800252,1.4800587,0,0,0,0,0,0,0,0,0
120306255,1.3050302,0,0,0,0,0,0,0,0,0
120814166,1.2192163,0,0,0,0,0,0,0,0,0
121320168,1.0803039,0,0,0,0,0,0,0,0,0
121826169,0.9057064,0,0,0,0,0,0,0,0,0
122333167,0.72569317,0,0,0,0,0,0,0,0,0
122840269,0.9547473,0,0,0,0,0,0,0,0,0
123346517,0.84427786,0,0,0,0,0,0,0,0,0
123852167,0.760269,0,0,0,0,0,0,0,0,0
124359261,0.6385898,0,0,0,0,0,0,0,0,0
124865167,0.5754532,0,0,0,0,0,0,0,0,0
125371167,0.55061114,0,0,0,0,0,0,0,0,0
125878254,0.4841249,0,0,0,0,0,0,0,0,0
126384170,0.45774913,0,0,0,0,0,0,0,0,0
126890320,0.38721094,0,0,0,0,0,0,0,0,0
127396168,0.36287755,0,0,0,0,0,0,0,0,0
127902169,0.2920004,0,0,0,0,0,0,0,0,0
128408478,0.12342527,0,0,0,0,0,0,0,0,0
128915222,0.29307497,0,0,0,0,0,0,0,0,0
129423180,0.5602494,0,0,0,0,0,0,0,0,0
129929284,0.84443265,0,0,0,0,0,0,0,0,0
130435265,1.0015512,0,0,0,0,0,0,0,0,0
130942162,1.1397012,0,0,0,0,0,0,0,0,0
131448162,1.3506105,0,0,0,0,0,0,0,0,0
131955180,1.4777972,0,0,0,0,0,0,0,0,0
132463571,1.5862694,0,0,0,0,0,0,0,0,0
132970600,1.6551784,0,0,0,0,0,0,0,0,0
133476163,1.7402918,0,0,0,0,0,0,0,0,0
133982189,1.8217924,0,0,0,0,0,0,0,0,0
134488480,1.9087226,0,0,0,0,0,0,0,0,0
134994365,2.0013642,0,0,0,0,0,0,0,0,0
135500182,2.0410733,0,0,0,0,0,0,0,0,0
136006163,2.0729024,0,0,0,0,0,0,0,0,0
136513162,1.9929181,0,0,0,0,0,0,0,0,0
137020293,2.015545,0,0,0,0,0,0,0,0,0
137527168,2.0210395,0,0,0,0,0,0,0,0,0
138033496,1.9726665,0,0,0,0,0,0,0,0,0
138539162,2.0771263,0,0,0,0,0,0,0,0,0
139045415,2.088771,0,0,0,0,0,0,0,0,0
139551480,2.130741,0,0,0,0,0,0,0,0,0
140057170,2.1747077,0,0,0,0,0,0,0,0,0
140564262,2.258215,0,0,0,0,0,0,0,0,0
141070296,2.218655,0,0,0,0,0,0,0,0,0
141579262,2.2560909,0,0,0,0,0,0,0,0,0
142086161,2.2492332,0,0,0,0,0,0,0,0,0
142592640,2.240514,0,0,0,0,0,0,0,0,0
143099580,2.265434,0,0,0,0,0,0,0,0,0
143605162,2.3039517,0,0,0,0,0,0,0,0,0
144111165,2.3629868,0,0,0,0,0,0,0,0,0
144619162,2.3631463,0,0,0,0,0,0,0,0,0
145125425,2.3857372,0,0,0,0,0,0,0,0,0
145631162,2.4764001,0,0,0,0,0,0,0,0,0
146137162,2.4596705,0,0,0,0,0,0,0,0,0
146644163,2.3295047,0,0,0,0,0,0,0,0,0
147151921,2.3658497,0,0,0,0,0,0,0,0,0
147657172,2.4334059,0,0,0,0,0,0,0,0,0
148163172,2.49581,0,0,0,0,0,0,0,0,0
148671162,2.5418308,0,0,0,0,0,0,0,0,0
149179181,2.5271063,0,0,0,0,0,0,0,0,0
149685523,2.4817953,0,0,0,0,0,0,0,0,0
150192182,2.4842448,0,0,0,0,0,0,0,0,0
150699182,2.477999,0,0,0,0,0,0,0,0,0
151205182,2.4757128,0,0,0,0,0,0,0,0,0
151712163,2.4696257,0,0,0,0,0,0,0,0,0
152218162,2.5066674,0,0,0,0,0,0,0,0,0
152724359,2.524042,0,0,0,0,0,0,0,0,0
153231163,2.5939276,0,0,0,0,0,0,0,0,0
153738240,2.6523268,0,0,0,0,0,0,0,0,0
154245198,2.5833044,0,0,0,0,0,0,0,0,0
154752161,2.5946968,0,0,0,0,0,0,0,0,0
155259314,2.5550804,0,0,0,0,0,0,0,0,0
155766210,2.6051238,0,0,0,0,0,0,0,0,0
156273230,2.5536025,0,0,0,0,0,0,0,0,0
156780163,2.2838788,0,0,0,0,0,0,0,0,0
157287399,2.196532,0,0,0,0,0,0,0,0,0
157794273,2.0629666,0,0,0,0,0,0,0,0,0
158300506,2.0628781,0,0,0,0,0,0,0,0,0
158806657,2.173217,0,0,0,0,0,0,0,0,0
159312576,2.1411035,0,0,0,0,0,0,0,0,0
159818173,2.164471,0,0,0,0,0,0,0,0,0
160325276,2.2316992,0,0,0,0,0,0,0,0,0
160832812,2.3640153,0,0,0,0,0,0,0,0,0
161339763,2.3146544,0,0,0,0,0,0,0,0,0
161846163,2.370787,0,0,0,0,0,0,0,0,0
162352545,2.3471007,0,0,0,0,0,0,0,0,0
162858410,2.3384917,0,0,0,0,0,0,0,0,0
163364162,2.2740498,0,0,0,0,0,0,0,0,0
163871184,2.2089875,0,0,0,0,0,0,0,0,0
164378283,2.2099347,0,0,0,0,0,0,0,0,0
164884235,2.1985395,0,0,0,0,0,0,0,0,0
165391195,2.1707678,0,0,0,0,0,0,0,0,0
165897303,2.1766853,0,0,0,0,0,0,0,0,0
166403505,2.161599,0,0,0,0,0,0,0,0,0
166911162,2.1072628,0,0,0,0,0,0,0,0,0
167417567,1.9287965,0,0,0,0,0,0,0,0,0
167924376,1.8967756,0,0,0,0,0,0,0,0,0
168431641,1.9137666,0,0,0,0,0,0,0,0,0
168938162,1.8708054,0,0,0,0,0,0,0,0,0
169444614,1.8901906,0,0,0,0,0,0,0,0,0
169950250,1.9621063,0,0,0,0,0,0,0,0,0
170457436,1.9671875,0,0,0,0,0,0,0,0,0
170963192,2.0895746,0,0,0,0,0,0,0,0,0
171470423,2.0745554,0,0,0,0,0,0,0,0,0
171977516,2.089135,0,0,0,0,0,0,0,0,0
172483163,2.041153,0,0,0,0,0,0,0,0,0
172990161,2.0649385,0,0,0,0,0,0,0,0,0
173497389,2.0902557,0,0,0,0,0,0,0,0,0
174003255,2.0937307,0,0,0,0,0,0,0,0,0
174510177,2.1780374,0,0,0,0,0,0,0,0,0
175016229,2.1582184,0,0,0,0,0,0,0,0,0
175522254,2.166261,0,0,0,0,0,0,0,0,0
176029161,2.1352625,0,0,0,0,0,0,0,0,0
176535162,2.137054,0,0,0,0,0,0,0,0,0
177042162,2.2313554,0,0,0,0,0,0,0,0,0
177549181,2.3322375,0,0,0,0,0,0,0,0,0
178056526,2.2485156,0,0,0,0,0,0,0,0,0
178562188,2.1361706,0,0,0,0,0,0,0,0,0
179069334,2.1323438,0,0,0,0,0,0,0,0,0
179578331,2.11786,0,0,0,0,0,0,0,0,0
180086247,2.0449767,0,0,0,0,0,0,0,0,0
180593181,1.9910146,0,0,0,0,0,0,0,0,0
181099207,1.9834565,0,0,0,0,0,0,0,0,0
181605263,2.013519,0,0,0,0,0,0,0,0,0
182112632,2.1739457,0,0,0,0,0,0,0,0,0
182618997,2.3526309,0,0,0,0,0,0,0,0,0
183124326,2.2352498,0,0,0,0,0,0,0,0,0
183631203,2.183172,0,0,0,0,0,0,0,0,0
184137207,2.23236,0,0,0,0,0,0,0,0,0
184643415,2.1246924,0,0,0,0,0,0,0,0,0
185151161,2.216388,0,0,0,0,0,0,0,0,0
185657230,2.144429,0,0,0,0,0,0,0,0,0
186163181,2.0617194,0,0,0,0,0,0,0,0,0
186670380,2.0098372,0,0,0,0,0,0,0,0,0
187176186,2.0748577,0,0,0,0,0,0,0,0,0
187682181,2.094051,0,0,0,0,0,0,0,0,0
188188180,2.1544075,0,0,0,0,0,0,0,0,0
188694193,2.2628832,0,0,0,0,0,0,0,0,0
189201381,2.300473,0,0,0,0,0,0,0,0,0
189707189,2.4220512,0,0,0,0,0,0,0,0,0
190213164,2.5241961,0,0,0,0,0,0,0,0,0
190719233,2.7063925,0,0,0,0,0,0,0,0,0
191226163,2.770788,0,0,0,0,0,0,0,0,0
191733163,2.7571077,0,0,0,0,0,0,0,0,0
191843995,2.850891,0,0,0,0,0,0,0,0,0
192349167,2.7621324,0,0,0,0,0,0,0,0,0
192855166,2.7146695,0,0,0,0,0,0,0,0,0
193361180,2.648605,0,0,0,0,0,0,0,0,0
193867167,2.03412,0,0,0,0,0,0,0,0,0
194373417,2.2040553,0,0,0,0,0,0,0,0,0
194881310,2.0814953,0,0,0,0,0,0,0,0,0
195387533,1.9426602,0,0,0,0,0,0,0,0,0
195893168,1.8193024,0,0,0,0,0,0,0,0,0
196399181,1.6580706,0,0,0,0,0,0,0,0,0
196410404,1.6580706,0,0,0,0,0,0,0,0,0
196434141,1.6380543,0,0,0,0,0,0,0,0,0
196544504,1.607982,0,0,0,0,0,0,0,0,0
197044736,1.4807804,0,0,0,0,0,0,0,0,0
