timestamp,observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],controller_time,inference_time
129363216,-0.06118795,-0.013207817,-0.018957555,0.9967862,0.07391834,-0.030878235,-0.07385385,0.9972639,0.0032256267,0.09337018,0.042056102,0.01651032,-0.2704487,0.33329663,0.02950973,0.52038455,0.43461117,0.68487453,0.23419277,147,99
129412835,-0.06510374,-0.015093855,-0.019211352,0.99714553,0.071226954,-0.025054665,-0.07102668,0.99743575,0.008794145,0.0921218,0.043449428,0.00030098367,0.5038456,-0.61937207,0.07731577,0.56580716,0.6398598,0.20365801,0.78583956,123,85
129465495,-0.06935787,-0.01735181,-0.019379318,0.9972746,0.068864346,-0.026483065,-0.06867087,0.9976062,0.008152256,0.06641765,0.028882207,0.012904035,-0.37259972,0.40671262,0.04719201,0.5110836,0.46187344,0.68492454,0.20153742,142,103
129513658,-0.07287048,-0.019341346,-0.01925844,0.99701756,0.067441225,-0.0375205,-0.06752133,0.99771756,-0.0008679073,0.078116834,0.034208745,0.000364127,0.24842688,-0.20767948,0.018567378,0.5637828,0.52899116,0.3929468,0.6259216,166,118
129563258,-0.07595861,-0.021215267,-0.019536793,0.9976096,0.064448476,-0.024931438,-0.06425142,0.9978965,0.00862702,0.06408757,0.03835551,0.0054873577,0.1512105,-0.15127023,0.046614353,0.5441169,0.5390157,0.45652795,0.5067821,125,86
129612894,-0.07859273,-0.022953106,-0.019580543,0.9976093,0.061825514,-0.030876542,-0.061842322,0.9980859,0.00041204356,0.050198086,0.028160281,0.020009564,-0.42096284,0.5563003,0.09496785,0.53671134,0.47116527,0.672459,0.16462235,124,84
129664037,-0.080626935,-0.024547145,-0.019964278,0.99772596,0.059580326,-0.031513497,-0.05957389,0.9982233,0.0011453482,0.04980122,0.023348887,0.007529061,0.54140484,-0.52328485,-0.058197454,0.5512899,0.5915163,0.24715534,0.87378275,123,84
129713698,-0.08199014,-0.02583054,-0.020512283,0.99819654,0.05663836,-0.019900661,-0.056527615,0.9983826,0.006088485,0.028856695,0.023486428,0.0144896805,-0.3368422,0.28793103,0.011878383,0.48289338,0.4575734,0.686227,0.21270695,144,106
129763343,-0.08320978,-0.026950983,-0.020484507,0.99781716,0.055957317,-0.03506881,-0.056173325,0.99840754,-0.005203281,0.032345448,0.018607548,0.0014886713,0.028632225,0.093468376,0.04934642,0.55929893,0.45963627,0.55557984,0.42738017,145,84
129811451,-0.08386445,-0.027756501,-0.020556748,0.9984073,0.0537138,-0.01725734,-0.053581238,0.9985311,0.008054205,0.018768596,0.018019293,-0.0003433213,0.1835324,-0.2542075,0.07830362,0.5394371,0.6214267,0.35519692,0.568421,123,85
129864108,-0.08446765,-0.028504537,-0.020219088,0.9984918,0.050715566,-0.021024117,-0.050673246,0.99871206,0.0025377232,0.007997627,-9.170233e-05,0.0072367415,-0.5287758,0.59699917,0.11958738,0.5369548,0.50378776,0.6670137,0.13263004,124,85
