timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
110720397,509337,1,3670026,6815762,3670026,589834,0.5005533,0.5025254,0.50197613,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
111721034,509337,1,3670026,6815762,3670026,589834,0.501612,0.5041009,0.5028953,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
112721238,509337,1,3670026,6815762,3670026,589834,0.5021725,0.503804,0.50775695,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
113721615,509337,1,3670026,6815762,3670026,589834,0.50110376,0.5015972,0.68379605,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
114721897,509337,1,3670026,6815762,3670026,589834,0.500851,0.50144815,0.7720811,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
115722197,509337,1,3670026,6815762,3670026,589834,0.5018775,0.5048437,0.68355006,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
116722449,509337,1,3670026,6815762,3670026,589834,0.5048786,0.520604,2.0,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
117682843,509337,1,3670026,6815762,3670026,589834,0.7245939,0.5173949,2.0,nan,nan,nan,nan,nan,nan,0.0,0.792801,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
117692573,509337,1,3670026,6815762,3670026,589834,0.7245939,0.5173949,2.0,nan,nan,nan,nan,nan,nan,0.0,0.58560205,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
117702819,509337,1,3670026,6815762,3670026,589834,0.73333937,0.5171291,2.0,nan,nan,nan,nan,nan,nan,0.0,0.3693918,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
117712798,509337,1,3670026,6815762,3670026,589834,0.7425488,0.5171291,2.0,nan,nan,nan,nan,nan,nan,0.0,0.1439721,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
117722724,509337,1,3670026,6815762,3670026,589834,0.75240827,0.5172148,2.0,nan,nan,nan,nan,nan,nan,0.0,-0.09122139,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
117736473,509337,1,3670026,6815762,3670026,589834,0.75240827,0.5172148,2.0,nan,nan,nan,nan,nan,nan,0.0,-0.32641488,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
117743160,117742809,2,6946858,6815762,6684714,589834,0.76331085,0.51729417,2.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
