timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
111100884,110891955,110900836,0,-0.01203652,-0.16601948,0.32294047,0.0025000002,0.0025000002,0.0025000002,0.052659176,-0.020247802,0.011832386,0.023146693,-0.0012912244,0.00019017702,0.0025053278,0.002502284,0.002502076,0.122981854,0.018203815,0.0062172874,0.043397646,-0.0029146739,0.00034073062,2,0,1
111589533,111381731,111390624,0,0.027700549,-0.17423575,0.33978638,0.0025000002,0.0025000002,0.0025000002,0.012842737,-0.011872411,-0.004961133,0.012823917,-0.006320967,-0.00092723395,0.0025053245,0.0025022754,0.0025020693,0.007314905,0.00625885,0.0010930038,0.021206895,-0.005676245,-0.00025061908,2,0,1
112142103,111941738,111942873,0,0.0361471,-0.1664496,0.3114376,0.0025000002,0.0025000002,0.0025000002,0.0042387135,-0.01950498,0.023334801,0.014510979,-0.014714686,0.011488576,0.002505322,0.0025022696,0.0025020626,0.0007968235,0.016893253,0.024180572,0.024087992,-0.013812077,0.012582857,2,0,1
112632023,112431765,112432551,0,0.031883836,-0.16908571,0.31472415,0.0025000002,0.0025000002,0.0025000002,0.008313023,-0.016904071,0.019888103,0.017092705,-0.01640587,0.012971251,0.0025053138,0.0025022645,0.0025020572,0.0030648788,0.012688311,0.017564941,0.021305092,-0.017940389,0.012595717,2,0,1
113124906,112921812,112922271,0,0.0140316915,-0.18638775,0.32195434,0.0025000002,0.0025000002,0.0025000002,0.025980014,0.000373587,0.012491554,0.016543426,-0.011861522,0.01633787,0.0025053038,0.0025022584,0.0025020519,0.029934764,6.203533e-06,0.006929389,0.020264257,-0.011345102,0.015254012,2,0,1
113611885,113411915,113412123,0,0.026077058,-0.16031457,0.34023577,0.0025000002,0.0025000002,0.0025000002,0.01371761,-0.025785878,-0.005866945,0.0146873165,-0.011895385,0.0059799002,0.0025053038,0.0025022537,0.0025020468,0.008345532,0.029524792,0.0015285801,0.013370059,-0.013062705,0.0057906564,2,0,1
114111546,113901746,113912303,0,0.032680813,-0.18829167,0.3327335,0.0025000002,0.0025000002,0.0025000002,0.0070747063,0.00217776,0.0016868412,0.011655711,-0.005289519,-0.00368432,0.0025053066,0.0025022482,0.0025020416,0.0022197978,0.00021060255,0.00012636677,0.010404871,-0.0060271667,-0.0051203063,2,0,1
114604466,114391728,114401862,0,0.04419793,-0.18218395,0.33611998,0.0025000002,0.0025000002,0.0025000002,-0.0045494772,-0.0038601905,-0.0016322732,0.011674904,-0.0067534973,-0.0077105826,0.0025053094,0.0025022416,0.002502036,0.0009179502,0.00066169136,0.00011831565,0.010717983,-0.0061758934,-0.006525378,2,0,1
115090448,114881759,114891530,0,0.03828522,-0.14994523,0.34646297,0.0025000002,0.0025000002,0.0025000002,0.0016162694,-0.035895884,-0.011852413,0.010010294,-0.012819787,-0.0069526834,0.0025053164,0.0025022388,0.0025020307,0.00011585702,0.05721603,0.006238499,0.014053733,-0.018080385,-0.0047467444,2,0,1
115579994,115371729,115381209,0,0.059284307,-0.20416638,0.34760323,0.0025000002,0.0025000002,0.0025000002,-0.018753361,0.01857844,-0.012753755,-0.0042279647,-0.006460571,-0.013722343,0.0025053143,0.0025022337,0.002502025,0.015597446,0.015326433,0.007223374,-0.0070756366,-0.0086054625,-0.014479022,2,0,1
