timestamp,nav_state,failure
110580562,2,0
111080800,2,0
111590768,2,0
112095023,2,0
112601262,2,0
113111230,2,0
113621761,2,0
114122281,2,0
114632290,2,0
115142323,2,0
115652272,2,0
116152949,2,0
116663666,2,0
117212707,2,0
117722833,2,0
118275609,2,0
118788726,2,0
119294386,2,0
119800292,2,0
120301864,2,0
120814232,2,0
121315774,2,0
121822891,2,0
122329967,2,0
122840309,2,0
123346557,2,0
123852248,2,0
124359301,2,0
124864404,2,0
125369633,2,0
125878294,2,0
126384228,2,0
126888986,2,0
127396281,2,0
127902209,2,0
128408518,23,0
128911402,23,0
129417899,23,0
129926455,23,0
130433105,23,0
130942202,23,0
131448215,23,0
131954287,23,0
132463612,23,0
132970640,23,0
133476241,23,0
133982228,23,0
134484121,23,0
134989329,23,0
135497858,23,0
136003139,23,0
136507483,23,0
137018573,23,0
137521473,23,0
138027933,23,0
138539202,23,0
139042196,23,0
139550132,23,0
140057210,23,0
140558273,23,0
141070336,23,0
141572100,23,0
142086202,23,0
142592680,23,0
143098608,23,0
143605203,23,0
144111207,23,0
144613211,23,0
145121953,23,0
145629768,23,0
146132622,23,0
146640750,23,0
147145752,23,0
147657213,23,0
148163212,23,0
148663582,23,0
149179221,23,0
149685750,23,0
150187269,23,0
150695957,23,0
151203560,23,0
151710833,23,0
152218203,23,0
152724399,23,0
153231203,23,0
153732778,23,0
154239163,23,0
154750525,23,0
155253061,23,0
155764351,23,0
156273271,23,0
156780478,23,0
157284765,23,0
157793202,23,0
158300093,23,0
158803901,23,0
159312644,23,0
159813883,23,0
160322059,23,0
160832853,23,0
161339803,23,0
161843903,23,0
162352585,23,0
162858450,23,0
163362778,23,0
163868086,23,0
164374930,23,0
164884275,23,0
165391235,23,0
165893862,23,0
166403545,23,0
166910594,23,0
167411874,23,0
167924429,23,0
168425459,23,0
168935023,23,0
169443725,23,0
169950290,23,0
170451031,23,0
170959483,23,0
171466621,23,0
171977558,23,0
172483203,23,0
172990201,23,0
173490634,23,0
173999386,23,0
174510241,23,0
175016271,23,0
175517901,23,0
176027919,23,0
176533423,23,0
177042202,23,0
177545378,23,0
178056566,23,0
178562227,23,0
179069122,23,0
179573076,23,0
180081655,23,0
180589545,23,0
181093618,23,0
181599981,23,0
182108960,23,0
182619037,23,0
183124366,23,0
183624687,23,0
184137248,23,0
184643457,23,0
185151201,23,0
185657449,23,0
186161037,23,0
186668775,23,0
187175564,23,0
187678034,23,0
188188283,23,0
188694233,23,0
189199847,23,0
189703965,23,0
190207426,23,0
190719273,23,0
191226203,23,0
191729592,23,0
191844036,15,0
192347487,15,0
192855207,15,0
193358301,15,0
193867207,15,0
194373457,15,0
194874179,15,0
195382717,15,0
195892828,15,0
196399221,15,0
196903269,15,0
