timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
188652520,188640373,5,4,1,0,0,0,3,0,0,0,0,0,0
189656221,189648263,5,4,1,0,0,0,3,0,0,0,0,0,0
190656311,190648230,5,4,1,0,0,0,3,0,0,0,0,0,0
191664486,191644192,5,4,1,0,0,0,3,0,0,0,0,0,0
191824222,191816257,6,6,1,0,0,0,3,0,0,0,0,0,0
192824223,192816192,6,6,1,0,0,0,3,0,0,0,0,0,0
193824225,193820235,6,6,1,0,0,0,3,0,0,0,0,0,0
194825355,194820202,6,6,1,0,0,0,3,0,0,0,0,0,0
195828231,195820192,6,6,1,0,0,0,3,0,0,0,0,0,0
196408235,196396238,7,6,3,0,0,0,3,0,0,0,0,0,0
197408248,197404327,7,6,3,0,0,0,3,0,0,0,0,0,0
