timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
110169065,-0.0014309898,0.0,0.0,0.0,0.00029348,0.0,0.0,0.0,-0.00051944435,0.0,0.0,0.0,0,0,0,0,0,0,0,0
197202204,1.3562509e-05,0.0,0.0,0.0,6.827686e-07,0.0,0.0,0.0,-1.6554191e-05,0.0,0.0,0.0,0,0,0,0,0,0,0,0
197222063,-1.9298732e-06,0.0,0.0,0.0,-1.0984239e-05,0.0,0.0,0.0,-8.19697e-06,0.0,0.0,0.0,0,0,0,0,0,0,0,0
197402063,3.5117315e-05,0.0,0.0,0.0,1.9702415e-05,0.0,0.0,0.0,3.363873e-05,0.0,0.0,0.0,0,0,0,0,0,0,0,0
