timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,local_position_accuracy_low,navigator_failure,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure
110379316,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110806650,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111339704,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111879387,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112421684,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112962330,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113512450,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114053363,16700542,16699518,16646270,16384056,262212,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114584399,16700542,16699518,16646270,16384056,262212,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115134358,16700542,16699518,16646270,16384056,8650820,56,8,16384,32,2621464,3944480,33863,2130706432,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
