timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch
2368380243,2368371817,5,4,1,0,0,0,3,0,0,0,0,0
2369383146,2369373672,5,4,1,0,0,0,3,0,0,0,0,0
2370386797,2370377529,5,4,1,0,0,0,3,0,0,0,0,0
2371390657,2371386004,5,4,1,0,0,0,3,0,0,0,0,0
2372394313,2372390102,5,4,1,0,0,0,3,0,0,0,0,0
2373395099,2373390939,5,4,1,0,0,0,3,0,0,0,0,0
2374397541,2374388245,5,4,1,0,0,0,3,0,0,0,0,0
2375398173,2375393916,5,4,1,0,0,0,3,0,0,0,0,0
2375968486,2375963540,6,6,1,0,0,0,3,0,0,0,0,0
2376970280,2376965985,6,6,1,0,0,0,3,0,0,0,0,0
2377973842,2377964548,6,6,1,0,0,0,3,0,0,0,0,0
2378975503,2378966541,6,6,1,0,0,0,3,0,0,0,0,0
2379982884,2379969103,6,6,1,0,0,0,3,0,0,0,0,0
2380983706,2380979410,6,6,1,0,0,0,3,0,0,0,0,0
2381986887,2381982391,6,6,1,0,0,0,3,0,0,0,0,0
2382991370,2382986427,6,6,1,0,0,0,3,0,0,0,0,0
2383993877,2383989513,6,6,1,0,0,0,3,0,0,0,0,0
2384994183,2384989887,6,6,1,0,0,0,3,0,0,0,0,0
2385997458,2385988520,6,6,1,0,0,0,3,0,0,0,0,0
2387003591,2386994542,6,6,1,0,0,0,3,0,0,0,0,0
2388004940,2388000466,6,6,1,0,0,0,3,0,0,0,0,0
2389005497,2389000221,6,6,1,0,0,0,3,0,0,0,0,0
2390005625,2390001324,6,6,1,0,0,0,3,0,0,0,0,0
2391013394,2391004369,6,6,1,0,0,0,3,0,0,0,0,0
2392016831,2392012422,6,6,1,0,0,0,3,0,0,0,0,0
2393021440,2393012024,6,6,1,0,0,0,3,0,0,0,0,0
2394023023,2394013996,6,6,1,0,0,0,3,0,0,0,0,0
2395028014,2395009758,6,6,1,0,0,0,3,0,0,0,0,0
2396030928,2396021843,6,6,1,0,0,0,3,0,0,0,0,0
2397032916,2397019328,6,6,1,0,0,0,3,0,0,0,0,0
2398038902,2398029945,6,6,1,0,0,0,3,0,0,0,0,0
2399042259,2399037904,6,6,1,0,0,0,3,0,0,0,0,0
2400044846,2400040651,6,6,1,0,0,0,3,0,0,0,0,0
2400246774,2400053871,1,6,1,0,0,0,3,0,0,0,0,0
2401253407,2401239428,1,6,1,0,0,0,3,0,0,0,0,0
2402253500,2402244257,1,6,1,0,0,0,3,0,0,0,0,0
2403259820,2403250600,1,6,1,0,0,0,3,0,0,0,0,0
2404263160,2404254017,1,6,1,0,0,0,3,0,0,0,0,0
2405267160,2405262465,1,6,1,0,0,0,3,0,0,0,0,0
2406271033,2406266695,1,6,1,0,0,0,3,0,0,0,0,0
2407273078,2407264068,1,6,1,0,0,0,3,0,0,0,0,0
2408277294,2408272706,1,6,1,0,0,0,3,0,0,0,0,0
2409281524,2409276827,1,6,1,0,0,0,3,0,0,0,0,0
2410285746,2410281234,1,6,1,0,0,0,3,0,0,0,0,0
2411287110,2411282767,1,6,1,0,0,0,3,0,0,0,0,0
2412295965,2412282051,1,6,1,0,0,0,3,0,0,0,0,0
2413298319,2413289192,1,6,1,0,0,0,3,0,0,0,0,0
2414308754,2414289164,1,6,1,0,0,0,3,0,0,0,0,0
2415309372,2415304593,1,6,1,0,0,0,3,0,0,0,0,0
2416312293,2416302150,1,6,1,0,0,0,3,0,0,0,0,0
2416600847,2416591967,2,4,1,0,0,0,3,0,0,0,0,0
2417609411,2417600313,2,4,1,0,0,0,3,0,0,0,0,0
2418611306,2418602290,2,4,1,0,0,0,3,0,0,0,0,0
2419346751,2419342181,3,4,3,0,0,0,3,0,0,0,0,0
2420348815,2420339845,3,4,3,0,0,0,3,0,0,0,0,0
