timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
2368418787,2368418527,-0.003642223,0.0009904722,-0.004441828,-0.24552378,-0.15952879,-3.991276
2368421619,2368421073,-0.0016473623,-5.820702e-05,-0.019063061,0.17844337,-0.23815857,-4.7063193
2368433297,2368432602,0.0019264669,-0.00069346617,-0.029967716,0.55022097,-0.049633615,-0.0030238198
2368436276,2368435202,-0.0009180183,-0.00024341093,-0.020798486,-0.061023027,0.054157875,1.3737952
2368441841,2368441305,0.0028740112,-0.00030032027,0.0020374495,0.34183136,-0.04373194,2.751045
2368448331,2368447639,0.0016563132,0.002237523,0.0037998029,0.08941531,0.35266504,0.82794976
2368455823,2368455180,-0.0039598523,0.00080337166,0.0041746898,-0.5888379,-0.11294183,0.45396778
2368468035,2368466594,-0.0032751847,1.8330582e-05,-0.013762583,-0.13909534,0.022942398,-1.8731397
2368473509,2368471795,2.534117e-05,-7.9434714e-05,-0.024155598,0.40032157,0.013027324,-1.9052074
2368476735,2368475390,-0.00011677592,0.0005129799,-0.023904512,0.11701377,0.04052721,-0.88834226
2368479745,2368479204,0.003690037,0.00030873262,-0.018155575,0.5778307,0.03080478,0.41930693
2368482460,2368481750,0.0056833327,-0.00066076516,-0.008832068,0.6811797,-0.15762696,1.6789322
2368489985,2368489299,0.0020970558,-0.00061078015,0.014101282,-0.19311962,0.050254576,2.583656
2368492731,2368491808,0.00096828025,-0.0012122756,0.01688106,-0.26675123,-0.07279852,1.9684384
2368496230,2368495759,-0.0021921652,-0.002792112,0.017619157,-0.5702487,-0.22591682,1.0990827
2368500789,2368499795,-0.0006400129,-0.0013795645,0.01429607,-0.09802935,0.0638336,0.025533501
2368506380,2368505854,0.00017095619,-0.0010825468,0.016309975,0.1404406,0.032162536,0.3556921
2368507858,2368506973,0.0007857321,-0.0017009678,0.016853314,0.20341714,-0.07299692,0.37378943
2368512645,2368512124,0.0011447552,-0.004295243,0.022286166,0.06913554,-0.3456415,0.8873036
2368516092,2368515823,0.0010348305,-0.004739334,0.024312153,-0.023915205,-0.24155857,0.6513382
2368517400,2368517183,6.711262e-05,-0.004846127,0.023845112,-0.19377,-0.20196661,0.43477595
2368520478,2368519643,-0.0030150826,-0.0038491776,0.024875572,-0.6042463,-0.0025911813,0.4543003
2368526916,2368525971,-0.0038701834,-0.004471148,0.03212002,-0.2992911,-0.18781231,1.0252241
2368529352,2368528679,-0.0043472303,-0.0059120837,0.039114755,-0.25969586,-0.3147817,1.7226549
2368536550,2368536149,-0.00507921,-0.0078218235,0.053185936,-0.1754583,-0.18471253,1.6745669
2368539110,2368538718,-0.0055247284,-0.009183977,0.05744083,-0.17779282,-0.31936008,1.6748581
2368546332,2368545190,-0.008996801,-0.01112709,0.05852069,-0.57514274,-0.2356961,0.452965
2368551505,2368551191,-0.012164206,-0.010694382,0.043002702,-0.5212247,-0.035907947,-1.7587615
2368556715,2368556271,-0.014744245,-0.012183029,0.023936266,-0.41433638,-0.21081695,-3.0577638
2368562773,2368562568,-0.013582273,-0.014018306,0.0018753738,0.031608857,-0.23126335,-3.2883744
2368566686,2368566410,-0.012106136,-0.014567105,-0.0049661915,0.26571295,-0.20653199,-2.5856605
2368567878,2368567670,-0.011963376,-0.014413039,-0.0064023747,0.23023318,-0.13358034,-2.2702143
2368574396,2368573966,-0.0131091755,-0.016943507,-0.0023877916,0.04208518,-0.40711144,-0.19305563
2368577323,2368576492,-0.015425665,-0.01864484,-0.0025566518,-0.32360423,-0.5023964,-0.099946134
2368582993,2368582755,-0.01645552,-0.01950646,-0.002106148,-0.14211492,-0.28197348,-0.20665528
2368585519,2368585325,-0.016037922,-0.021418758,-0.0055459645,-0.023692118,-0.46401665,-0.612627
2368589451,2368589096,-0.017383538,-0.022627149,-0.012774948,-0.20365264,-0.3761486,-1.1919043
2368594680,2368594220,-0.017591337,-0.024344785,-0.021789264,-0.23705709,-0.3436572,-1.5472664
2368599464,2368599201,-0.0148619255,-0.031542107,-0.024843976,0.17884769,-1.0840399,-0.9061217
2368604719,2368604241,-0.017027121,-0.040260963,-0.030012827,-0.32232204,-1.4125913,-0.9852023
2368608644,2368608253,-0.020359647,-0.0420838,-0.032312136,-0.5457325,-0.93427825,-0.7431097
2368613838,2368613136,-0.030912055,-0.044901367,-0.029727958,-1.4225686,-0.68900996,0.2363927
2368616014,2368615683,-0.034874283,-0.045079958,-0.025888259,-1.4853897,-0.47158808,0.74780935
2368621650,2368620769,-0.03903172,-0.049732883,-0.0239886,-1.1082098,-0.7688523,0.5942921
2368630566,2368629582,-0.04170692,-0.05208548,-0.012087849,-0.45075086,-0.4593503,1.4015766
2368635304,2368634656,-0.037941046,-0.05781476,-0.016578374,0.2666988,-0.9036839,-0.18269444
2368638567,2368638354,-0.037754606,-0.060090892,-0.025597805,0.056234818,-0.7393421,-1.2751039
2368641146,2368640907,-0.035368133,-0.061067007,-0.02851104,0.45892382,-0.62302953,-1.2041203
2368642695,2368642215,-0.03347159,-0.062039908,-0.028864298,0.6772776,-0.65096563,-1.0098712
2368648077,2368647289,-0.034090407,-0.06298916,-0.036262583,0.20892304,-0.3204308,-1.2418405
2368651335,2368651010,-0.033341814,-0.06262153,-0.042308375,0.25190094,-0.0765285,-1.4378091
2368655461,2368654811,-0.03522078,-0.06359144,-0.046862457,-0.06010532,-0.17397559,-1.2635088
2368658660,2368657439,-0.03096881,-0.06364155,-0.04639239,0.5842829,-0.111615576,-0.72377944
2368664512,2368663675,-0.029534549,-0.060811166,-0.056993008,0.27776778,0.41669583,-1.367969
2368666966,2368666169,-0.029115874,-0.057281557,-0.05991122,0.22665043,0.8092795,-1.2955672
2368674008,2368673778,-0.03541307,-0.050919376,-0.057402022,-0.3639729,0.8339828,0.049898837
2368679712,2368678775,-0.03483052,-0.048039194,-0.06039567,-0.17140388,0.67169404,-0.27936435
2368683209,2368682678,-0.031938773,-0.044406574,-0.057993334,0.2327032,0.82071644,0.23033829
2368685708,2368685166,-0.02733105,-0.043032233,-0.053559747,0.895492,0.68569696,0.8194871
2368688118,2368687682,-0.02646365,-0.041659776,-0.04819431,0.6490989,0.6225908,1.3177506
2368693500,2368693010,-0.01837351,-0.03684414,-0.041645944,1.2899064,0.806589,1.2899457
2368697278,2368696554,-0.012253565,-0.035181973,-0.03797043,1.4116277,0.6083077,1.1532393
2368701715,2368700287,-0.00190991,-0.0305487,-0.02779723,2.2053738,0.89996916,1.9590188
2368704146,2368703101,0.0029265597,-0.028879391,-0.024476497,2.0867162,0.83257985,1.7162206
2368705344,2368704094,0.0053291405,-0.028030245,-0.02332676,2.0535328,0.7943779,1.5476623
2368708387,2368707873,0.013467878,-0.024526753,-0.017997226,2.0926764,0.87653774,1.5238461
2368712310,2368711824,0.019878328,-0.01999426,-0.013544233,1.8107567,1.0659169,1.3805132
2368719487,2368719233,0.02957151,-0.00487909,0.008025584,1.3494257,1.7609798,2.3078077
2368721972,2368721772,0.029986385,8.072873e-05,0.013183311,0.91097754,1.8308867,2.2373052
2368724716,2368724466,0.03188338,0.0043879957,0.018795889,0.8591508,1.7774936,2.2311108
2368729857,2368729414,0.032712054,0.00905439,0.028972935,0.52597153,1.2580863,2.1811736
2368732193,2368731867,0.03228978,0.011631918,0.033268604,0.2760317,1.1774914,2.0031672
2368736080,2368735868,0.03396695,0.016418848,0.035940085,0.32813638,1.1872807,1.3372517
2368744811,2368744537,0.036611088,0.027693996,0.05111084,0.49844006,1.2502217,1.5558263
2368747302,2368747031,0.03746256,0.029992782,0.04800933,0.46610576,1.151161,0.4642491
2368749842,2368749641,0.04125446,0.034205783,0.040975437,0.8387514,1.3742813,-0.7644653
2368754179,2368753519,0.04689757,0.041997686,0.028904567,1.2168916,1.7292877,-2.0211263
2368757412,2368757205,0.051047407,0.05154872,0.025387058,1.2714998,2.1794126,-1.3482242
2368759859,2368759644,0.057782985,0.056003466,0.027584635,1.7786193,2.0261345,-0.53942776
2368762435,2368762232,0.062449608,0.061219636,0.026567357,1.830189,2.07149,-0.47966555
2368764876,2368764665,0.06646248,0.06637942,0.02447331,1.7136105,2.0614705,-0.61080164
2368772540,2368772314,0.07303634,0.07654711,0.027393663,0.94271547,1.4614812,0.42104578
2368774956,2368774771,0.07315987,0.07996929,0.031600494,0.57099026,1.42276,0.86732775
2368777722,2368777383,0.073193125,0.08344782,0.031103648,0.36576393,1.3915322,0.4161912
2368781554,2368781320,0.07113908,0.08610656,0.027092045,-0.08729382,1.0375178,-0.29507595
2368785136,2368784930,0.06717225,0.09115046,0.025450451,-0.6581166,1.1933576,-0.33071634
2368787641,2368787445,0.066040985,0.092668965,0.029205788,-0.56379926,0.9528733,0.36985996
2368790133,2368789930,0.063283205,0.09414075,0.033159457,-0.7810186,0.82686925,0.8222281
2368795449,2368795072,0.0602089,0.102628835,0.03170484,-0.7626693,1.3130118,0.064230874
2368799085,2368798858,0.051931765,0.107586585,0.030429643,-1.552215,1.2991931,-0.09381604
2368801527,2368801332,0.05033869,0.11019385,0.034208957,-1.1385736,1.1708074,0.52176154
2368805638,2368805258,0.04895168,0.112461925,0.035809305,-0.7776057,0.905428,0.4208004
2368808213,2368807673,0.048504416,0.11436164,0.03342518,-0.5635881,0.85886574,-0.10950523
2368813017,2368812751,0.04406792,0.11596684,0.023661312,-0.87744296,0.4986889,-1.289762
2368818534,2368817755,0.040009763,0.11497021,0.025904238,-0.72026896,-0.0026813147,-0.11904663
2368834516,2368834236,0.019064145,0.1053067,0.012323454,-1.4043195,-0.5334123,-0.24126722
2368835795,2368835584,0.01782351,0.104601,0.010311284,-1.3149086,-0.54232395,-0.5356773
2368840728,2368840493,0.011301464,0.097398326,-0.0023709033,-1.3615121,-1.0661452,-1.7384657
2368845740,2368845547,-0.0012301038,0.09293154,-0.0042601884,-1.9434906,-0.96433806,-0.7555677
2368847042,2368846829,-0.003997781,0.09186454,-0.0036085644,-2.007873,-0.9443431,-0.48921305
2368852269,2368852056,-0.016422592,0.09039751,-0.0058899573,-2.2134748,-0.5453607,-0.6031065
2368854700,2368854494,-0.02025742,0.08814514,-0.010990024,-1.9454868,-0.6787974,-1.1628747
2368859675,2368859445,-0.030092647,0.08135258,-0.014978781,-1.785401,-1.0920889,-0.7332374
2368860923,2368860723,-0.030334612,0.078872174,-0.013985485,-1.4457648,-1.2780902,-0.41375875
2368867199,2368867011,-0.03612706,0.06485805,-0.016815746,-1.1225383,-1.9252509,-0.47896454
2368869711,2368869532,-0.03755377,0.061199185,-0.01995784,-0.9260881,-1.7403249,-0.7929742
2368872230,2368872046,-0.04295313,0.056893952,-0.022626886,-1.3882289,-1.734291,-0.87641025
2368877922,2368877133,-0.042737953,0.04665079,-0.017539093,-0.46246237,-1.9576639,0.25276667
2368879839,2368879664,-0.041326553,0.04274703,-0.018238654,-0.09179531,-1.822054,0.025496734
2368882486,2368882171,-0.041758727,0.037508696,-0.018909248,-0.119208984,-1.9316667,-0.068108425
2368886336,2368885993,-0.041278705,0.028775537,-0.021259652,-0.022080973,-2.1710265,-0.3584875
2368891252,2368891054,-0.041662354,0.01674178,-0.016042797,-0.102542214,-2.322048,0.592302
2368893118,2368892329,-0.041812748,0.014246565,-0.014467008,-0.09491776,-2.2447622,0.7359389
2368896769,2368896304,-0.042108845,0.007686045,-0.016751764,-0.14879872,-2.0098236,-0.0041030403
2368900733,2368899911,-0.045881465,0.0012245824,-0.020139923,-0.5915188,-1.8670982,-0.45213553
2368903065,2368902410,-0.04696786,-0.0018356426,-0.018837627,-0.49308148,-1.6047373,-0.05572286
2368907928,2368907554,-0.045514964,-0.012106491,-0.012591671,-0.07115826,-1.8418645,0.65536
2368910197,2368909971,-0.04564785,-0.015985522,-0.013844689,-0.06331333,-1.7257171,0.1995819
2368915463,2368915051,-0.046874285,-0.025062328,-0.018918095,-0.3122156,-1.7502154,-0.5058011
2368921108,2368920099,-0.045943595,-0.03200764,-0.009670954,0.106926985,-1.6050082,0.977178
2368924101,2368923903,-0.043019775,-0.037901163,-0.009520398,0.45208752,-1.5497628,0.46556175
2368930101,2368928961,-0.038570862,-0.04524866,-0.011560872,0.72496,-1.5487757,-0.09354012
2368931942,2368931506,-0.038753033,-0.05092293,-0.010213189,0.44913375,-1.8103913,0.17055544
2368934429,2368933975,-0.033532504,-0.0559559,-0.0033677286,1.059116,-1.8762467,1.1491008
2368938848,2368937805,-0.025796825,-0.06103141,-0.0005850154,1.588652,-1.5760796,0.8495166
2368941994,2368941555,-0.01916407,-0.066660255,-0.0030105603,1.6654414,-1.5376368,0.13404557
2368946837,2368946632,-0.011702385,-0.07071644,0.00030398177,1.5518485,-1.0631076,0.57056606
2368949530,2368949253,-0.006828195,-0.073938936,0.0069951015,1.6948793,-1.1397855,1.3581758
2368954605,2368954215,0.0012938669,-0.07868637,0.0090821665,1.6587343,-0.99880266,0.610578
2368955794,2368955484,0.0030516745,-0.080100045,0.008061709,1.605927,-1.0238385,0.3130805
2368960723,2368960508,0.0073579466,-0.08215846,0.007356954,1.0945145,-0.61408675,0.16120836
2368963210,2368963000,0.012545884,-0.083667785,0.013055118,1.4524255,-0.63722473,0.96794313
2368968723,2368968139,0.017173644,-0.0850043,0.015435349,1.1443769,-0.3257634,0.54039973
2368970153,2368969396,0.01815863,-0.08464651,0.014399579,1.0698127,-0.20266826,0.25577602
2368974229,2368973559,0.01933388,-0.08541359,0.010166137,0.5918411,-0.19838893,-0.46221527
2368976555,2368975687,0.016540483,-0.08412604,0.012525817,-0.026349032,0.10264691,0.1060777
2368981630,2368980919,0.019914176,-0.082220584,0.021922423,0.3588101,0.270219,1.0299001
2368983654,2368983317,0.021432027,-0.08227649,0.019486904,0.44849226,0.16264598,0.25910062
2368987258,2368987045,0.026292197,-0.083073094,0.014843054,0.9008323,-0.0025093274,-0.5193079
2368992287,2368992081,0.029632403,-0.08215709,0.017123941,0.8715546,0.09297747,0.313222
2368995065,2368994849,0.031625412,-0.08131926,0.020788573,0.8240503,0.17707182,0.70190775
2368999208,2368998433,0.03470679,-0.07744241,0.016142255,0.79514784,0.5847612,-0.37542832
2369001721,2369000965,0.03564754,-0.07449509,0.013157541,0.65651757,0.82331795,-0.67557573
2369005171,2369004782,0.034897123,-0.06938353,0.010951638,0.19905677,1.1040707,-0.594074
2369009483,2369008558,0.037071116,-0.06782767,0.015202584,0.34508356,0.73672193,0.27311155
