timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
2391795948,2391795812,0.39,0.010963639,9.50027,1.0,10.028347,1.0,0
2391894501,2391894252,0.39,0.010979915,10.144628,1.0,11.43483,1.0,0
2391990428,2391990119,0.39,0.0109945685,9.627726,1.0,10.299233,1.0,0
2392091266,2392091140,0.39,0.011011995,9.941611,1.0,10.981737,1.0,0
2392193895,2392193729,0.39,0.011028158,9.966776,1.0,11.037403,1.0,0
2392296345,2392296185,0.39,0.011044673,9.765338,1.0,10.595758,1.0,0
2392397481,2392397315,0.39,0.011060976,9.998041,1.0,11.106759,1.0,0
2392490578,2392490429,0.39,0.011076007,9.9692135,1.0,11.042802,1.0,0
2392596678,2392596548,0.39,0.0110915005,10.0440235,1.0,11.209156,1.0,0
2392698745,2392698622,0.39,0.01110616,9.869521,1.0,10.82305,1.0,0
2392798856,2392798738,0.39,0.011122666,9.724849,1.0,10.508076,1.0,0
2392897634,2392897473,0.39,0.011143396,9.90922,1.0,10.910293,1.0,0
2392992831,2392992673,0.39,0.011157544,10.195343,1.0,11.549447,1.0,0
2393097913,2393097743,0.39,0.011173148,10.165223,1.0,11.481307,1.0,0
2393189190,2393189061,0.39,0.011188235,9.692144,1.0,10.437518,1.0,0
2393293980,2393293838,0.39,0.011204427,9.572484,1.0,10.181384,1.0,0
2393395292,2393395136,0.39,0.011220067,9.9069195,1.0,10.905229,1.0,0
2393490887,2393490749,0.39,0.011234404,9.801126,1.0,10.673563,1.0,0
2393591891,2393591754,0.39,0.011248442,9.714962,1.0,10.486721,1.0,0
2393683936,2393683496,0.39,0.011261113,9.198367,1.0,9.401106,1.0,0
2393793025,2393792897,0.39,0.011279334,9.599634,1.0,10.23922,1.0,0
2393892663,2393892506,0.39,0.0112948185,9.737177,1.0,10.534735,1.0,0
2393999175,2393999036,0.39,0.011312945,9.669828,1.0,10.389509,1.0,0
2394094944,2394094816,0.39,0.011326492,9.657098,1.0,10.362171,1.0,0
2394192480,2394192255,0.39,0.011341354,9.957552,1.0,11.016982,1.0,0
2394299457,2394299276,0.39,0.011356674,9.94119,1.0,10.980806,1.0,0
2394393059,2394392916,0.39,0.011370988,9.767896,1.0,10.60131,1.0,0
2394494016,2394493866,0.39,0.011389678,9.839957,1.0,10.7583065,1.0,0
2394593868,2394593712,0.39,0.011408219,9.757958,1.0,10.57975,1.0,0
2394694744,2394694619,0.39,0.011423961,9.5837,1.0,10.205257,1.0,0
2394785766,2394785643,0.39,0.011439682,7.7601194,1.0226912,6.54259,1.0300332,0
2394894988,2394894834,0.39,0.011459746,9.698721,1.012906,10.318517,1.0048306,0
2394989199,2394989061,0.39,0.011475001,9.806225,1.0,10.684672,1.0,0
2395091364,2395091239,0.39,0.011491876,9.934143,1.0,10.965244,1.0,0
2395194023,2395193909,0.39,0.011506681,9.628897,1.0,10.301739,1.0,0
2395292416,2395292267,0.39,0.011520997,10.677118,1.0,12.666761,1.0,0
2395397297,2395397140,0.39,0.011538158,10.553441,1.0,12.375012,1.0,0
2395484266,2395484116,0.39,0.011552023,10.348056,1.0,11.898029,1.0,0
2395591788,2395591675,0.39,0.011569842,10.104122,1.0,11.3436985,1.0,0
2395699130,2395698852,0.39,0.011587496,9.7996,1.0,10.6702385,1.0,0
2395785969,2395785845,0.39,0.011602224,9.953315,1.0,11.007608,1.0,0
2395893730,2395893592,0.39,0.011620579,9.552436,1.0,10.138782,1.0,0
2395994495,2395994361,0.39,0.011635998,9.509356,1.0,10.047538,1.0,0
2396084438,2396084307,0.39,0.011649794,10.329133,1.0,11.854554,1.0,0
2396194526,2396194387,0.39,0.011669104,9.220129,1.0,9.445642,1.0,0
2396292456,2396292357,0.39,0.011684329,9.529903,1.0,10.091007,1.0,0
2396392597,2396392434,0.39,0.011699649,9.400703,1.0,9.819247,1.0,0
2396488387,2396488245,0.39,0.011716564,9.489906,1.0,10.00648,1.0,0
2396583394,2396583261,0.39,0.011731143,10.150259,1.0,11.447529,1.0,0
