timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
2368418737,2368417266,0.0,0.0126433205,0.0029951157,0.011908687,nan,nan,nan,nan,nan,nan,nan,nan,0
2368421659,2368418527,0.0,0.013897833,0.0016238356,0.010344704,nan,nan,nan,nan,nan,nan,nan,nan,0
2368433340,2368429918,0.007822987,0.02126777,0.0,0.010440985,nan,nan,nan,nan,nan,nan,nan,nan,0
2368436196,2368432602,0.009873955,0.019326214,0.0,0.013362958,nan,nan,nan,nan,nan,nan,nan,nan,0
2368441793,2368438749,0.001971336,0.013554099,0.0,0.013122092,nan,nan,nan,nan,nan,nan,nan,nan,0
2368448243,2368443986,0.0,0.012179963,0.0020662176,0.013047615,nan,nan,nan,nan,nan,nan,nan,nan,0
2368455733,2368451451,0.0,0.015118007,0.002813655,0.013036705,nan,nan,nan,nan,nan,nan,nan,nan,0
2368467940,2368464026,0.00079697836,0.01387579,0.0,0.011656971,nan,nan,nan,nan,nan,nan,nan,nan,0
2368473425,2368470315,0.0045294594,0.017569385,0.0,0.010658225,nan,nan,nan,nan,nan,nan,nan,nan,0
2368476780,2368471795,0.007334618,0.018238258,0.0,0.012749289,nan,nan,nan,nan,nan,nan,nan,nan,0
2368479662,2368475390,0.006037215,0.018415317,0.0,0.01175951,nan,nan,nan,nan,nan,nan,nan,nan,0
2368482507,2368479204,0.007256558,0.016722756,0.0,0.014472088,nan,nan,nan,nan,nan,nan,nan,nan,0
2368490030,2368486742,0.0,0.010799928,0.002008729,0.013835497,nan,nan,nan,nan,nan,nan,nan,nan,0
2368492659,2368489299,0.0,0.012962445,0.0047390107,0.015489771,nan,nan,nan,nan,nan,nan,nan,nan,0
2368496195,2368494360,0.0,0.012869516,0.007196483,0.014726676,nan,nan,nan,nan,nan,nan,nan,nan,0
2368500945,2368499795,0.0,0.013032235,0.0051349374,0.015576729,nan,nan,nan,nan,nan,nan,nan,nan,0
2368505062,2368504502,0.0,0.012309391,0.0043183328,0.015874062,nan,nan,nan,nan,nan,nan,nan,nan,0
2368507972,2368506973,0.0,0.010760248,0.004153909,0.015532626,nan,nan,nan,nan,nan,nan,nan,nan,0
2368511548,2368510896,0.0,0.009963747,0.005255392,0.015346995,nan,nan,nan,nan,nan,nan,nan,nan,0
2368515039,2368514605,0.0,0.008697453,0.005995422,0.015724108,nan,nan,nan,nan,nan,nan,nan,nan,0
2368517499,2368517183,0.0,0.011364486,0.0078058736,0.016094755,nan,nan,nan,nan,nan,nan,nan,nan,0
2368520558,2368519643,0.0,0.014817184,0.010469128,0.017420035,nan,nan,nan,nan,nan,nan,nan,nan,0
2368525623,2368524802,0.0,0.0133039635,0.010720115,0.018661091,nan,nan,nan,nan,nan,nan,nan,nan,0
2368529457,2368528679,0.0,0.011841413,0.013213825,0.01944798,nan,nan,nan,nan,nan,nan,nan,nan,0
2368535546,2368534824,0.0,0.0109173795,0.015877387,0.022142852,nan,nan,nan,nan,nan,nan,nan,nan,0
2368538132,2368537312,0.0,0.011280442,0.017244454,0.02323994,nan,nan,nan,nan,nan,nan,nan,nan,0
2368543470,2368542401,0.0,0.010229155,0.018724099,0.023212664,nan,nan,nan,nan,nan,nan,nan,nan,0
