timestamp,time_estimate,safe_time_estimate,valid
2368651613,0.0,0.0,0
2369653624,0.0,0.0,0
2370665023,0.0,0.0,0
2371673674,0.0,0.0,0
2372682476,0.0,0.0,0
2373692942,0.0,0.0,0
2374694913,0.0,0.0,0
2375709055,0.0,0.0,0
2376756702,0.0,0.0,0
2377773811,0.0,0.0,0
2378819806,0.0,0.0,0
2379855193,0.0,0.0,0
2380858815,0.0,0.0,0
2381880852,0.0,0.0,0
2382885436,0.0,0.0,0
2383899112,0.0,0.0,0
2384906806,0.0,0.0,0
2385916417,0.0,0.0,0
2386942935,0.0,0.0,0
2387999370,0.0,0.0,0
2389002778,0.0,0.0,0
2390020890,0.0,0.0,0
2391023220,0.0,0.0,0
2392032080,0.0,0.0,0
2393039911,0.0,0.0,0
2394059345,0.0,0.0,0
2395103480,0.0,0.0,0
2396141514,0.0,0.0,0
2397145781,0.0,0.0,0
2398154823,0.0,0.0,0
2399163830,0.0,0.0,0
2400195715,0.0,0.0,0
2401246236,0.0,0.0,0
2402248529,0.0,0.0,0
2403264015,0.0,0.0,0
2404286243,0.0,0.0,0
2405292998,0.0,0.0,0
2406302542,0.0,0.0,0
2407313748,0.0,0.0,0
2408328621,0.0,0.0,0
2409383159,0.0,0.0,0
2410403437,0.0,0.0,0
2411415569,0.0,0.0,0
2412437855,0.0,0.0,0
2413454451,0.0,0.0,0
2414461563,0.0,0.0,0
2415483995,0.0,0.0,0
2416508000,0.0,0.0,0
2417540469,0.0,0.0,0
2418552274,0.0,0.0,0
2419577999,0.0,0.0,0
