timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
567667135,1,1,1,0,0,1,1,0,1,1,1,1,0
568169883,1,1,1,0,0,1,1,0,1,1,1,1,0
568678180,1,1,1,0,0,1,1,0,1,1,1,1,0
569190854,1,1,1,0,0,1,1,0,1,1,1,1,0
569702170,1,1,1,0,0,1,1,0,1,1,1,1,0
570210379,1,1,1,0,0,1,1,0,1,1,1,1,0
570721102,1,1,1,0,0,1,1,0,1,1,1,1,0
571229611,1,1,1,0,0,1,1,0,1,1,1,1,0
571742683,1,1,1,0,0,1,1,0,1,1,1,1,0
572250719,1,1,1,0,0,1,1,0,1,1,1,1,0
572765779,1,1,1,0,0,1,1,0,1,1,1,1,0
573267647,1,1,1,0,0,1,1,0,1,1,1,1,0
573773396,1,1,1,0,0,1,1,0,1,1,1,1,0
574274855,1,1,1,0,0,1,1,0,1,1,1,1,0
574588858,1,0,0,0,1,0,0,0,0,0,0,0,0
575094910,1,0,0,0,1,0,0,0,0,0,0,0,0
575601609,1,0,0,0,1,0,0,0,0,0,0,0,0
576108289,1,0,0,0,1,0,0,0,0,0,0,0,0
576617968,1,0,0,0,1,0,0,0,0,0,0,0,0
577120909,1,0,0,0,1,0,0,0,0,0,0,0,0
577623833,1,0,0,0,1,0,0,0,0,0,0,0,0
578134068,1,0,0,0,1,0,0,0,0,0,0,0,0
578634582,1,0,0,0,1,0,0,0,0,0,0,0,0
579139703,1,0,0,0,1,0,0,0,0,0,0,0,0
579653478,1,0,0,0,1,0,0,0,0,0,0,0,0
580163038,1,0,0,0,1,0,0,0,0,0,0,0,0
580667422,1,0,0,0,1,0,0,0,0,0,0,0,0
581178508,1,0,0,0,1,0,0,0,0,0,0,0,0
581686417,1,0,0,0,1,0,0,0,0,0,0,0,0
582193446,1,0,0,0,1,0,0,0,0,0,0,0,0
582694522,1,0,0,0,1,0,0,0,0,0,0,0,0
583203313,1,0,0,0,1,0,0,0,0,0,0,0,0
583704073,1,0,0,0,1,0,0,0,0,0,0,0,0
584204847,1,0,0,0,1,0,0,0,0,0,0,0,0
584718073,1,0,0,0,1,0,0,0,0,0,0,0,0
585225198,1,0,0,0,1,0,0,0,0,0,0,0,0
585736267,1,0,0,0,1,0,0,0,0,0,0,0,0
586238374,1,1,0,0,1,1,1,1,1,1,1,1,0
586742807,1,0,0,0,1,0,0,0,0,0,0,0,0
587254883,1,0,0,0,1,0,0,0,0,0,0,0,0
587762428,1,0,0,0,1,0,0,0,0,0,0,0,0
588271436,1,0,0,0,1,0,0,0,0,0,0,0,0
588776770,1,0,0,0,1,0,0,0,0,0,0,0,0
589281603,1,0,0,0,1,0,0,0,0,0,0,0,0
589783485,1,0,0,0,1,0,0,0,0,0,0,0,0
590287370,1,0,0,0,1,0,0,0,0,0,0,0,0
590790243,1,0,0,0,1,0,0,0,0,0,0,0,0
