timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch
567653022,567648769,24,4,1,0,0,0,3,0,0,0,0,0
568653234,568648860,24,4,1,0,0,0,3,0,0,0,0,0
569660995,569651228,24,4,1,0,0,0,3,0,0,0,0,0
570661361,570657019,24,4,1,0,0,0,3,0,0,0,0,0
571662411,571657639,24,4,1,0,0,0,3,0,0,0,0,0
572668776,572659576,24,4,1,0,0,0,3,0,0,0,0,0
573669246,573664489,24,4,1,0,0,0,3,0,0,0,0,0
574565451,574560596,25,6,1,0,0,0,3,0,0,0,0,0
575566468,575561684,25,6,1,0,0,0,3,0,0,0,0,0
576575912,576566117,25,6,1,0,0,0,3,0,0,0,0,0
577579661,577570658,25,6,1,0,0,0,3,0,0,0,0,0
578582857,578578539,25,6,1,0,0,0,3,0,0,0,0,0
579586811,579582244,25,6,1,0,0,0,3,0,0,0,0,0
580588835,580584560,25,6,1,0,0,0,3,0,0,0,0,0
581588977,581579913,25,6,1,0,0,0,3,0,0,0,0,0
582591819,582587107,25,6,1,0,0,0,3,0,0,0,0,0
583599134,583585335,25,6,1,0,0,0,3,0,0,0,0,0
584601575,584597219,25,6,1,0,0,0,3,0,0,0,0,0
585605533,585601238,25,6,1,0,0,0,3,0,0,0,0,0
586605783,586601333,25,6,1,0,0,0,3,0,0,0,0,0
587611150,587597504,25,6,1,0,0,0,3,0,0,0,0,0
588612084,588607635,25,6,1,0,0,0,3,0,0,0,0,0
589612391,589608038,25,6,1,0,0,0,3,0,0,0,0,0
590616120,590611914,25,6,1,0,0,0,3,0,0,0,0,0
591618421,591614095,25,6,1,0,0,0,3,0,0,0,0,0
592619216,592605261,25,6,1,0,0,0,3,0,0,0,0,0
593626109,593617010,25,6,1,0,0,0,3,0,0,0,0,0
594626201,594621783,25,6,1,0,0,0,3,0,0,0,0,0
595628307,595623843,25,6,1,0,0,0,3,0,0,0,0,0
596636887,596627951,25,6,1,0,0,0,3,0,0,0,0,0
597640393,597630969,25,6,1,0,0,0,3,0,0,0,0,0
598643326,598638016,25,6,1,0,0,0,3,0,0,0,0,0
599646696,599636618,25,6,1,0,0,0,3,0,0,0,0,0
600649571,600645077,25,6,1,0,0,0,3,0,0,0,0,0
601651092,601641598,25,6,1,0,0,0,3,0,0,0,0,0
602653142,602648808,25,6,1,0,0,0,3,0,0,0,0,0
603654866,603650365,25,6,1,0,0,0,3,0,0,0,0,0
604659521,604650554,25,6,1,0,0,0,3,0,0,0,0,0
605660425,605651194,25,6,1,0,0,0,3,0,0,0,0,0
606661935,606657093,25,6,1,0,0,0,3,0,0,0,0,0
607663378,607659016,25,6,1,0,0,0,3,0,0,0,0,0
608664552,608659951,25,6,1,0,0,0,3,0,0,0,0,0
609667600,609663319,25,6,1,0,0,0,3,0,0,0,0,0
610675258,610666309,25,6,1,0,0,0,3,0,0,0,0,0
611676064,611666911,25,6,1,0,0,0,3,0,0,0,0,0
612680125,612671232,25,6,1,0,0,0,3,0,0,0,0,0
613683075,613678099,25,6,1,0,0,0,3,0,0,0,0,0
614687250,614682835,25,6,1,0,0,0,3,0,0,0,0,0
614921838,614917482,26,4,1,0,0,0,3,0,0,0,0,0
615924170,615919971,26,4,1,0,0,0,3,0,0,0,0,0
616925602,616921183,26,4,1,0,0,0,3,0,0,0,0,0
617930204,617921248,26,4,1,0,0,0,3,0,0,0,0,0
617969782,617960482,27,4,3,0,0,0,3,0,0,0,0,0
618971633,618962178,27,4,3,0,0,0,3,0,0,0,0,0
