timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
568187695,568187638,-1,-46.0,0,0,0,1502,1487,1001,1503,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
568691398,568691338,-1,-48.0,0,0,0,1502,1487,1006,1502,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
569183432,569183390,-1,-47.0,0,0,0,1502,1487,1658,1504,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
569687906,569687834,-1,-47.0,0,0,0,1502,1487,1885,1505,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
570187526,570187468,-1,-48.0,0,0,0,1502,1489,1925,1504,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
570687682,570682983,-1,-33.0,0,0,0,1502,1487,1893,1503,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
571187121,571187094,-1,-30.0,0,0,0,1502,1487,1749,1504,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
571688516,571688468,-1,-44.0,0,0,0,1502,1487,1568,1504,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
572189710,572189652,-1,-44.0,0,0,0,1502,1489,1610,1503,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
572685522,572685469,-1,-42.0,0,0,0,1502,1489,1568,1503,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
573185999,573185963,-1,-35.0,0,0,0,1502,1487,1598,1503,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
573682431,573682385,-1,-30.0,0,0,0,1502,1489,1597,1504,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
574188855,574188795,-1,-29.0,0,0,0,1502,1487,1598,1504,1988,1500,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
574684589,574684556,-1,-31.0,0,0,0,1503,1487,1597,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
575188164,575188112,-1,-32.0,0,0,0,1502,1489,1598,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
575689333,575689189,-1,-24.0,0,0,0,1502,1487,1598,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
576188171,576188101,-1,-23.0,0,0,0,1503,1487,1598,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
576686238,576686199,-1,-40.0,0,0,0,1502,1489,1597,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
577185868,577181153,-1,-40.0,0,0,0,1502,1489,1598,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
577685668,577680957,-1,-42.0,0,0,0,1503,1487,1598,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
578187305,578182444,-1,-44.0,0,0,0,1503,1487,1598,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
578688239,578688227,-1,-45.0,0,0,0,1502,1489,1598,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
579186174,579186125,-1,-35.0,0,0,0,1502,1489,1598,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
579687575,579687539,-1,-23.0,0,0,0,1502,1489,1598,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
580185685,580180719,-1,-30.0,0,0,0,1502,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
580685375,580680234,-1,-35.0,0,0,0,1502,1489,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
581186155,581186088,-1,-40.0,0,0,0,1503,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
581687901,581687822,-1,-35.0,0,0,0,1503,1487,1595,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
582186615,582186595,-1,-41.0,0,0,0,1503,1489,1596,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
582689031,582688984,-1,-44.0,0,0,0,1503,1487,1595,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
583186433,583181523,-1,-44.0,0,0,0,1502,1487,1598,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
583687260,583687212,-1,-50.0,0,0,0,1503,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,1984,0,0,16,0,0,14,100
584186137,584181106,-1,-53.0,0,0,0,1503,1487,1597,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,1951,0,0,16,0,0,14,100
584689147,584689110,-1,-26.0,0,0,0,1503,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
585186369,585186312,-1,-34.0,0,0,0,1502,1487,1597,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
