timestamp,process_load,system_load,ram_usage,platform[0],platform[1],platform[2],platform[3],platform[4]
955807165,0.48,0.20798536,0.22191541,80,79,83,73,88
956306566,0.7,0.20801243,0.22197701,80,79,83,73,88
956806922,0.46,0.20802774,0.22204219,80,79,83,73,88
957306890,0.54,0.20805155,0.22196734,80,79,83,73,88
957806813,0.52,0.20806715,0.22199586,80,79,83,73,88
958306863,0.48,0.20807739,0.2220371,80,79,83,73,88
958806811,0.52,0.20809774,0.22204372,80,79,83,73,88
959306477,0.56,0.20812257,0.22199993,80,79,83,73,88
959806917,0.52,0.20814948,0.22199433,80,79,83,73,88
960306824,0.52,0.20817158,0.22200043,80,79,83,73,88
960806866,0.5,0.2081889,0.22199178,80,79,83,73,88
961306913,0.52,0.2082036,0.22199331,80,79,83,73,88
961806756,0.5,0.20821983,0.22202285,80,79,83,73,88
962306782,0.5,0.20822969,0.22197498,80,79,83,73,88
962806907,0.54,0.2082485,0.22204372,80,79,83,73,88
963306802,0.52,0.20825599,0.22199433,80,79,83,73,88
963806921,0.52,0.20828399,0.22197396,80,79,83,73,88
964306746,0.54,0.20829622,0.22202794,80,79,83,73,88
964806488,0.52,0.20831794,0.22202182,80,79,83,73,88
965306523,0.52,0.20833273,0.22197345,80,79,83,73,88
965806609,0.54,0.20835064,0.22201012,80,79,83,73,88
966306583,0.5,0.20836931,0.22202794,80,79,83,73,88
966806702,0.52,0.20838775,0.2220534,80,79,83,73,88
967306128,0.54,0.20842114,0.22202946,80,79,83,73,88
967806775,0.56,0.20844717,0.22202641,80,79,83,73,88
968306789,0.58,0.20847765,0.22201164,80,79,83,73,88
968806511,0.64,0.20852265,0.22201979,80,79,83,73,88
969306656,0.54,0.20855457,0.22201876,80,79,83,73,88
969806823,0.62,0.20859344,0.22201063,80,79,83,73,88
970306630,0.56,0.2086196,0.22198261,80,79,83,73,88
970806455,0.56,0.20866728,0.22754304,80,79,83,73,88
971305909,0.54,0.20871684,0.22882214,80,79,83,73,88
971806293,0.6,0.20876049,0.22880432,80,79,83,73,88
972306709,0.56,0.20879412,0.22875696,80,79,83,73,88
972806293,0.56,0.20882688,0.22882469,80,79,83,73,88
973306475,0.54,0.20884813,0.22876512,80,79,83,73,88
973806266,0.62,0.2088802,0.22884353,80,79,83,73,88
974306720,0.48,0.20889457,0.22877428,80,79,83,73,88
974806425,0.56,0.20892072,0.22876512,80,79,83,73,88
975306483,0.5,0.20893167,0.22882926,80,79,83,73,88
975806717,0.5,0.20896138,0.2288639,80,79,83,73,88
976306875,0.56,0.20899609,0.22877784,80,79,83,73,88
976806259,0.58,0.20904088,0.22876257,80,79,83,73,88
977306713,0.54,0.20907,0.22880483,80,79,83,73,88
977806646,0.52,0.20909283,0.2288644,80,79,83,73,88
978306231,0.5,0.20912361,0.22880533,80,79,83,73,88
978806759,0.56,0.20916352,0.22879362,80,79,83,73,88
979306604,0.6,0.20920557,0.22882214,80,79,83,73,88
979805852,0.54,0.2092304,0.2288359,80,79,83,73,88
980306362,0.5,0.20925254,0.22878294,80,79,83,73,88
980806282,0.52,0.20928666,0.22878446,80,79,83,73,88
981306556,0.52,0.20931293,0.22878751,80,79,83,73,88
981806636,0.54,0.20935012,0.22880687,80,79,83,73,88
982306263,0.52,0.20937763,0.2287809,80,79,83,73,88
982806557,0.54,0.20940539,0.2288196,80,79,83,73,88
983306278,0.54,0.20943286,0.22882673,80,79,83,73,88
983806658,0.6,0.20947348,0.2288364,80,79,83,73,88
984306257,0.52,0.20950142,0.22881247,80,79,83,73,88
984806602,0.54,0.20953678,0.22877988,80,79,83,73,88
985306654,0.52,0.20955297,0.22878854,80,79,83,73,88
985806438,0.56,0.20958418,0.22879311,80,79,83,73,88
986306607,0.54,0.20961297,0.2287977,80,79,83,73,88
986806542,0.52,0.20963639,0.22877733,80,79,83,73,88
987306463,0.56,0.20966396,0.22876969,80,79,83,73,88
987806489,0.52,0.20968965,0.22876053,80,79,83,73,88
988306654,0.58,0.20971893,0.22879922,80,79,83,73,88
988805804,0.52,0.20975146,0.22886594,80,79,83,73,88
989306486,0.52,0.2097876,0.22880025,80,79,83,73,88
989806328,0.58,0.20982222,0.2288196,80,79,83,73,88
990306594,0.5,0.20984636,0.22882724,80,79,83,73,88
990806693,0.54,0.20987576,0.22889444,80,79,83,73,88
991306570,0.56,0.20990384,0.22883895,80,79,83,73,88
991806649,0.52,0.20993976,0.22877122,80,79,83,73,88
992306544,0.58,0.20998414,0.2287921,80,79,83,73,88
992806297,0.54,0.2100212,0.2288313,80,79,83,73,88
993306717,0.54,0.21005777,0.22880891,80,79,83,73,88
993806330,0.54,0.21008277,0.22883742,80,79,83,73,88
994306515,0.52,0.21010438,0.22882673,80,79,83,73,88
994806438,0.5,0.21013421,0.22884251,80,79,83,73,88
995306655,0.56,0.2101694,0.2287814,80,79,83,73,88
