timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
956220101,-0.00025315257,0,0,0,0,0,0,0,0,0
956729655,0.008696177,0,0,0,0,0,0,0,0,0
957239677,0.01325223,0,0,0,0,0,0,0,0,0
957612647,0.012365415,0,0,0,0,0,0,0,0,0
958112963,0.023978246,0,0,0,0,0,0,0,0,0
958615628,0.047474816,0,0,0,0,0,0,0,0,0
959120726,0.0656537,0,0,0,0,0,0,0,0,0
959628604,0.0800696,0,0,0,0,0,0,0,0,0
960132167,0.09550774,0,0,0,0,0,0,0,0,0
960642018,0.17513406,0,0,0,0,0,0,0,0,0
961152457,0.28360006,0,0,0,0,0,0,0,0,0
961656549,0.51025355,0,0,0,0,0,0,0,0,0
962169258,0.74485207,0,0,0,0,0,0,0,0,0
962670573,0.93743217,0,0,0,0,0,0,0,0,0
963181454,1.116057,0,0,0,0,0,0,0,0,0
963682111,1.2777957,0,0,0,0,0,0,0,0,0
964184243,1.4397935,0,0,0,0,0,0,0,0,0
964693249,1.602872,0,0,0,0,0,0,0,0,0
965199269,1.6932677,0,0,0,0,0,0,0,0,0
965710341,1.807791,0,0,0,0,0,0,0,0,0
966226357,1.9194824,0,0,0,0,0,0,0,0,0
966734045,2.0260546,0,0,0,0,0,0,0,0,0
966993332,2.0731611,0,0,0,0,0,0,0,0,0
967495401,2.1622097,0,0,0,0,0,0,0,0,0
968004465,2.2244608,0,0,0,0,0,0,0,0,0
968507331,2.2767067,0,0,0,0,0,0,0,0,0
969011482,2.3379009,0,0,0,0,0,0,0,0,0
969524202,2.3731036,0,0,0,0,0,0,0,0,0
970026712,2.434568,0,0,0,0,0,0,0,0,0
970536697,2.4683487,0,0,0,0,0,0,0,0,0
971041803,2.5285468,0,0,0,0,0,0,0,0,0
971550671,2.5640566,0,0,0,0,0,0,0,0,0
972052783,2.58786,0,0,0,0,0,0,0,0,0
972557055,2.6080601,0,0,0,0,0,0,0,0,0
973061052,2.6132648,0,0,0,0,0,0,0,0,0
973562805,2.6574464,0,0,0,0,0,0,0,0,0
974071718,2.685645,0,0,0,0,0,0,0,0,0
974573736,2.6900952,0,0,0,0,0,0,0,0,0
975084928,2.7013366,0,0,0,0,0,0,0,0,0
975593724,2.715672,0,0,0,0,0,0,0,0,0
976106558,2.7404509,0,0,0,0,0,0,0,0,0
976613316,2.7286682,0,0,0,0,0,0,0,0,0
