timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
956646910,956646573,2490378,2490378,0.00019842232,-0.00037861362,-0.00028834952,0.0013776962,0.00032984198,-0.05063681,5042,5042,32,0,1,1
957154852,957154568,2490378,2490378,9.552779e-06,-5.4900403e-05,-9.983029e-05,0.0031471753,0.0007555116,-0.053139344,5134,5134,32,0,1,1
957658824,957658506,2490378,2490378,-3.442885e-05,0.00021354352,-9.42666e-05,0.0003317413,0.00028523974,-0.049095724,4975,4975,32,0,1,1
958156611,958155036,2490378,2490378,-8.9511064e-05,1.22592755e-05,2.1094795e-05,0.003782407,0.0015526055,-0.08769104,8890,8890,32,0,1,1
958659432,958659061,2490378,2490378,-2.0278121e-05,-1.1028496e-05,4.5456392e-05,0.0017859881,0.0013858849,-0.05069256,5099,5099,32,0,1,1
959155886,959155598,2490378,2490378,1.15053435e-05,1.521693e-06,-7.919372e-05,0.0026830873,0.0005886835,-0.0636895,5128,6408,32,0,1,1
959661112,959657310,2490378,2490378,-1.7286244e-05,1.550849e-05,2.7266828e-05,0.0026505522,0.0011446074,-0.053006705,5309,5309,32,0,1,1
960151387,960147219,2490378,2490378,3.6391648e-06,-1.2118047e-05,5.8489044e-05,0.0029303974,0.0011732527,-0.050254844,5053,5053,32,0,1,1
960654208,960653802,2490378,2490378,0.00024165199,-0.00014857347,0.000132683,0.0057193823,0.0044887797,-0.057265375,5045,5496,32,0,1,1
961153522,961152886,2490378,2490378,-0.0003825665,-0.00039694321,0.00038671345,-0.0017564642,-0.0018216074,-0.066721685,5167,6388,32,0,1,1
961654598,961654305,2490378,2490378,9.3539646e-05,-0.0002642131,-0.00066743157,-0.002724036,0.0022578225,-0.04896814,5046,4965,32,0,1,1
962151200,962150846,2490378,2490378,-1.3825186e-05,0.00022807048,-0.00032059406,0.000565505,-0.00095712766,-0.050203193,5065,5065,32,0,1,1
962659023,962658682,2490378,2490378,1.0754305e-05,2.6565016e-05,-1.8386316e-07,-0.0018398159,0.0006005571,-0.045431312,5045,5045,32,0,1,1
