timestamp,timestamp_sample,wrench[0],wrench[1],wrench[2],wrench[3],wrench[4],wrench[5],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14]
967058578,4542867286054716266,0.0,0.0,0.0,0.0,0.0,0.0,0.89738595,0.90392655,0.9220209,0.88478327,4.1127205e-05,-0.0015930831,-0.0027326345,0.9987403,-0.048502833,0.012851044,0.04851654,0.9988221,-0.0007489249,0.0039205058,0.0056653195,0.033525303,-0.052477792,0.12130263,-0.15510973
967060400,4543194807375885467,0.0,0.0,0.0,0.0,0.0,0.0,0.8856768,0.9120517,0.9129189,0.89309967,4.1127205e-05,-0.0015930831,-0.0027326345,0.9987403,-0.048502833,0.012851044,0.04851654,0.9988221,-0.0007489249,0.0039205058,0.0056653195,0.033525303,-0.051372327,0.11750713,-0.16631994
967066139,4543194669936931257,0.0,0.0,0.0,0.0,0.0,0.0,0.8940804,0.91204846,0.91593695,0.89302105,5.8561563e-05,-0.0018163025,-0.0029995441,0.9988169,-0.046559125,0.01403808,0.0465658,0.99891526,-0.00014865352,0.008907892,0.0059282593,0.029626379,-0.045783345,0.11134689,-0.161024
967068688,4543432005534751975,0.0,0.0,0.0,0.0,0.0,0.0,0.8881197,0.917938,0.91456735,0.89419806,5.8561563e-05,-0.0018163025,-0.0029995441,0.9988169,-0.046559125,0.01403808,0.0465658,0.99891526,-0.00014865352,0.008907892,0.0059282593,0.029626379,-0.044435047,0.10267099,-0.16501811
967072620,4543663341063212115,0.0,0.0,0.0,0.0,0.0,0.0,0.8874946,0.9236808,0.9158234,0.8902579,5.8561563e-05,-0.0018163025,-0.0029995441,0.9988169,-0.046559125,0.01403808,0.0465658,0.99891526,-0.00014865352,0.008907892,0.0059282593,0.029626379,-0.03717736,0.09280847,-0.16484323
967077137,4543910756949233603,0.0,0.0,0.0,0.0,0.0,0.0,0.8866654,0.92982435,0.915665,0.8868636,5.8561563e-05,-0.0018163025,-0.0029995441,0.9988698,-0.045101434,0.015001858,0.045102865,0.9989823,0.000248604,0.008907892,0.0059282593,0.029626379,-0.02736678,0.080061406,-0.16415644
967079567,4544175262510167656,0.0,0.0,0.0,0.0,0.0,0.0,0.88241565,0.9363942,0.91177094,0.8879165,5.8561563e-05,-0.0018163025,-0.0029995441,0.9988698,-0.045101434,0.015001858,0.045102865,0.9989823,0.000248604,0.008907892,0.0059282593,0.029626379,-0.020362336,0.07412693,-0.16872878
967082176,4544530383291131082,0.0,0.0,0.0,0.0,0.0,0.0,0.87318027,0.9452184,0.90764403,0.8909243,5.8561563e-05,-0.0018163025,-0.0029995441,0.9988698,-0.045101434,0.015001858,0.045102865,0.9989823,0.000248604,0.008907892,0.0059282593,0.029626379,-0.016154539,0.063179746,-0.17604782
967089110,4544818923488989232,0.0,0.0,0.0,0.0,0.0,0.0,0.87994504,0.952391,0.9189372,0.88513136,5.275011e-05,-0.0020726323,-0.0034294128,0.9989349,-0.0434615,0.015498837,0.04346019,0.9990551,0.0004236498,0.0028734708,0.008890339,0.024603909,-0.0029451689,0.054221764,-0.16892448
967090535,4545102614668876745,0.0,0.0,0.0,0.0,0.0,0.0,0.8697915,0.9594451,0.91324544,0.8906791,5.275011e-05,-0.0020726323,-0.0034294128,0.9989349,-0.0434615,0.015498837,0.04346019,0.9990551,0.0004236498,0.0028734708,0.008890339,0.024603909,-0.0011864047,0.047251698,-0.17755035
