timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
955522769,0,1,1,1,0,0,1,0,0,0,1,1
956497933,0,1,1,1,0,0,1,0,0,0,1,0
957503635,0,1,1,1,0,0,1,0,0,0,1,0
957630455,0,1,1,1,1,1,1,0,0,0,1,0
958636937,0,1,1,1,1,1,1,0,0,0,1,0
958778701,0,1,1,1,1,1,1,0,0,0,1,1
959612150,0,1,1,1,0,0,1,0,0,0,1,1
960261366,0,1,1,1,1,0,1,0,0,0,1,1
960351035,0,1,1,1,1,0,1,0,0,0,1,0
960394038,0,1,0,0,1,0,1,0,0,0,1,0
960404607,0,0,0,0,1,0,1,0,0,0,1,0
961274917,0,0,0,0,0,0,0,1,0,0,1,0
962280182,0,0,0,0,0,0,0,1,0,0,1,0
963283497,0,0,0,0,0,0,0,0,0,0,1,0
964292901,0,0,0,0,0,0,0,0,0,0,1,0
965300815,0,0,0,0,0,0,0,0,0,0,1,0
966304060,0,0,0,0,0,0,0,0,0,0,1,0
967317371,0,0,0,0,0,0,0,0,0,0,1,0
968320992,0,0,0,0,0,0,0,0,0,0,1,0
969326954,0,0,0,0,0,0,0,0,0,0,1,0
970332425,0,0,0,0,0,0,0,0,0,0,1,0
971348776,0,0,0,0,0,0,0,0,0,0,1,0
972349641,0,0,0,0,0,0,0,0,0,0,1,0
973358813,0,0,0,0,0,0,0,0,0,0,1,0
974364451,0,0,0,0,0,0,0,0,0,0,1,0
975378972,0,0,0,0,0,0,0,0,0,0,1,0
976384508,0,0,0,0,0,0,0,0,0,1,1,0
977386082,0,0,0,0,0,0,0,0,0,0,1,0
978395815,0,0,0,0,0,0,0,0,0,0,1,0
979405030,0,0,0,0,0,0,0,0,0,0,1,0
980410243,0,0,0,0,0,0,0,0,0,0,1,0
981410925,0,0,0,0,0,0,0,0,0,0,1,0
982412486,0,0,0,0,0,0,0,0,0,0,1,0
983416764,0,0,0,0,0,0,0,0,0,0,1,0
984435167,0,0,0,0,0,0,0,0,0,0,1,0
985437782,0,0,0,0,0,0,0,0,0,0,1,0
986445728,0,0,0,0,0,0,0,0,0,1,1,0
987447560,0,0,0,0,0,0,0,0,0,0,1,0
988453281,0,0,0,0,0,0,0,0,0,0,1,0
989461240,0,0,0,0,0,0,0,0,0,0,1,0
990469102,0,0,0,0,0,0,0,0,0,0,1,0
991480915,0,0,0,0,0,0,0,0,0,1,1,0
992481690,0,0,0,0,0,0,0,0,0,0,1,0
993492919,0,0,0,0,0,0,0,0,0,0,1,0
994500989,0,0,0,0,0,0,0,0,0,0,1,0
995510409,0,0,0,0,0,0,0,0,0,0,1,0
996519809,0,0,0,0,0,0,0,0,0,1,1,0
997530307,0,0,0,0,0,0,0,0,0,0,1,0
998544693,0,0,0,0,0,0,0,0,0,0,1,0
999553536,0,0,0,0,0,0,0,0,0,0,1,0
1000557722,0,0,0,0,0,0,0,0,0,0,1,0
1001569838,0,0,0,0,0,0,0,0,0,0,1,0
1002570435,0,0,0,0,0,0,0,0,0,0,1,0
1003576999,0,0,0,0,0,0,0,0,0,0,1,0
1004582624,0,0,0,0,0,0,0,0,0,0,1,0
1005594289,0,0,0,0,0,0,0,0,0,0,1,0
1006599615,0,0,0,0,0,0,0,0,0,0,1,0
1007608950,0,0,0,0,0,0,0,0,0,0,1,0
1008613410,0,0,0,0,0,0,0,0,0,0,1,0
1008831803,0,0,0,0,1,1,0,0,0,0,1,0
1009834254,0,0,0,0,1,1,0,1,0,0,1,0
1010391833,0,1,0,0,1,1,1,0,0,0,1,0
1010568614,0,1,1,0,1,1,1,0,0,0,1,0
1010744176,0,1,1,1,1,1,1,0,0,0,1,0
1010878176,0,1,1,1,0,0,1,0,0,0,1,0
1011892241,0,1,1,1,0,0,1,0,0,0,1,0
1012901338,0,1,1,1,0,0,1,0,0,0,1,0
