timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
957712766,-0.28262335,-0.32194477,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5007511,0.0
957737743,-0.28261614,-0.3220434,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5009255,0.0
957923171,-0.28251034,-0.32261857,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.501181,0.0
958119100,-0.2826266,-0.32255137,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5012931,0.0
958314037,-0.28258517,-0.32221976,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5014112,0.0
958513523,-0.28248492,-0.3218301,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5017251,0.0
958716522,-0.28236556,-0.32164645,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5018381,0.0
958916708,-0.28243855,-0.3217792,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5017961,0.0
959117155,-0.28263432,-0.32171077,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5019472,0.0
959316706,-0.2826826,-0.32163024,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1.5021063,0.0
959521550,-0.2824942,-0.32177544,nan,0.0,0.0,0.82197315,nan,nan,nan,nan,nan,nan,1.5017462,0.0
959719679,-0.28227165,-0.32182926,nan,0.0,0.0,0.04632516,nan,nan,nan,nan,nan,nan,1.5016811,0.0
959920547,-0.28219122,-0.3217529,-0.13782732,0.0,0.0,-0.0,nan,nan,nan,nan,nan,nan,1.5015376,0.0
960124228,-0.28212523,-0.3215729,nan,0.0,0.0,-0.35958022,nan,nan,nan,nan,nan,nan,1.5014234,0.0
960321267,-0.2819542,-0.32188338,nan,0.0,0.0,-0.9876501,nan,nan,nan,nan,nan,nan,1.5014,0.0
960523004,-0.2819542,-0.32188338,nan,0.0,0.0,-1.2911745,nan,nan,nan,nan,nan,nan,1.5014,0.0
960721948,-0.2819542,-0.32188338,nan,0.0,0.0,-1.3167062,nan,nan,nan,nan,nan,nan,1.5014,0.0
960925482,-0.2819542,-0.32188338,nan,0.0,0.0,-1.3167062,nan,nan,nan,nan,nan,nan,1.5014,0.0
961124639,-0.2819542,-0.32188338,nan,0.0,0.0,-1.3081912,nan,nan,nan,nan,nan,nan,1.5014,0.0
961320301,-0.2819542,-0.32188338,nan,0.0,0.0,-1.2996806,nan,nan,nan,nan,nan,nan,1.5014,0.0
961521001,-0.2819542,-0.32188338,nan,0.0,0.0,-1.2317541,nan,nan,nan,nan,nan,nan,1.5014,0.0
961712958,-0.2819542,-0.32188338,nan,0.0,0.0,-1.0295163,nan,nan,nan,nan,nan,nan,1.5014,0.0
961914029,-0.2819542,-0.32188338,nan,0.0,0.0,-0.7877992,nan,nan,nan,nan,nan,nan,1.5014,0.0
962110961,-0.2819542,-0.32188338,nan,0.0,0.0,-0.8043894,nan,nan,nan,nan,nan,nan,1.5014,0.0
962313701,-0.2819542,-0.32188338,nan,0.0,0.0,-0.7795081,nan,nan,nan,nan,nan,nan,1.5014,0.0
962514100,-0.2819542,-0.32188338,nan,0.0,0.0,-0.6884777,nan,nan,nan,nan,nan,nan,1.5014,0.0
962711448,-0.2819542,-0.32188338,nan,0.0,0.0,-0.5318924,nan,nan,nan,nan,nan,nan,1.5014,0.0
962919004,-0.2819542,-0.32188338,nan,0.0,0.0,-0.5318924,nan,nan,nan,nan,nan,nan,1.5014,0.0
