timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch
956204395,956200075,2,1,1,0,0,0,3,0,0,0,0,0
957210432,957201262,2,1,1,0,0,0,3,0,0,0,0,0
957595861,957591611,3,4,1,0,0,0,3,0,0,0,0,0
958599868,958595695,3,4,1,0,0,0,3,0,0,0,0,0
959600562,959596171,3,4,1,0,0,0,3,0,0,0,0,0
960604530,960600295,3,4,1,0,0,0,3,0,0,0,0,0
961608945,961600043,3,4,1,0,0,0,3,0,0,0,0,0
962612118,962607752,3,4,1,0,0,0,3,0,0,0,0,0
963614421,963609880,3,4,1,0,0,0,3,0,0,0,0,0
964623004,964613878,3,4,1,0,0,0,3,0,0,0,0,0
965627308,965622819,3,4,1,0,0,0,3,0,0,0,0,0
966627935,966623634,3,4,1,0,0,0,3,0,0,0,0,0
966973806,966969358,4,6,1,0,0,0,3,0,0,0,0,0
967976374,967971604,4,6,1,0,0,0,3,0,0,0,0,0
968976843,968972531,4,6,1,0,0,0,3,0,0,0,0,0
969977817,969972918,4,6,1,0,0,0,3,0,0,0,0,0
970980748,970976427,4,6,1,0,0,0,3,0,0,0,0,0
971981272,971976745,4,6,1,0,0,0,3,0,0,0,0,0
972988443,972979107,4,6,1,0,0,0,3,0,0,0,0,0
973989746,973980512,4,6,1,0,0,0,3,0,0,0,0,0
974991961,974987716,4,6,1,0,0,0,3,0,0,0,0,0
975995221,975990918,4,6,1,0,0,0,3,0,0,0,0,0
976998510,976989331,4,6,1,0,0,0,3,0,0,0,0,0
977998773,977989731,4,6,1,0,0,0,3,0,0,0,0,0
979001685,978992683,4,6,1,0,0,0,3,0,0,0,0,0
980010576,980001552,4,6,1,0,0,0,3,0,0,0,0,0
981011946,981007521,4,6,1,0,0,0,3,0,0,0,0,0
982019085,982010132,4,6,1,0,0,0,3,0,0,0,0,0
983023596,983014641,4,6,1,0,0,0,3,0,0,0,0,0
984026771,984022374,4,6,1,0,0,0,3,0,0,0,0,0
985026977,985022779,4,6,1,0,0,0,3,0,0,0,0,0
986029264,986020001,4,6,1,0,0,0,3,0,0,0,0,0
987034593,987025283,4,6,1,0,0,0,3,0,0,0,0,0
988039863,988030738,4,6,1,0,0,0,3,0,0,0,0,0
989047082,989037984,4,6,1,0,0,0,3,0,0,0,0,0
990050486,990046232,4,6,1,0,0,0,3,0,0,0,0,0
991053228,991044142,4,6,1,0,0,0,3,0,0,0,0,0
992057054,992052824,4,6,1,0,0,0,3,0,0,0,0,0
993060815,993051371,4,6,1,0,0,0,3,0,0,0,0,0
994061125,994056909,4,6,1,0,0,0,3,0,0,0,0,0
995065216,995060934,4,6,1,0,0,0,3,0,0,0,0,0
996070319,996060411,4,6,1,0,0,0,3,0,0,0,0,0
997072657,997068400,4,6,1,0,0,0,3,0,0,0,0,0
998073072,998068723,4,6,1,0,0,0,3,0,0,0,0,0
999074282,999065185,4,6,1,0,0,0,3,0,0,0,0,0
1000077645,1000073360,4,6,1,0,0,0,3,0,0,0,0,0
1001079974,1001070820,4,6,1,0,0,0,3,0,0,0,0,0
1002084542,1002075581,4,6,1,0,0,0,3,0,0,0,0,0
1003090221,1003081167,4,6,1,0,0,0,3,0,0,0,0,0
1004091106,1004082161,4,6,1,0,0,0,3,0,0,0,0,0
1005092315,1005087990,4,6,1,0,0,0,3,0,0,0,0,0
1006096376,1006091938,4,6,1,0,0,0,3,0,0,0,0,0
1007101522,1007092656,4,6,1,0,0,0,3,0,0,0,0,0
1008109656,1008100740,4,6,1,0,0,0,3,0,0,0,0,0
1008306928,1008302351,5,4,1,0,0,0,3,0,0,0,0,0
1009310717,1009306568,5,4,1,0,0,0,3,0,0,0,0,0
1010192599,1010188129,6,4,3,0,0,0,3,0,0,0,0,0
1010853637,1010849176,7,1,3,0,0,0,3,0,0,0,0,0
1011815392,1011811223,8,1,1,0,0,0,3,0,0,0,0,0
1012364386,1012350750,9,1,3,0,0,0,3,0,0,0,0,0
1013372490,1013363309,9,1,3,0,0,0,3,0,0,0,0,0
