timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
986560438,0.001407728,0,0,0,0,0,0,0,0,0
987063084,0.040381044,0,0,0,0,0,0,0,0,0
987569088,0.04293638,0,0,0,0,0,0,0,0,0
988079100,0.04564571,0,0,0,0,0,0,0,0,0
988585079,0.043525103,0,0,0,0,0,0,0,0,0
989091080,0.047953516,0,0,0,0,0,0,0,0,0
989599080,0.05402207,0,0,0,0,0,0,0,0,0
990106081,0.055932134,0,0,0,0,0,0,0,0,0
990612081,0.06473339,0,0,0,0,0,0,0,0,0
991119101,0.06661502,0,0,0,0,0,0,0,0,0
991625081,0.07556357,0,0,0,0,0,0,0,0,0
992131080,0.14349267,0,0,0,0,0,0,0,0,0
992639079,0.47165945,0,0,0,0,0,0,0,0,0
993146080,0.87618387,0,0,0,0,0,0,0,0,0
993654314,1.2417156,0,0,0,0,0,0,0,0,0
994160337,1.7072403,0,0,0,0,0,0,0,0,0
994666080,1.731308,0,0,0,0,0,0,0,0,0
995174707,1.4234182,0,0,0,0,0,0,0,0,0
995680100,1.2029909,0,0,0,0,0,0,0,0,0
996186100,1.2754743,0,0,0,0,0,0,0,0,0
996692357,1.6026344,0,0,0,0,0,0,0,0,0
997200474,1.8347812,0,0,0,0,0,0,0,0,0
997707257,1.6905441,0,0,0,0,0,0,0,0,0
998214218,1.5906914,0,0,0,0,0,0,0,0,0
998720081,1.6100633,0,0,0,0,0,0,0,0,0
999226522,1.6142741,0,0,0,0,0,0,0,0,0
999732080,1.5142809,0,0,0,0,0,0,0,0,0
1000239079,1.5735294,0,0,0,0,0,0,0,0,0
1000746633,1.5996544,0,0,0,0,0,0,0,0,0
1001253249,1.5507078,0,0,0,0,0,0,0,0,0
1001760623,1.5751852,0,0,0,0,0,0,0,0,0
1002266090,1.6301508,0,0,0,0,0,0,0,0,0
1002773080,1.655245,0,0,0,0,0,0,0,0,0
1003280107,1.6428634,0,0,0,0,0,0,0,0,0
1003786079,1.6847275,0,0,0,0,0,0,0,0,0
1004292081,1.5554932,0,0,0,0,0,0,0,0,0
1004798080,1.434377,0,0,0,0,0,0,0,0,0
1005304080,1.422136,0,0,0,0,0,0,0,0,0
1005811080,1.2214215,0,0,0,0,0,0,0,0,0
1006317209,1.096002,0,0,0,0,0,0,0,0,0
1006823080,1.0725129,0,0,0,0,0,0,0,0,0
1007331080,0.9605209,0,0,0,0,0,0,0,0,0
1007838211,0.8386394,0,0,0,0,0,0,0,0,0
1008346098,0.7609077,0,0,0,0,0,0,0,0,0
1008853080,0.7435011,0,0,0,0,0,0,0,0,0
1009360092,0.6085734,0,0,0,0,0,0,0,0,0
1009866420,0.6408323,0,0,0,0,0,0,0,0,0
1010374079,0.5364337,0,0,0,0,0,0,0,0,0
1010881261,0.457707,0,0,0,0,0,0,0,0,0
1011387100,0.34392196,0,0,0,0,0,0,0,0,0
1011895290,0.19460186,0,0,0,0,0,0,0,0,0
1012402923,0.2051118,0,0,0,0,0,0,0,0,0
1012908142,0.08240198,0,0,0,0,0,0,0,0,0
1013415082,-0.02798157,0,0,0,0,0,0,0,0,0
1013921451,-0.108246595,0,0,0,0,0,0,0,0,0
1014428093,-0.18989514,0,0,0,0,0,0,0,0,0
1014935205,-0.19264154,0,0,0,0,0,0,0,0,0
1015442312,-0.050490472,0,0,0,0,0,0,0,0,0
1015948121,0.014569607,0,0,0,0,0,0,0,0,0
1016455099,0.11588077,0,0,0,0,0,0,0,0,0
1016962080,0.29831412,0,0,0,0,0,0,0,0,0
1017469082,0.4947007,0,0,0,0,0,0,0,0,0
1017975080,0.65440685,0,0,0,0,0,0,0,0,0
1018085286,0.68915784,0,0,0,0,0,0,0,0,0
1018591075,0.8167933,0,0,0,0,0,0,0,0,0
1019098076,0.9937201,0,0,0,0,0,0,0,0,0
1019604075,1.1047537,0,0,0,0,0,0,0,0,0
1020111103,1.2421933,0,0,0,0,0,0,0,0,0
1020617090,1.4558681,0,0,0,0,0,0,0,0,0
1021123075,1.6963685,0,0,0,0,0,0,0,0,0
1021630360,1.734485,0,0,0,0,0,0,0,0,0
1022136349,1.7138342,0,0,0,0,0,0,0,0,0
1022642076,1.7428002,0,0,0,0,0,0,0,0,0
1023148256,1.7921009,0,0,0,0,0,0,0,0,0
1023655353,1.8711666,0,0,0,0,0,0,0,0,0
1024161074,2.0205119,0,0,0,0,0,0,0,0,0
1024667257,2.1075366,0,0,0,0,0,0,0,0,0
1025173640,2.1782768,0,0,0,0,0,0,0,0,0
1025680093,2.1661897,0,0,0,0,0,0,0,0,0
1026186074,2.2680883,0,0,0,0,0,0,0,0,0
1026692301,2.369818,0,0,0,0,0,0,0,0,0
1027199124,2.4501517,0,0,0,0,0,0,0,0,0
1027706075,2.4411113,0,0,0,0,0,0,0,0,0
1028212075,2.1031427,0,0,0,0,0,0,0,0,0
1028718223,1.8756108,0,0,0,0,0,0,0,0,0
1029225183,1.6773361,0,0,0,0,0,0,0,0,0
1029731196,1.5123184,0,0,0,0,0,0,0,0,0
1030237095,1.3808117,0,0,0,0,0,0,0,0,0
1030744095,1.1838892,0,0,0,0,0,0,0,0,0
1031251584,1.0734378,0,0,0,0,0,0,0,0,0
1031758283,1.0334934,0,0,0,0,0,0,0,0,0
1032264075,1.0890634,0,0,0,0,0,0,0,0,0
