timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
1061241402,1061237108,12,4,1,0,0,0,3,0,0,0,0,0,0
1062245135,1062237229,12,4,1,0,0,0,3,0,0,0,0,0,0
1063245215,1063237107,12,4,1,0,0,0,3,0,0,0,0,0,0
1064253135,1064245107,12,4,1,0,0,0,3,0,0,0,0,0,0
1065253138,1065249119,12,4,1,0,0,0,3,0,0,0,0,0,0
1066261136,1066253108,12,4,1,0,0,0,3,0,0,0,0,0,0
1067261154,1067257225,12,4,1,0,0,0,3,0,0,0,0,0,0
1068265186,1068257107,12,4,1,0,0,0,3,0,0,0,0,0,0
1069273155,1069265152,12,4,1,0,0,0,3,0,0,0,0,0,0
1070281136,1070273110,12,4,1,0,0,0,3,0,0,0,0,0,0
1071281141,1071273109,12,4,1,0,0,0,3,0,0,0,0,0,0
1072281184,1072273139,12,4,1,0,0,0,3,0,0,0,0,0,0
1073289517,1073281119,12,4,1,0,0,0,3,0,0,0,0,0,0
1074297136,1074289402,12,4,1,0,0,0,3,0,0,0,0,0,0
1075297139,1075289615,12,4,1,0,0,0,3,0,0,0,0,0,0
1076301150,1076293106,12,4,1,0,0,0,3,0,0,0,0,0,0
1077301209,1077293106,12,4,1,0,0,0,3,0,0,0,0,0,0
1078301270,1078293108,12,4,1,0,0,0,3,0,0,0,0,0,0
1079309202,1079301107,12,4,1,0,0,0,3,0,0,0,0,0,0
1080309617,1080305110,12,4,1,0,0,0,3,0,0,0,0,0,0
1081317193,1081309454,12,4,1,0,0,0,3,0,0,0,0,0,0
1082325156,1082317109,12,4,1,0,0,0,3,0,0,0,0,0,0
1083333231,1083325106,12,4,1,0,0,0,3,0,0,0,0,0,0
1084341316,1084333136,12,4,1,0,0,0,3,0,0,0,0,0,0
1085349164,1085341146,12,4,1,0,0,0,3,0,0,0,0,0,0
1086349624,1086345107,12,4,1,0,0,0,3,0,0,0,0,0,0
1087349865,1087345108,12,4,1,0,0,0,3,0,0,0,0,0,0
1088373139,1088297107,12,4,1,0,0,0,3,0,0,0,0,0,0
1089373146,1089365107,12,4,1,0,0,0,3,0,0,0,0,0,0
