timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
1011710437,1011709967,0.4970709,7.2884695e-06,0.45224908,1.0028465,0.022660965,1.0,1
1011811291,1011810754,0.49709666,7.1235745e-06,1.3533882,1.0040206,0.20270275,1.0070544,1
1011910436,1011910081,0.49704525,6.94405e-06,0.916175,1.0027176,0.0930113,1.0,1
1012014229,1012013862,0.49710342,6.776094e-06,-0.88514173,1.00624,0.086513035,1.0018412,1
1012113734,1012113165,0.49716598,6.6164057e-06,-0.2530102,1.0025877,0.007094328,1.0,1
1012206900,1012206379,0.49721313,6.4793003e-06,-0.80033976,1.0025314,0.070991814,1.0,1
1012309667,1012308722,0.49715322,6.3341163e-06,0.29033694,1.003576,0.009332796,1.0,1
1012408462,1012407951,0.4971809,6.195482e-06,0.0051425025,1.0156592,2.893067e-06,1.0103921,1
1012503203,1012502727,0.49720183,6.077819e-06,-0.28307194,1.0023775,0.0088821845,1.0,1
1012613090,1012612536,0.49712148,5.9389226e-06,0.25983036,1.0034975,0.0074751684,1.0,1
1012710819,1012710314,0.4972042,5.818502e-06,-0.2839269,1.0022342,0.008937197,1.0,1
1012807109,1012806587,0.4971778,5.715868e-06,0.35361174,1.0022328,0.013862521,1.0,1
1012906246,1012905870,0.49717638,5.604961e-06,0.1713855,1.0021856,0.0032565477,1.0,1
1013013296,1013012669,0.49721935,5.5005507e-06,-1.0422696,1.0021412,0.120444976,1.0002409,1
1013115328,1013114980,0.4971452,5.412584e-06,-0.5910665,1.002109,0.03873603,1.0,1
1013205563,1013205219,0.49708983,5.3243134e-06,0.23990276,1.0071559,0.006349379,1.0022857,1
1013309518,1013309059,0.49709436,5.230722e-06,-0.5160016,1.0020348,0.029524107,1.0,1
1013403163,1013402275,0.4971015,5.149378e-06,0.53469974,1.002205,0.0316972,1.0,1
1013514284,1013513589,0.49702138,5.0536923e-06,1.5432717,1.0019561,0.2641153,1.0059485,1
1013604195,1013603845,0.49708578,4.977446e-06,1.438023,1.0019573,0.22931893,1.005339,1
1013714166,1013713659,0.49724817,4.888637e-06,-1.053301,1.0019082,0.12303666,1.0004961,1
1013810454,1013809927,0.49712744,4.8200304e-06,0.75684625,1.0018964,0.06352578,1.0,1
1013912765,1013912221,0.4971716,4.755295e-06,0.5656724,1.0018739,0.03548742,1.0,1
1014014984,1014014515,0.49723846,4.689905e-06,-0.120907605,1.0019742,0.001621094,1.0,1
1014114419,1014113912,0.49718305,4.606295e-06,1.3098185,1.0020778,0.19022968,1.0044252,1
1014213592,1014213069,0.49690625,4.5366755e-06,-0.08878106,1.0180156,0.00086028763,1.0095321,1
1014306704,1014306337,0.49690515,4.4804415e-06,0.45696715,1.001723,0.023162197,1.0,1
1014410269,1014410166,0.49706686,4.4194207e-06,-0.1918061,1.0020623,0.004079318,1.0,1
1014502375,1014501885,0.497129,4.365551e-06,0.48050708,1.0079137,0.025452692,1.003779,1
1014609443,1014608698,0.49715394,4.3077357e-06,0.16198258,1.0016941,0.0029104424,1.0,1
1014708402,1014708024,0.49718505,4.2498036e-06,1.1044538,1.0016835,0.13530758,1.0006732,1
1014816707,1014816307,0.49733263,4.1881003e-06,-1.1195202,1.0016487,0.13902918,1.0006968,1
1014910171,1014909543,0.49730495,4.139993e-06,0.6290698,1.0042645,0.043783154,1.0,1
1015004769,1015004309,0.49734232,4.093713e-06,0.63787824,1.0016233,0.04513658,1.0,1
1015113135,1015112612,0.49737105,4.0451955e-06,0.16436395,1.001597,0.002996937,1.0,1
1015206376,1015205874,0.49745297,4.0024975e-06,-0.8227351,1.0026915,0.07500845,1.0000843,1
1015313204,1015312678,0.49756062,3.955909e-06,-0.57675725,1.0015585,0.03690348,1.0,1
1015409693,1015408950,0.49762264,3.9155257e-06,-1.4727184,1.0015333,0.24061987,1.0056667,1
1015513370,1015512811,0.49758717,3.864432e-06,1.1225805,1.0015305,0.1398068,1.0010228,1
1015608052,1015607509,0.4976743,3.826316e-06,-0.04984123,1.008028,0.00027381824,1.0035504,1
1015707155,1015706788,0.49767682,3.7833186e-06,0.15337932,1.0014857,0.002610035,1.0,1
1015805150,1015804567,0.49771696,3.7476802e-06,0.13428305,1.0014703,0.002000607,1.0,1
1015908704,1015908374,0.4977372,3.708253e-06,1.0532956,1.0014629,0.12309011,1.0005956,1
1016012609,1016012148,0.4978114,3.6701167e-06,-0.18817988,1.0014387,0.0039289766,1.0,1
1016111923,1016111434,0.49782392,3.631805e-06,0.537426,1.001427,0.032046124,1.0,1
1016206778,1016206201,0.4978497,3.5935739e-06,0.85164344,1.0014133,0.080474764,1.0,1
1016305948,1016305474,0.49792826,3.5573912e-06,0.4447143,1.0014005,0.021943806,1.0,1
1016415716,1016415329,0.4979931,3.5189562e-06,-0.90189785,1.0013741,0.090255946,1.0,1
1016513614,1016513113,0.49797246,3.484854e-06,0.79553306,1.001369,0.07022307,1.0,1
1016612701,1016612346,0.49802533,3.4515424e-06,0.37626815,1.0013535,0.015709596,1.0,1
1016710666,1016710116,0.498044,3.4243353e-06,0.2254802,1.0013375,0.00564149,1.0,1
1016810145,1016809397,0.49814096,3.3928063e-06,-0.37205982,1.0013283,0.015360541,1.0,1
1016912289,1016911764,0.49816123,3.3623835e-06,0.6944571,1.0045874,0.053340938,1.0010906,1
1017014480,1017013972,0.49820754,3.333296e-06,0.26682675,1.0013096,0.007900377,1.0,1
1017107784,1017107279,0.49823382,3.3135825e-06,0.14173722,1.0012994,0.0022292635,1.0,1
1017211367,1017211025,0.49825558,3.2860794e-06,1.0425063,1.001294,0.12060165,1.0015453,1
1017309693,1017308810,0.4983067,3.258436e-06,-0.34734872,1.0012718,0.013388652,1.0,1
1017412955,1017412590,0.49833754,3.2318774e-06,0.578427,1.0012716,0.0371281,1.0,1
1017507883,1017507357,0.49834293,3.20441e-06,-0.15954058,1.0012493,0.0028246043,1.0,1
1017607204,1017606634,0.49838033,3.1782104e-06,0.40595934,1.0012454,0.018288666,1.0,1
1017714052,1017713434,0.49843758,3.1547097e-06,0.22687167,1.0012345,0.0057119215,1.0,1
1017816057,1017815720,0.4985121,3.1309792e-06,-1.3398539,1.0012164,0.19922526,1.0030328,1
1017908313,1017907479,0.49853745,3.1107122e-06,-0.3026284,1.0012158,0.010163637,1.0,1
1018007293,1018006756,0.4985571,3.0869116e-06,0.25895798,1.0018401,0.00743734,1.0,1
1018092993,1018085021,0.49858904,3.070323e-06,-0.3703767,1.0011979,0.015223863,1.0,1
1100703474,1100703008,0.49854016,1.4831826e-05,0.16697985,1.0058117,0.0030801294,1.0,1
1100709513,1100708987,0.49853998,1.4753017e-05,0.00062796474,1.005374,4.358132e-08,1.0,1
1100802612,1100802224,0.49828368,1.4080726e-05,0.78641146,1.0051883,0.06836121,1.0,1
1100900360,1100900005,0.49708351,1.3482141e-05,-0.07133952,1.0048401,0.00056275696,1.0,1
1101003020,1101002252,0.49777794,1.2865125e-05,-0.7459552,1.0048128,0.061531544,1.0,1
1101107876,1101107529,0.49916655,1.2219337e-05,-0.59155256,1.0118332,0.03842689,1.0048273,1
1101206012,1101205288,0.500125,1.1665472e-05,-0.75911546,1.0047278,0.06372718,1.0,1
1101306938,1101306057,0.5006085,1.1202387e-05,0.032512873,1.0045977,0.00011691656,1.0,1
1101405666,1101405317,0.50121367,1.0723431e-05,-0.44730482,1.0044307,0.022133224,1.0,1
1101506802,1101506082,0.50174844,1.0282381e-05,-0.18754989,1.0042716,0.0038917053,1.0,1
1101605720,1101605396,0.5023155,9.876018e-06,-0.4004276,1.0041021,0.017743025,1.0,1
1101705422,1101704611,0.5026879,9.540949e-06,0.3719225,1.003966,0.015308879,1.0,1
1101802930,1101802368,0.5031962,9.229643e-06,-0.16736366,1.0038204,0.0031004432,1.0,1
1101902139,1101901630,0.503635,8.9070645e-06,-1.2533015,1.0036429,0.17389591,1.0005383,1
1102001455,1102000890,0.5038666,8.609028e-06,0.03299874,1.0035112,0.00012056743,1.0,1
1102110368,1102109225,0.5041508,8.308552e-06,-0.3658726,1.011172,0.014709305,1.0024331,1
1102207529,1102206983,0.5046058,8.053732e-06,-0.6492407,1.003257,0.04668278,1.0,1
1102306941,1102306204,0.5049472,7.816166e-06,0.45140344,1.0056962,0.022512328,1.0007545,1
1102405974,1102405464,0.5052482,7.5938074e-06,0.06612906,1.0040581,0.0004839309,1.0,1
1102503749,1102503223,0.5056204,7.3858428e-06,-0.366481,1.0209768,0.014616539,1.0149498,1
1102606368,1102605540,0.5059718,7.190634e-06,-1.2911552,1.0028493,0.18470502,1.0007,1
1102705396,1102704778,0.5061726,7.005319e-06,-0.06889929,1.0027701,0.0005259998,1.0,1
1102807580,1102807030,0.50638765,6.832893e-06,0.47080582,1.0074283,0.024447082,1.0022355,1
1102906893,1102906338,0.5067667,6.6681723e-06,-0.48592404,1.0026164,0.02616733,1.0,1
1102999903,1102999554,0.50692755,6.5293684e-06,0.58366376,1.0073526,0.03757521,1.0037045,1
1103102479,1103101853,0.5071239,6.382197e-06,-0.24075487,1.0099243,0.0063770358,1.002852,1
1103207671,1103207130,0.50745595,6.227022e-06,-0.57819486,1.0024205,0.03705578,1.0,1
1103294701,1103294318,0.5077225,6.121745e-06,-0.96369517,1.0023805,0.10294476,1.0,1
1103406327,1103405612,0.50782377,5.983157e-06,0.5203747,1.0036801,0.029977439,1.0,1
1103505386,1103504872,0.5080653,5.8612673e-06,0.24110112,1.0022807,0.006444163,1.0,1
1103606118,1103605686,0.50813866,5.7450516e-06,1.4868777,1.0022416,0.24509563,1.0092487,1
1103703912,1103703443,0.508351,5.6482363e-06,-0.067288145,1.0081404,0.000499015,1.0,1
1103803403,1103802659,0.50861144,5.542136e-06,-1.0515664,1.0021347,0.12260404,1.0,1
1103903937,1103903427,0.5087972,5.440454e-06,-1.1879508,1.0020895,0.15647607,1.0,1
1104003186,1104002690,0.5089759,5.342283e-06,-0.8415214,1.0020548,0.0785229,1.0,1
1104099511,1104098943,0.5091445,5.2596015e-06,-1.5300465,1.0087717,0.25785398,1.0104651,1
1104203286,1104202720,0.5092793,5.1704405e-06,-0.5087868,1.0019817,0.028705781,1.0,1
1104301124,1104300483,0.50946796,5.0839503e-06,-0.4125008,1.0050453,0.018811416,1.0002038,1
1104406649,1104405756,0.509541,5.002608e-06,0.011988327,1.0019138,1.5938384e-05,1.0,1
1104505518,1104505037,0.5097768,4.922908e-06,-1.7552238,1.0018705,0.34167317,1.0100505,1
1104604629,1104604281,0.50982755,4.8467286e-06,0.27082068,1.0046972,0.008111215,1.0,1
1104705644,1104705048,0.5099561,4.772919e-06,-1.3743834,1.0044466,0.20895195,1.0052747,1
1104798802,1104798295,0.5100585,4.7096523e-06,-0.93184036,1.0017855,0.09630876,1.0,1
1104897888,1104897556,0.5101399,4.6408636e-06,0.22642857,1.001768,0.005686601,1.0,1
1105003166,1105002835,0.5101861,4.5758347e-06,1.5223467,1.0066714,0.25579786,1.0156676,1
1105102481,1105102144,0.51031727,4.5116317e-06,-0.26319087,1.0017029,0.0076835193,1.0,1
1105202178,1105201359,0.51055014,4.450426e-06,-1.6385933,1.0016807,0.29783145,1.0034513,1
1105301041,1105300625,0.5105397,4.390638e-06,1.191004,1.0096052,0.1561106,1.0117569,1
1105394512,1105393907,0.51067656,4.339814e-06,-0.15921044,1.0017459,0.0028115318,1.0,1
1105506027,1105505167,0.51074475,4.2791307e-06,-1.1071606,1.0016042,0.13598236,1.0,1
1105598998,1105598455,0.51078683,4.2308175e-06,0.20321953,1.0015996,0.0045813583,1.0,1
1105698196,1105697671,0.51092243,4.1784388e-06,-0.71959794,1.0015733,0.057445306,1.0,1
1105806375,1105805959,0.5110083,4.1224644e-06,-1.082015,1.0015455,0.12988332,1.0,1
