timestamp,observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],controller_time,inference_time
1019040332,-0.05324444,-0.0471377,-0.024168074,0.9994817,0.026161194,-0.018762048,-0.026192069,0.999656,-0.0013970973,0.05120213,0.08496889,-0.0013038449,0.10032972,0.019640904,0.08495051,0.52655584,0.4902473,0.5028106,0.46352816,123,85
1019089952,-0.055591956,-0.050728817,-0.024582803,0.9995782,0.021321177,-0.019727577,-0.021429539,0.99975646,-0.005297075,0.044164494,0.066495016,-0.0021845202,0.04636882,-0.03802481,0.043986455,0.5307886,0.5078022,0.49738866,0.478652,146,84
1019141085,-0.057400554,-0.05401724,-0.024924934,0.99962693,0.017278314,-0.021156145,-0.01743412,0.99982214,-0.007200685,0.034646265,0.061783146,0.0016868823,0.0030842219,0.024256188,0.065510675,0.5254927,0.500713,0.5097344,0.44901714,125,86
1019190771,-0.058948994,-0.056890886,-0.025146604,0.99966305,0.013583064,-0.022124285,-0.013774514,0.9998689,-0.008521642,0.025446076,0.050981622,-0.009648027,0.005067177,-0.010776564,0.04276833,0.53270715,0.5122612,0.49930236,0.4715929,144,105
1019240347,-0.059750587,-0.059257098,-0.02539289,0.9997014,0.011611342,-0.021501515,-0.011754513,0.9999095,-0.0065428466,0.020373454,0.04033466,-0.006069315,0.006819453,0.010732452,0.039669197,0.5299347,0.50219554,0.5000812,0.46699777,128,90
1019288554,-0.060164392,-0.061165236,-0.025515556,0.9997104,0.009307861,-0.022200946,-0.00946784,0.9999301,-0.0071107163,0.014666444,0.03274302,-0.006767547,0.00024620985,-0.016926108,0.03333602,0.53065974,0.5111272,0.4894301,0.48140842,153,114
1019341179,-0.060095817,-0.062901735,-0.02565378,0.9997743,0.007952213,-0.019704716,-0.008060455,0.99995285,-0.0054174447,0.013661107,0.023152057,-0.0068146056,-0.010537221,0.034858666,0.013933917,0.52761877,0.49008107,0.50394624,0.4667805,127,89
1019390810,-0.059592277,-0.064224,-0.025450587,0.9997867,0.00698936,-0.01943666,-0.0070773363,0.999965,-0.0044642906,0.00574447,0.019517235,-0.005718425,-0.10052527,0.03982036,0.010292827,0.5189567,0.50217205,0.51491535,0.44989505,168,126
1019438995,-0.05867,-0.06544354,-0.02507925,0.99983203,0.006878853,-0.016997667,-0.006882906,0.99997646,-0.00018477606,-0.008543882,-0.0009967638,-0.0140046645,-0.03194993,0.04715846,-0.028219897,0.51414955,0.48402676,0.5052154,0.48905587,172,121
1019491592,-0.05777639,-0.066112734,-0.02472949,0.99985224,0.0067926645,-0.015793942,-0.0067744255,0.99997634,0.0012055075,-0.008646854,0.0037536367,-0.017670041,-0.06639904,0.03788984,0.018564554,0.52722484,0.5072696,0.50878143,0.45805225,122,84
