timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
989962601,989771758,171865829443,7.894103e-05,0.001971451,0.002802803,0,0.003519264,0.0014596373,0.0004732279,nan,0.0023098616,0.11277139,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
990162701,989971839,171865829443,8.950529e-05,0.0020944146,0.0030400157,0,0.0035041189,0.0014546466,0.0005109881,nan,0.002783395,0.12867872,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
990362823,990171919,171865829443,9.565399e-05,0.0021586958,0.0031869558,0,0.003500703,0.0014513369,0.00066039,nan,0.0031252068,0.14347544,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
990562866,990372000,171865829443,0.000106403706,0.0021924013,0.0032732927,0,0.003500494,0.0014492302,0.0007149425,nan,0.003544729,0.15716733,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
990762776,990572081,171865829443,0.0001232959,0.0021012414,0.0031543516,0,0.003589352,0.0014620264,0.0007290878,nan,0.00415717,0.16954508,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
990962991,990772161,171865829443,0.00015740519,0.0021706277,0.0031949002,0,0.003569319,0.0014595645,0.00077822094,nan,0.004912285,0.18121889,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
991163364,990972241,171865829443,0.00017379275,0.0023021689,0.0033376827,0,0.0034597486,0.0014428535,0.0008253179,nan,0.005178447,0.19068137,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
991363056,991172321,171865829443,0.00015397438,0.0020092055,0.0029762355,0,0.003574024,0.0014575504,0.00087794627,nan,0.00502271,0.1976756,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
991563283,991372401,171865829443,0.00011492976,0.002050848,0.0030647824,0,0.003461945,0.0014416063,0.0009318761,nan,0.0043668956,0.20469771,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
991763341,991572481,171865829443,7.185264e-05,0.0019234506,0.0028790329,0,0.003463158,0.0014413336,0.0009989133,nan,0.0036163952,0.20981124,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
991953197,991762557,171865829443,5.807359e-05,0.0016289308,0.0024170228,0,0.0035930702,0.0014599321,0.001026682,nan,0.0030146348,0.21309125,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
992163516,991972640,171865829443,7.3096744e-05,0.0016649846,0.0023606403,0,0.0035196745,0.0014531696,0.0010760806,nan,0.0024069278,0.21581493,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,431,4,1,5,2,2,0,0,0,0,0,0,0,0
992363495,992172719,171799769283,0.00010749037,0.0014533999,0.002005898,0,0.0035716535,0.0014639253,0.0011337018,nan,0.0029038559,0.21636212,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
992563913,992372798,171799769283,0.00018908901,0.001513383,0.0017978046,0,0.0035387122,0.001459405,0.0012011426,nan,0.005026485,0.21478833,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
992763682,992572876,171799769283,0.00028253946,0.0017759524,0.0016630823,0,0.003527548,0.001455852,0.0012476058,nan,0.007427947,0.21127985,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
992963764,992772954,171799769283,0.00039972324,0.0024610446,0.0017184593,0,0.0035039806,0.001452146,0.0013505474,nan,0.011208619,0.20847027,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
993163863,992973031,34360815811,0.0004118721,0.0030590778,0.0019086705,0,0.0034805944,0.0014484623,0.0013660464,nan,0.012262815,0.21038029,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
993363870,993173108,34360815811,0.00047349383,0.0032759428,0.0024528312,0,0.0034844764,0.0014461834,0.0015508074,nan,0.015295877,0.21822013,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
993564014,993373183,34360815811,0.0010870416,0.0059361756,0.0036770527,0,0.00357337,0.0014586914,0.0018817215,nan,0.023878574,0.22522713,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
993764062,993573258,34360815811,0.0018368475,0.007643058,0.00482609,0,0.0035586879,0.0014578253,0.0020841896,nan,0.03229716,0.2421451,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
993964199,993773332,34360815811,0.0018034044,0.0065263547,0.004917323,0,0.003540507,0.0014597237,0.002589384,nan,0.029819937,0.27808958,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
994164226,993973406,34360815811,0.0013284758,0.0041644345,0.004806018,0,0.0035318127,0.0014656852,0.0027737187,nan,0.022899045,0.3258424,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
994364295,994173479,34360815811,0.002021091,0.0057025445,0.0059394757,0,0.0035326923,0.0014761364,0.0027650483,nan,0.015849296,0.38059655,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
994564441,994373551,34360815811,0.0036741043,0.00995056,0.00816996,0,0.0035330819,0.0014902289,0.0030716779,nan,0.03725486,0.44027483,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
994764464,994573623,34360815811,0.0058037434,0.01400781,0.010779529,0,0.0035387713,0.0015057483,0.0041391593,nan,0.052764717,0.49130365,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
994964470,994773695,34360815811,0.0074920077,0.016435333,0.012556155,0,0.003545725,0.0015215456,0.0057764375,nan,0.062064596,0.52427554,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,1,0,0,0,0,0,0
995164592,994973765,34360815811,0.008325325,0.016976153,0.013212338,0,0.003522736,0.0015352211,0.0075862347,nan,0.06372595,0.5462891,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,1,0,0,0,0,0,0
995364719,995173836,34360815811,0.00826072,0.015295847,0.012181825,0,0.0035718114,0.0015624554,0.009111754,nan,0.059782375,0.551485,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,1,0,0,0,0,0,0
995564711,995373906,34360815811,0.00808729,0.012934726,0.0103486935,0,0.003543385,0.0015709236,0.010399549,nan,0.05175463,0.539683,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,1,0,0,0,0,0,0
995764786,995573975,34360815811,0.007511926,0.010465449,0.0077814376,0,0.003536058,0.0015788563,0.011545982,nan,0.042844728,0.513029,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,1,0,0,0,0,0,0
995964843,995774044,34360815811,0.0067479033,0.007662278,0.0054909973,0,0.0035234147,0.001586762,0.012452301,nan,0.035031483,0.4769589,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
996154921,995964109,34360815811,0.006146053,0.009204252,0.004714789,0,0.0035244417,0.0015979899,0.012820198,nan,0.026870817,0.43599635,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
996365020,996174181,34360815811,0.0049617803,0.010705173,0.0059642433,0,0.003588824,0.0016144173,0.013507289,nan,0.029886972,0.3779698,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
996565033,996374248,34360815811,0.003467378,0.0095621785,0.0074198716,0,0.0035536096,0.0016108857,0.01389503,nan,0.026987983,0.31975853,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
996765218,996574315,34360815811,0.0019502444,0.008546369,0.008757902,0,0.003529342,0.0016072855,0.0145557895,nan,0.023403984,0.26500523,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
996965195,996774382,34360815811,0.00046983393,0.00827979,0.010208925,0,0.0035247665,0.0016022082,0.015107747,nan,0.019649157,0.21647155,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
997165291,996974448,34360815811,0.0010223106,0.009433346,0.011800779,0,0.0035221032,0.0015959209,0.0155092925,nan,0.015987141,0.16735514,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
997365346,997174514,34360815811,0.0020880178,0.011181518,0.013364887,0,0.0034959558,0.001587296,0.015439925,nan,0.010971917,0.09650363,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
997565405,997374579,34360815811,0.0029115623,0.01301171,0.014637559,0,0.0035736046,0.0015940581,0.015792917,nan,0.0138142565,0.110916555,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
997765466,997574644,34360815811,0.003804024,0.015414423,0.01622451,0,0.0036257342,0.0015952077,0.016220812,nan,0.02012732,0.19978979,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
997965541,997774708,34360815811,0.004747405,0.017886454,0.017921098,0,0.003565276,0.001573826,0.01668081,nan,0.024498103,0.269278,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
998165650,997974772,34360815811,0.0053727957,0.019577181,0.019082388,0,0.003516886,0.0015527697,0.017138185,nan,0.028773654,0.33314803,nan,nan,nan,0.005002,3670026,3670026,6815762,589834,nan,nan,nan,nan,0,303,4,1,5,2,2,0,0,0,0,0,0,0,0
