timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
1054237371,1054043997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004400611,-0.000747025,0.0014714003,0.0,-0.9168107,0.0,0.0,0.0,0.0,-0.050597906,-0.010919258,-0.020000532,-0.020057023,-0.0074375193,-0.108338654,-0.0064716935,0.0,0.0,0.0,0.0,0.0,0.0
1054734018,1054538831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063431263,-0.0006676316,0.0018318295,0.0,-1.0657952,0.0,0.0,0.0,0.0,-0.051068544,0.031780213,-0.054433703,0.011958957,0.02689309,0.1751938,-0.014718771,0.0,0.0,0.0,0.0,0.0,0.0
1055235997,1055038177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014042854,0.0005816221,0.002231896,0.0,-0.9387002,0.0,0.0,0.0,0.0,-0.050187707,0.0005490929,-0.013584346,0.004379332,0.08359416,0.019257406,-0.0020582676,0.0,0.0,0.0,0.0,0.0,0.0
1055732294,1055533010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00063437223,0.00079482794,0.0025033355,0.0,-0.9934607,0.0,0.0,0.0,0.0,-0.04954934,-0.025456786,-0.027851194,-0.01638174,-0.033521816,-0.05525917,-0.003537774,0.0,0.0,0.0,0.0,0.0,0.0
1056235997,1056042882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009639263,0.0009924769,0.0029165149,0.0,-1.0856036,0.0,0.0,0.0,0.0,-0.047486424,-0.00147672,-0.009783208,0.0072695613,-0.042925164,0.06867518,-0.0027323961,0.0,0.0,0.0,0.0,0.0,0.0
1056733911,1056540722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00068211555,0.0005607605,0.0022642612,0.0,-0.97702366,0.0,0.0,0.0,0.0,-0.047308803,-0.010134786,-0.012563348,-0.0056319833,0.05175295,-0.07937548,-0.0047675967,0.0,0.0,0.0,0.0,0.0,0.0
1057228750,1057035553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5437603e-05,0.00038141012,0.0012515783,0.0,-1.0137558,0.0,0.0,0.0,0.0,-0.046669602,0.025722146,-0.024610624,-0.018821895,0.025686238,-0.100777134,-0.0059782267,0.0,0.0,0.0,0.0,0.0,0.0
1057734108,1057536400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009730458,0.00021010637,0.00069600344,0.0,-1.0760552,0.0,0.0,0.0,0.0,-0.046385884,-0.010206729,-0.026229292,-0.02192992,-0.027589437,0.08937993,-0.004164636,0.0,0.0,0.0,0.0,0.0,0.0
1058229276,1058040255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004208684,-0.00016665459,0.00018560886,0.0,-1.000504,0.0,0.0,0.0,0.0,-0.046267986,-0.039363682,-0.029979557,-0.025999904,0.007772651,0.058553927,-0.0010065436,0.0,0.0,0.0,0.0,0.0,0.0
1058737310,1058544109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004956722,-0.0002629757,0.001242876,0.0,-0.92609894,0.0,0.0,0.0,0.0,-0.044523716,0.0023183078,-0.026770994,-0.008596122,0.025298331,-0.08870117,-0.005637288,0.0,0.0,0.0,0.0,0.0,0.0
1059235258,1059037434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014257431,0.0022548437,-0.00745821,0.0,-0.7353915,0.0,0.0,0.0,0.0,-0.026846886,0.0109651685,0.026102424,-0.017324477,0.33000877,0.15988669,0.070268035,0.0,0.0,0.0,0.0,0.0,0.0
1059739073,1059545845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009559035,-0.007994607,0.014211893,0.0,-0.51690173,0.0,0.0,0.0,0.0,-0.066877365,0.039978117,-0.0007917881,-0.022254527,-0.17599192,0.16370681,-0.006144643,0.0,0.0,0.0,0.0,0.0,0.0
1060236713,1060043636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020994544,0.013539791,0.0091917515,0.0,-0.9739728,0.0,0.0,0.0,0.0,-0.07159603,0.0034573823,-0.019003153,-0.06957027,-0.2249542,0.07139002,0.0069468617,0.0,0.0,0.0,0.0,0.0,0.0
1060734723,1060538511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040608644,0.0021149516,-0.004201412,0.0,-1.0113366,0.0,0.0,0.0,0.0,-0.071156025,0.0032154024,0.0139700025,-0.046204805,0.06327249,0.123062514,-0.010178447,0.0,0.0,0.0,0.0,0.0,0.0
1061235911,1061042363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023434162,-0.006770611,-0.0038995147,0.0,-0.97167015,0.0,0.0,0.0,0.0,-0.07342613,0.01983425,0.010984242,-0.055586696,0.010653663,0.17998046,-0.017523348,0.0,0.0,0.0,0.0,0.0,0.0
1061731071,1061529624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018775463,-0.0026888847,-0.0032820702,0.0,-1.0265017,0.0,0.0,0.0,0.0,-0.07509005,0.008455321,0.019090638,-0.06900072,0.049192213,0.13981578,-0.007018447,0.0,0.0,0.0,0.0,0.0,0.0
1062237176,1062031972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017464757,0.00092482567,-0.005009949,0.0,-0.9680186,0.0,0.0,0.0,0.0,-0.07359052,0.014660373,-0.0062373877,-0.054674268,0.07427971,0.011518502,-0.000993967,0.0,0.0,0.0,0.0,0.0,0.0
1062727595,1062537327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005581379,0.0015876889,-0.0040597916,0.0,-1.0738828,0.0,0.0,0.0,0.0,-0.07504892,0.0043485016,0.037609503,-0.10584557,0.0110130105,-0.027884576,-0.000677228,0.0,0.0,0.0,0.0,0.0,0.0
1063232738,1063042727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003977418,0.000880301,-0.0031284094,0.0,-1.0090157,0.0,0.0,0.0,0.0,-0.07587087,0.028044596,0.022158146,-0.05323124,-0.012918109,0.09622793,-0.0019555688,0.0,0.0,0.0,0.0,0.0,0.0
1063736582,1063546578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008594394,-9.2208385e-05,-0.0026296973,0.0,-0.98333937,0.0,0.0,0.0,0.0,-0.07572031,0.03414753,0.033883914,-0.02276969,-0.06944143,0.1732877,-0.0143482685,0.0,0.0,0.0,0.0,0.0,0.0
1064234604,1064041359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020421743,-0.0002487898,-0.0023385286,0.0,-1.0420904,0.0,0.0,0.0,0.0,-0.07541883,0.017994672,0.0046367347,-0.05008489,-0.078200385,-0.06642496,-0.006489873,0.0,0.0,0.0,0.0,0.0,0.0
1064732288,1064534680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034540892,-0.0002912879,-0.0018410087,0.0,-1.0417248,0.0,0.0,0.0,0.0,-0.075360894,0.083364904,0.04651721,0.0016284585,0.08337226,-0.04960276,-0.004264176,0.0,0.0,0.0,0.0,0.0,0.0
