timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
984962069,0,0,0,0,0
985469070,0,0,0,0,0
985975070,0,0,0,0,0
986483077,0,0,0,0,0
986985198,0,0,0,0,0
987492072,0,0,0,0,0
988002434,0,0,0,0,0
988508070,0,0,0,0,0
989014484,0,0,0,0,0
989522364,0,0,0,0,0
990028071,0,0,0,0,0
990535099,0,0,0,0,0
991042100,0,0,0,0,0
991548071,0,0,0,0,0
992054412,0,0,0,0,0
992561071,0,0,0,0,0
993069070,0,0,0,0,0
993576084,0,0,0,0,0
994083071,0,0,0,0,0
994589160,0,0,0,0,0
995097089,0,0,0,0,0
995603453,0,0,0,0,0
996109088,0,0,0,0,0
996615273,0,0,0,0,0
997123071,0,0,0,0,0
997630144,0,0,0,0,0
998137071,0,0,0,0,0
998643072,0,0,0,0,0
999149072,0,0,0,0,0
999655072,0,0,0,0,0
1000162198,0,0,0,0,0
1000669070,0,0,0,0,0
1001175089,0,0,0,0,0
1001683072,0,0,0,0,0
1002189339,0,0,0,0,0
1002695070,0,0,0,0,0
1003203372,0,0,0,0,0
1003709264,0,0,0,0,0
1004215071,0,0,0,0,0
1004721069,0,0,0,0,0
1005227546,0,0,0,0,0
1005734412,0,0,0,0,0
1006240118,0,0,0,0,0
1006746072,0,0,0,0,0
1007254069,0,0,0,0,0
1007761089,0,0,0,0,0
1008269089,0,0,0,0,0
1008776070,0,0,0,0,0
1009283070,0,0,0,0,0
1009789154,0,0,0,0,0
1010297071,0,0,0,0,0
1010804070,0,0,0,0,0
1011310141,0,0,0,0,0
1011818071,0,0,0,0,0
1012324163,0,0,0,0,0
1012831133,0,0,0,0,0
1013337131,0,0,0,0,0
1013844070,0,0,0,0,0
1014351070,0,0,0,0,0
1014858071,0,0,0,0,0
1015365072,0,0,0,0,0
1015871074,0,0,0,0,0
1016378156,0,0,0,0,0
1016885070,0,0,0,0,0
1017392100,0,0,0,0,0
1017898087,0,0,0,0,0
1018404121,0,0,0,0,0
1018911065,0,0,0,0,0
1019417067,0,0,0,0,0
1019923264,0,0,0,0,0
1020430249,0,0,0,0,0
1020936086,0,0,0,0,0
1021442231,0,0,0,0,0
1021949065,0,0,0,0,0
1022455066,0,0,0,0,0
1022961065,0,0,0,0,0
1023467316,0,0,0,0,0
1023974500,0,0,0,0,0
1024480649,0,0,0,0,0
1024986078,0,0,0,0,0
1025493065,0,0,0,0,0
1025999067,0,0,0,0,0
1026505066,0,0,0,0,0
1027011068,0,0,0,0,0
1027519066,0,0,0,0,0
1028025520,0,0,0,0,0
1028531065,0,0,0,0,0
1029037096,0,0,0,0,0
1029544067,0,0,0,0,0
1030050066,0,0,0,0,0
1030557067,0,0,0,0,0
1031064066,0,0,0,0,0
1031571065,0,0,0,0,0
1032077506,0,0,0,0,0
1032584066,0,0,0,0,0
1033090068,0,0,0,0,0
1033598174,0,0,0,0,0
1034105067,0,0,0,0,0
1034611066,0,0,0,0,0
