timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
987322852,987118606,987123783,0,0.0223432,-0.22442326,0.3047752,0.0025000002,0.0025000002,0.0025000002,-0.0013460368,0.021686435,-0.007450074,0.0012890972,0.007987562,-0.015824798,0.0025063818,0.0025017597,0.002501568,8.0320075e-05,0.020887434,0.002465264,0.004724043,-0.013300785,-0.21509984,2,0,1
987812608,987608698,987613599,0,0.015559164,-0.2141557,0.2985661,0.0025000002,0.0025000002,0.0025000002,0.0052695014,0.011496529,-0.0012104213,0.010121531,0.0017621766,-0.001983797,0.0025063627,0.0025017573,0.0025015683,0.0012309846,0.0058703707,6.5081396e-05,0.012874306,-0.008372464,-0.08328452,2,0,1
988302456,988098704,988103242,0,0.019510593,-0.20052966,0.27420452,0.0025000002,0.0025000002,0.0025000002,0.0012069494,-0.002045393,0.023175001,0.0065838867,0.0034337805,0.009066002,0.0025063464,0.0025017576,0.0025015688,6.457947e-05,0.00018579996,0.023855278,0.007912609,-0.0009286554,-0.024818957,2,0,1
988792441,988588566,988592959,0,0.011889293,-0.22473396,0.27725118,0.0025000002,0.0025000002,0.0025000002,0.008675713,0.022227809,0.02009666,0.012109516,0.0013444693,0.0138898445,0.002506328,0.002501757,0.0025015688,0.0033367982,0.021944206,0.017938888,0.011270228,-4.3215467e-05,-0.00086522935,2,0,1
989281537,989078580,989083021,0,0.0027076164,-0.210062,0.28119808,0.0025000002,0.0025000002,0.0025000002,0.017885625,0.007470593,0.016067296,0.008643544,0.0043506282,0.013847656,0.0025063043,0.0025017578,0.002501569,0.01418182,0.0024792396,0.011466371,0.007363146,0.0037413843,0.0063665006,2,0,1
989775184,989568756,989572498,0,0.030107241,-0.20019898,0.28587317,0.0025000002,0.0025000002,0.0025000002,-0.009507444,-0.002352029,0.011388868,0.0043443097,0.0038166693,0.01131608,0.0025062812,0.0025017532,0.0025015671,0.0040073306,0.0002457913,0.0057611465,0.0051099984,0.0026722336,0.0069920057,2,0,1
990261149,990058568,990062277,0,0.027658073,-0.22024956,0.294868,0.0025000002,0.0025000002,0.0025000002,-0.007025387,0.017668784,0.0024354756,0.0011769134,0.009316803,-1.8440434e-05,0.0025062566,0.0025017534,0.0025015671,0.0021881268,0.013864704,0.00026347663,0.004479243,0.008595372,-0.0015986569,2,0,1
990823772,990618600,990624900,0,0.016412701,-0.20589969,0.30495423,0.0025000002,0.0025000002,0.0025000002,0.0042709075,0.003312111,-0.0075944066,-0.0019211501,0.009407141,-0.005786724,0.0025062407,0.0025017557,0.0025015678,0.0008086769,0.00048726893,0.002561729,-0.0028875743,0.0074696895,-0.00615891,2,0,1
991314123,991108643,991114655,0,0.042006247,-0.17436244,0.2859309,0.0025000002,0.0025000002,0.0025000002,-0.021365464,-0.028222993,0.011473596,-0.0031777723,0.0034897,-0.004326431,0.002506214,0.0025017532,0.0025015664,0.020237833,0.03537915,0.0058472035,-0.0033039718,0.0013443417,-0.0030955034,2,0,1
991803810,991598847,991604362,0,0.03161969,-0.20515442,0.2998511,0.0025000002,0.0025000002,0.0025000002,-0.010741226,0.0025354177,-0.002436757,-0.008118119,0.0080998605,-0.005120596,0.00250618,0.0025017501,0.0025015653,0.005115086,0.0002854,0.00026373405,-0.009737985,0.007845493,-0.0035962034,2,0,1
