timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
986963814,0.0,0.0,0.0,0.0
986965145,0.0,0.0,0.0,0.0
987165667,0.0,0.0,0.0,0.0
987365000,0.0,0.0,0.0,0.0
987564329,0.0,0.0,0.0,0.0
987764811,0.0,0.0,0.0,0.0
987966696,0.0,0.0,0.0,0.0
988167339,0.0,0.0,0.0,0.0
988366656,0.0,0.0,0.0,0.0
988565893,0.0,0.0,0.0,0.0
988765169,0.0,0.0,0.0,0.0
988964468,0.0,0.0,0.0,0.0
989164248,0.0,0.0,0.0,0.0
989364529,0.0,0.0,0.0,0.0
989566909,0.0,0.0,0.0,0.0
989765740,0.0,0.0,0.0,0.0
989965822,0.0,0.0,0.0,0.0
990164653,0.0,0.0,0.0,0.0
990364882,0.0,0.0,0.0,0.0
990564819,0.0,0.0,0.0,0.0
990767395,0.0,0.0,0.0,0.0
990966223,0.0,0.0,0.0,0.0
991166304,0.0,0.0,0.0,0.0
991365165,0.0,0.0,0.0,0.0
991565217,0.0,0.0,0.0,0.0
991765295,0.0,0.0,0.0,0.0
991964302,0.0,0.0,0.0,0.0
992166704,0.0005515947,-0.00041017804,5.187008e-05,0.0
992366781,0.004678147,-0.002857399,6.8729416e-05,0.0
992566862,0.008500273,-0.004703864,9.879614e-05,0.0
992765688,0.011783202,-0.0046189497,0.00014083418,0.0
992964618,0.013441798,0.0032813333,0.00018051211,0.0
993164592,0.009968333,0.014176095,-0.00070440024,0.0
993364665,0.008943462,0.017570807,1.7117212e-05,0.0
993567245,0.008649382,0.018562742,0.0005741116,0.0
993767333,0.00851151,0.017689008,0.0024807348,0.0
993966181,0.008531969,0.016689798,0.0040836073,0.0
994166213,0.008455292,0.016320525,0.004402966,0.0
994365034,0.008382086,0.016763767,0.0039270446,0.0
994565325,0.0085067665,0.017413244,0.0036759933,0.0
994763927,0.008523455,0.017684657,0.0035939962,0.0
994967756,0.008588858,0.017770054,0.0025997583,0.0
995166573,0.008409381,0.01800075,0.0014079672,0.0
995366640,0.008242382,0.018450622,8.485764e-05,0.0
995565528,0.008205514,0.019235391,-0.00074682786,0.0
995765528,0.0076021347,0.018830912,-0.0007266252,0.0
995964345,0.007331663,0.019096065,-0.00022882459,0.0
996164634,0.0074932454,0.019847576,0.0006018312,0.0
996366982,0.0074878433,0.019404903,0.0009110294,0.0
996567052,0.0066197887,0.01925618,0.0012380145,0.0
996765865,0.0066677323,0.019348504,0.0014421953,0.0
996965932,0.006318905,0.019247867,0.0016484722,0.0
