timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
986957925,-0.010475503,-0.32235274,nan,0.0,0.0,0.29596132,0.0,0.0,0.166904,nan,nan,8.0,1.7023495,0.0
986968767,nan,nan,nan,0.0008912077,-0.0001494216,0.29643118,-0.07786694,0.013055321,0.086704,nan,nan,8.0,1.7024144,0.0
987155679,nan,nan,nan,0.00041957397,1.5790509e-05,0.31197062,-0.08993254,-0.0033845769,0.165208,nan,nan,8.0,1.7022195,0.0
987353931,nan,nan,nan,0.0016764728,0.0001192417,0.3280989,-0.12150288,-0.008642078,0.162992,nan,nan,8.0,1.7023275,0.0
987552081,nan,nan,nan,0.0016264613,0.00028446811,0.34418306,-0.11983647,-0.020959407,0.163864,nan,nan,8.0,1.7022146,0.0
987749722,nan,nan,nan,0.0017030917,0.00082767685,0.360463,-0.11484963,-0.055815186,0.166856,nan,nan,8.0,1.7023327,0.0
987947906,nan,nan,nan,0.0029903024,0.0009828194,0.37637135,-0.13415115,-0.044091303,0.136968,nan,nan,8.0,1.7022961,0.0
988156007,nan,nan,nan,0.002524968,0.0005671649,0.39369565,-0.13727026,-0.030834006,0.16664,nan,nan,8.0,1.7023755,0.0
988354321,nan,nan,nan,0.0020188773,0.00017369323,0.41055736,-0.120707534,-0.01038502,0.1362,nan,nan,8.0,1.7023104,0.0
988552445,nan,nan,nan,0.0009727682,-0.0010112621,0.42675465,-0.08226202,0.08551725,0.16968,nan,nan,8.0,1.702272,0.0
988750254,nan,nan,nan,0.00086113333,-0.0009920821,0.44279352,-0.075882025,0.087421075,0.166912,nan,nan,8.0,1.7021528,0.0
988948085,nan,nan,nan,0.0017078518,-0.0013887892,0.45933008,-0.08455397,0.068757504,0.080928,nan,nan,8.0,1.702215,0.0
989152324,nan,nan,nan,0.0005066835,-0.00021899218,0.022174582,-0.08483756,0.036667395,0.157824,nan,nan,8.0,1.7032708,0.0
989352335,nan,nan,nan,0.00019415695,-0.00030134222,0.038288854,-0.040862504,0.06342082,0.129784,nan,nan,8.0,1.7032039,0.0
989556487,-0.010138518,-0.32320285,nan,1.5186612e-05,-2.8830837e-05,0.055016924,-0.040851768,0.077554666,0.191944,nan,nan,8.0,1.7030896,0.0
989752575,nan,nan,nan,0.00023809873,-0.00039768044,0.07045724,-0.046476323,0.07762629,0.160176,nan,nan,8.0,1.7031305,0.0
989952587,nan,nan,nan,0.0003777903,-0.0003530305,0.086459845,-0.06723118,0.06282496,0.159608,nan,nan,8.0,1.7030048,0.0
990152726,-0.009902424,-0.32309535,nan,0.0002578661,-0.00010652491,0.08201436,-0.07755154,0.0320367,-0.15992,nan,nan,-8.0,1.702999,0.0
990352754,nan,nan,nan,0.00079745636,-0.00013259792,0.06590485,-0.09913165,0.016483221,-0.159016,nan,nan,-8.0,1.7029536,0.0
990556631,-0.009615022,-0.32263085,nan,0.00017069257,-1.3373734e-05,0.04912533,-0.090928875,0.0071242694,-0.187704,nan,nan,-8.0,1.70295,0.0
990752973,nan,nan,-0.18883571,0.0007649113,6.1426865e-05,0.0336501,-0.09981084,-0.0080154,-0.16124,nan,nan,-8.0,1.7028308,0.0
990953246,nan,nan,-0.18874265,0.0009529034,0.0002395474,0.017606119,-0.10284266,-0.025853287,-0.161552,nan,nan,-8.0,1.702779,0.0
991153133,nan,nan,nan,0.00034268317,0.00011711975,0.0016236476,-0.08269314,-0.028262245,-0.161064,nan,nan,-8.0,1.702696,0.0
991353177,-0.009770302,-0.3220398,nan,0.0,0.0,-0.014385246,0.0,0.0,-0.160952,nan,nan,-8.0,1.7027118,0.0
991553246,-0.009770302,-0.3220398,nan,0.0,0.0,-0.20669895,0.0,0.0,-1.7615119,nan,nan,-8.0,1.7027118,0.0
991753371,-0.009770302,-0.3220398,nan,0.0,0.0,-0.5601239,0.0,0.0,-1.1629367,nan,nan,8.0,1.7027118,0.0
991953250,-0.009770302,-0.3220398,nan,0.0,0.0,-0.67657846,0.0,0.0,0.19124445,nan,nan,8.0,1.7027118,0.0
992153675,-0.009770302,-0.3220398,nan,0.0,0.0,-0.6640635,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
992353729,-0.009770302,-0.3220398,nan,0.0,0.0,-0.64465034,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
992553523,-0.009770302,-0.3220398,nan,0.0,0.0,-0.6354541,0.0,0.0,0.077455774,nan,nan,-8.0,1.7027118,0.0
992753682,-0.009770302,-0.3220398,nan,0.0,0.0,-0.62598574,0.0,0.0,0.22298868,nan,nan,8.0,1.7027118,0.0
992953877,-0.009770302,-0.3220398,nan,0.0,0.0,-0.6225906,0.0,0.0,-0.06456925,nan,nan,-8.0,1.7027118,0.0
993154094,-0.009770302,-0.3220398,nan,0.0,0.0,-0.62445,0.0,0.0,-0.19831973,nan,nan,-8.0,1.7027118,0.0
993354094,-0.009770302,-0.3220398,nan,0.0,0.0,-0.6251185,0.0,0.0,-0.24864715,nan,nan,-8.0,1.7027118,0.0
993554023,-0.009770302,-0.3220398,nan,0.0,0.0,-0.62088895,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
993754217,-0.009770302,-0.3220398,nan,0.0,0.0,-0.6164712,0.0,0.0,0.06552976,nan,nan,-8.0,1.7027118,0.0
993954180,-0.009770302,-0.3220398,nan,0.0,0.0,-0.61397064,0.0,0.0,0.22908188,nan,nan,8.0,1.7027118,0.0
994154211,-0.009770302,-0.3220398,nan,0.0,0.0,-0.49587333,0.0,0.0,0.19871444,nan,nan,-8.0,1.7027118,0.0
994354322,-0.009770302,-0.3220398,nan,0.0,0.0,-0.4935292,0.0,0.0,0.04450275,nan,nan,-8.0,1.7027118,0.0
994554334,-0.009770302,-0.3220398,nan,0.0,0.0,-0.5177206,0.0,0.0,-0.2806989,nan,nan,8.0,1.7027118,0.0
994758065,-0.009770302,-0.3220398,nan,0.0,0.0,-0.51936704,0.0,0.0,-0.024071991,nan,nan,-8.0,1.7027118,0.0
994954521,-0.009770302,-0.3220398,nan,0.0,0.0,-0.5218836,0.0,0.0,0.110379875,nan,nan,8.0,1.7027118,0.0
995154732,-0.009770302,-0.3220398,nan,0.0,0.0,-0.52263254,0.0,0.0,-0.014219955,nan,nan,8.0,1.7027118,0.0
995354579,-0.009770302,-0.3220398,nan,0.0,0.0,-0.5199942,0.0,0.0,-0.15916,nan,nan,-8.0,1.7027118,0.0
995554614,-0.009770302,-0.3220398,nan,0.0,0.0,-0.51606333,0.0,0.0,0.20494744,nan,nan,8.0,1.7027118,0.0
995754730,-0.009770302,-0.3220398,nan,0.0,0.0,-0.33905175,0.0,0.0,0.92612994,nan,nan,-8.0,1.7027118,0.0
995948648,-0.009770302,-0.3220398,nan,0.0,0.0,-0.30834553,0.0,0.0,-0.40396622,nan,nan,8.0,1.7027118,0.0
996154974,-0.009770302,-0.3220398,nan,0.0,0.0,-0.3185448,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
996354945,-0.009770302,-0.3220398,nan,0.0,0.0,-0.24048342,0.0,0.0,0.69168836,nan,nan,-8.0,1.7027118,0.0
996555084,-0.009770302,-0.3220398,nan,0.0,0.0,-0.17808871,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
996755006,-0.009770302,-0.3220398,nan,0.0,0.0,-0.14707796,0.0,0.0,0.52826667,nan,nan,-8.0,1.7027118,0.0
996955113,-0.009770302,-0.3220398,nan,0.0,0.0,-0.06869224,0.0,0.0,0.8380467,nan,nan,8.0,1.7027118,0.0
997155154,-0.009770302,-0.3220398,nan,0.0,0.0,-0.0039534727,0.0,0.0,-0.157896,nan,nan,-8.0,1.7027118,0.0
997359096,-0.009770302,-0.3220398,nan,0.0,0.0,-0.007718427,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
997555332,-0.009770302,-0.3220398,nan,0.0,0.0,-0.01566522,0.0,0.0,-0.025547728,nan,nan,8.0,1.7027118,0.0
997755306,-0.009770302,-0.3220398,nan,0.0,0.0,-0.025801433,0.0,0.0,-0.0950771,nan,nan,8.0,1.7027118,0.0
997955487,-0.009770302,-0.3220398,nan,0.0,0.0,-0.066570655,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
998155635,-0.009770302,-0.3220398,nan,0.0,0.0,-0.066570655,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
998355550,-0.009770302,-0.3220398,nan,0.0,0.0,-0.06582285,0.0,0.0,-0.109384105,nan,nan,8.0,1.7027118,0.0
998549494,-0.009770302,-0.3220398,nan,0.0,0.0,-0.066570655,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
998755776,-0.009770302,-0.3220398,nan,0.0,0.0,-0.081054956,0.0,0.0,-0.31942397,nan,nan,-8.0,1.7027118,0.0
998955903,-0.009770302,-0.3220398,nan,0.0,0.0,-0.1003598,0.0,0.0,0.1367987,nan,nan,-8.0,1.7027118,0.0
999155792,-0.009770302,-0.3220398,nan,0.0,0.0,-0.099190176,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
999356022,-0.009770302,-0.3220398,nan,0.0,0.0,-0.099190176,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
999556079,-0.009770302,-0.3220398,nan,0.0,0.0,-0.099190176,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
999756108,-0.009770302,-0.3220398,nan,0.0,0.0,-0.099190176,0.0,0.0,0.0,nan,nan,0.0,1.7027118,0.0
