timestamp,nav_state,failure
986916493,2,0
987416548,2,0
987916803,2,0
988437703,2,0
988938178,2,0
989442645,2,0
989952745,2,0
990463062,2,0
990963140,2,0
991473649,2,0
991983747,2,0
992533931,2,0
993043973,2,0
993554648,2,0
994104504,2,0
994614712,2,0
995124700,2,0
995624842,2,0
996135065,2,0
996638870,2,0
997145553,2,0
997655388,2,0
998165790,2,0
998665907,2,0
999175930,2,0
999680287,2,0
1000187452,2,0
1000696227,2,0
1001199752,2,0
1001705446,2,0
1002222901,2,0
1002770408,2,0
1003278696,2,0
1003782968,2,0
1004291370,2,0
1004798121,2,0
1005304120,2,0
1005811120,2,0
1006317249,2,0
1006823120,2,0
1007330111,2,0
1007833064,2,0
1008346138,2,0
1008853267,2,0
1009354935,2,0
1009860589,2,0
1010370135,2,0
1010881302,2,0
1011385673,2,0
1011891415,2,0
1012402964,2,0
1012908182,2,0
1013415125,2,0
1013921490,2,0
1014428287,2,0
1014935246,2,0
1015442353,2,0
1015948162,2,0
1016449002,2,0
1016959063,2,0
1017467370,2,0
1017971230,2,0
1018085422,23,0
1018588321,23,0
1019092008,23,0
1019604115,23,0
1020111324,23,0
1020617203,23,0
1021121222,23,0
1021630721,23,0
1022131933,23,0
1022638893,23,0
1023148297,23,0
1023652976,23,0
1024161170,23,0
1024667664,23,0
1025173679,23,0
1025680189,23,0
1026185907,23,0
1026688003,23,0
1027196378,23,0
1027704998,23,0
1028212140,23,0
1028718265,23,0
1029219653,23,0
1029728216,23,0
1030236261,23,0
1030738964,23,0
1031248975,23,0
1031757212,23,0
1032259816,23,0
1032768077,23,0
1033279135,23,0
1033785824,23,0
1034292115,23,0
1034798145,23,0
1035304291,23,0
1035810432,23,0
1036312063,23,0
1036823017,23,0
1037331985,23,0
1037837297,23,0
1038343248,23,0
1038843345,23,0
1039351896,23,0
1039862396,23,0
1040369330,23,0
1040875116,23,0
1041381156,23,0
1041884278,23,0
1042395269,23,0
1042901135,23,0
1043407115,23,0
1043913129,23,0
1044414564,23,0
1044922689,23,0
1045429489,23,0
1045934691,23,0
1046443258,23,0
1046948435,23,0
1047458336,23,0
1047964130,23,0
1048464714,23,0
1048973203,23,0
1049483115,23,0
1049989599,23,0
1050495230,23,0
1051002341,23,0
1051507882,23,0
1052009824,23,0
1052515276,23,0
1053028323,23,0
1053534115,23,0
1054039228,23,0
1054546190,23,0
1055053147,23,0
1055553499,23,0
1056065176,23,0
1056565685,23,0
1057078154,23,0
1057584175,23,0
1058091661,23,0
1058598134,23,0
1059104134,23,0
1059610030,23,0
1060118324,23,0
1060621835,23,0
1061126156,23,0
1061638319,23,0
1062146020,23,0
1062647841,23,0
1063153265,23,0
1063663120,23,0
1064165657,23,0
1064677133,23,0
1065180639,23,0
1065684468,23,0
1066191822,23,0
1066703316,23,0
1067206578,23,0
1067710389,23,0
1068220691,23,0
1068722510,23,0
1069232648,23,0
1069736462,23,0
1070247816,23,0
1070754151,23,0
1071255517,23,0
1071762323,23,0
1072274115,23,0
1072781170,23,0
1073285686,23,0
1073796114,23,0
1074303133,23,0
1074806162,23,0
1075316152,23,0
1075824213,23,0
1076327014,23,0
1076838132,23,0
1077345174,23,0
1077846087,23,0
1078354549,23,0
1078867142,23,0
1079374114,23,0
1079879580,23,0
1080383700,23,0
1080893129,23,0
1081401770,23,0
1081908127,23,0
1082416223,23,0
1082923156,23,0
1083430577,23,0
1083935756,23,0
1084443150,23,0
1084949728,23,0
1085455115,23,0
1085959212,23,0
1086469712,23,0
1086975685,23,0
1087484114,23,0
1087989209,23,0
1088496135,23,0
1089003161,23,0
1089505164,23,0
1090015153,23,0
1090518153,23,0
1091027163,23,0
1091534153,23,0
1092039074,23,0
1092545890,23,0
1093053156,23,0
1093558190,23,0
1094066391,23,0
1094573195,23,0
1095079134,23,0
1095586114,23,0
1096092833,23,0
1096596110,23,0
1097108115,23,0
1097616136,23,0
1098121403,23,0
1098625250,23,0
1099137154,23,0
1099644724,23,0
1100150417,23,0
1100655242,23,0
1100701672,2,0
1101207576,2,0
1101715995,2,0
1102221238,2,0
1102729135,2,0
1103235120,2,0
1103740135,2,0
1104242658,2,0
1104753599,2,0
1105259120,2,0
1105761817,2,0
1106265352,2,0
1106777158,2,0
1107283547,2,0
1107789152,2,0
1108086320,23,0
1108163383,15,0
1108669157,15,0
1109175119,15,0
1109681229,15,0
1110190006,15,0
1110697336,15,0
1111211805,15,0
1111727635,15,0
