timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
986957952,0.0,0.6591001,0.0,0.0,0.75205517,0.0,0.0,-0.001,0,0
986968794,0.0,0.65907574,0.0,0.0,0.75207657,0.0,0.0,-0.001,0,0
987009861,0.0,0.65913194,0.0,0.0,0.7520274,0.0,0.0,-0.001,0,0
987062138,0.0,0.65910065,0.0,0.0,0.75205475,0.0,0.0,-0.001,0,0
987114730,0.0,0.6591308,0.0,0.0,0.75202835,0.0,0.0,-0.001,0,0
987166180,0.0,0.65914446,0.0,0.0,0.75201637,0.0,0.0,-0.001,0,0
987207887,0.0,0.65912217,0.0,0.0,0.7520359,0.0,0.0,-0.001,0,0
987260058,0.0,0.65913224,0.0,0.0,0.75202703,0.0,0.0,-0.001,0,0
987312358,0.0,0.65914845,0.0,0.0,0.75201285,0.0,0.0,-0.001,0,0
987364311,0.0,0.6591265,0.0,0.0,0.75203216,0.0,0.0,-0.001,0,0
987405879,0.0,0.6591692,0.0,0.0,0.75199467,0.0,0.0,-0.001,0,0
987458349,0.0,0.6591323,0.0,0.0,0.7520271,0.0,0.0,-0.001,0,0
987510224,0.0,0.6591137,0.0,0.0,0.75204337,0.0,0.0,-0.001,0,0
987562187,0.0,0.6591447,0.0,0.0,0.7520162,0.0,0.0,-0.001,0,0
987618255,0.0,0.65912527,0.0,0.0,0.7520333,0.0,0.0,-0.001,0,0
987666555,0.0,0.65910065,0.0,0.0,0.75205475,0.0,0.0,-0.001,0,0
987712302,0.0,0.6591145,0.0,0.0,0.7520426,0.0,0.0,-0.001,0,0
987760238,0.0,0.6590846,0.0,0.0,0.7520688,0.0,0.0,-0.001,0,0
987812586,0.0,0.659109,0.0,0.0,0.7520474,0.0,0.0,-0.001,0,0
987864466,0.0,0.6591096,0.0,0.0,0.7520469,0.0,0.0,-0.001,0,0
987906104,0.0,0.6590963,0.0,0.0,0.75205857,0.0,0.0,-0.001,0,0
987962200,0.0,0.6591257,0.0,0.0,0.7520328,0.0,0.0,-0.001,0,0
