timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
998075658,989052651,3,3670026,6815762,3670026,589834,0.5132277,0.50939155,2.0,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
999075761,989052651,3,3670026,6815762,3670026,589834,0.54255116,0.51062495,2.0,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000076134,989052651,3,3670026,6815762,3670026,589834,0.7009574,0.5054437,2.0,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000116217,989052651,3,3670026,6815762,3670026,589834,0.70560604,0.50533503,2.0,nan,nan,nan,nan,nan,nan,0.0,0.799729,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000126428,989052651,3,3670026,6815762,3670026,589834,0.7070955,0.50533503,2.0,nan,nan,nan,nan,nan,nan,0.0,0.5979685,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000136006,989052651,3,3670026,6815762,3670026,589834,0.7070955,0.50524855,2.0,nan,nan,nan,nan,nan,nan,0.0,0.39612156,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000146340,989052651,3,3670026,6815762,3670026,589834,0.7087784,0.5051813,2.0,nan,nan,nan,nan,nan,nan,0.0,0.1925245,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000156210,989052651,3,3670026,6815762,3670026,589834,0.7102648,0.5051813,2.0,nan,nan,nan,nan,nan,nan,0.0,-0.012558997,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000166173,989052651,3,3670026,6815762,3670026,589834,0.7117264,0.5051813,2.0,nan,nan,nan,nan,nan,nan,0.0,-0.21910411,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
1000176127,989052651,3,3670026,6815762,3670026,589834,0.7117264,0.50512886,2.0,nan,nan,nan,nan,nan,nan,0.0,-0.42570168,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
