timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
987438757,4.853723,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
987939047,4.898135,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
988438756,4.8327756,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
988938765,4.901056,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
989438757,4.833884,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
989938757,4.90448,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
990438756,4.8690305,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
990938836,4.8808136,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
991438758,4.898135,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
991938759,4.8832307,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
992438774,4.8976316,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
992939240,4.8988404,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
993438758,4.893704,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
993939169,4.8962216,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
994439324,4.9000487,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
994938760,4.892697,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
995438766,4.900351,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
995938757,4.8776917,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
996438757,4.876886,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
996938771,4.873361,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
997438756,4.8739653,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
997938844,4.881015,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
998438757,4.8618803,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
998938757,4.8883667,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
999438758,4.8887696,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
999938757,4.8880644,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1000438758,4.8906827,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1000938826,4.8722534,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1001438757,4.9062924,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1001938758,4.8734617,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1002438775,4.8726563,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1002938756,4.8671174,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1003438757,4.8549314,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1003938757,4.875073,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1004438758,4.8661103,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1004938757,4.875476,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1005438757,4.893805,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1005938757,4.88464,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1006438768,4.8832307,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1006938825,4.88464,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1007438776,4.894107,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1007938853,4.865808,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1008438758,4.884238,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1008938757,4.878296,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1009438866,4.8621826,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1009938758,4.8655057,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1010438758,4.863794,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1010939239,4.861377,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1011438758,4.878094,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1011939129,4.882425,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1012438935,4.886554,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1012940009,4.8818207,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1013439100,4.883734,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1013939152,4.8808136,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1014439173,4.8839355,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1014938802,4.8687286,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1015438770,4.874368,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1015939063,4.8742676,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1016438758,4.858456,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1016938978,4.8725553,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1017438757,4.8856473,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1017938758,4.880713,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1018438757,4.8767853,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1018938756,4.8777924,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1019438776,4.879907,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1019938758,4.884842,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1020438757,4.8691316,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
1020938796,4.863995,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
