timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
986131074,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
987133982,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
988141952,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
989145759,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
990152879,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
991165177,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
992169957,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
993177675,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
994185856,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
995187965,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
996197446,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
997206624,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
998208772,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
999215124,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1000223136,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1001229799,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1002242183,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1003248575,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1004250588,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1005264272,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1006269409,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1007276062,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1008280641,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1009285445,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1010293349,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1011303113,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1012309631,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1013315537,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1014317386,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1015323768,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1016325421,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1017333246,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1018341332,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1019347426,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1020353917,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1021363151,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1022370823,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1023378823,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1024391153,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1025402077,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1026408214,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1027419064,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1028425397,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1029436050,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1030442604,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1031459120,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1032461415,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1033473070,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1034474895,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1035481429,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1036487304,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1037489076,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1038493980,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1039500158,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1040507869,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1041514212,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1042524905,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1043531577,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1044537389,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1045548445,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1046551621,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1047559126,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1048563948,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1049570038,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1050574778,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1051581654,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1052590086,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1053596382,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1054608631,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1055613404,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1056621312,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1057627086,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1058637870,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1059645837,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1060647410,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1061653392,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1062658314,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1063667536,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1064669246,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1065670862,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1066678595,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1067680687,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1068684832,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1069686616,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1070697561,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1071698843,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1072705147,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1073711142,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1074713016,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1075724068,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1076726686,933628179,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
