timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
986962227,0.006979175,0.0015012127,0.009793647,5143,0,0.025027225,0.6391388,-9.935564,5143,0,0,2,1
986967466,-0.01520919,-0.0046451017,0.0040255133,5239,0,-0.052467354,0.5567119,-9.935446,5239,0,0,2,1
986972715,0.004508995,0.001367839,0.0014589231,5249,0,-0.17779802,0.5406758,-9.836913,5249,0,0,2,1
986977854,0.0072165728,0.005259561,-0.000472666,5139,0,-0.098523155,0.57613313,-9.838741,5139,0,0,2,1
986983096,0.004221894,-0.02123444,-0.0067155426,5242,0,-0.06376209,0.4852532,-9.992408,5242,0,0,2,1
986988345,0.0054496103,0.007570389,-0.004159791,5249,0,-0.0752351,0.60293263,-9.752819,5249,0,0,2,1
986993484,-0.0021553664,0.000933473,-0.0055967243,5139,0,-0.104212895,0.6010988,-9.857897,5139,0,0,2,1
986998793,0.005899912,-0.007229173,-0.0004309863,5309,0,-0.08384901,0.49467346,-9.955688,5309,0,0,2,1
987003939,0.008184441,0.0010735383,-0.0057375594,5146,0,-0.00089109543,0.706203,-10.023507,5146,0,0,2,1
987009177,0.0035591016,-0.010423572,-0.0023776754,5238,0,-0.03598259,0.64357466,-9.776316,5238,0,0,2,1
987014320,-0.0014788322,0.016246052,0.0034705705,5143,0,-0.12353615,0.5390162,-9.95366,5143,0,0,2,1
987019606,0.015997697,-0.009281994,0.0043249377,5286,0,-0.08800135,0.5834808,-9.903616,5286,0,0,2,1
987024746,0.0005793432,-0.005623422,0.008459103,5140,0,0.017463548,0.5455386,-9.932033,5140,0,0,2,1
987029985,-0.0033390475,0.0010002973,-0.0005466672,5239,0,-0.062076967,0.66926605,-9.931845,5239,0,0,2,1
987035222,0.008900987,-0.0026075647,0.0010511617,5237,0,-0.05742926,0.58082455,-9.872576,5237,0,0,2,1
987040365,0.0074290484,0.0017267446,0.0042162417,5143,0,-0.13138959,0.46896505,-9.862061,5143,0,0,2,1
987045602,0.0035918748,-0.017251229,0.004412866,5237,0,-0.018043926,0.51287603,-9.854707,5237,0,0,2,1
987050874,-0.006098189,0.006837993,0.0059123677,5272,0,-0.032726984,0.57875067,-9.947069,5272,0,0,2,1
987056014,0.00070816744,-0.0035613824,-0.0027557444,5140,0,-0.24532668,0.51299626,-9.951395,5140,0,0,2,1
987061255,0.011752693,-0.010529389,-0.006286059,5241,0,-0.04007419,0.5615165,-9.928921,5241,0,0,2,1
987066487,0.00512721,0.0030755168,-0.0063965367,5232,0,-0.051304698,0.5732095,-9.79931,5232,0,0,2,1
987071628,0.0024907214,-0.013114444,-0.0030201266,5141,0,0.030086195,0.59951234,-9.928597,5141,0,0,2,1
987076872,6.680749e-05,0.020443719,-0.0030575597,5244,0,-0.062472377,0.6616916,-9.967318,5244,0,0,2,1
987082134,0.013593653,-0.020622633,-0.010806699,5262,0,-0.16838048,0.40679798,-9.856468,5262,0,0,2,1
987087275,-0.00030568056,-0.008227757,-0.00063180015,5141,0,0.093604274,0.6537288,-9.879289,5141,0,0,2,1
987092518,-0.0004813401,0.0045319702,-0.007180202,5243,0,-0.05631212,0.52081203,-9.958621,5243,0,0,2,1
987097755,0.0036498925,-0.00822721,0.0042356662,5237,0,-0.06286773,0.5300491,-9.791994,5237,0,0,2,1
987102897,0.007219484,0.0057038004,0.008642744,5142,0,-0.09449088,0.58325815,-9.954615,5142,0,0,2,1
987108094,-0.0014163591,-0.021147935,0.00396023,5197,0,-0.111363605,0.54298943,-9.925736,5197,0,0,2,1
987113397,-0.003438677,0.003333902,0.0047389963,5303,0,0.021427227,0.7458392,-9.990957,5303,0,0,2,1
987118544,0.006121214,0.0019076382,-0.00077611156,5147,0,-0.21215078,0.4798006,-9.949583,5147,0,0,2,1
987123783,0.003940882,-0.012366887,0.0036882847,5239,0,-0.025066746,0.4114395,-9.9384775,5239,0,0,2,1
987128925,-0.0044603897,0.0037164984,0.003191699,5142,0,-0.117591515,0.62922657,-10.001891,5142,0,0,2,1
987134165,-0.0012937168,-0.0038163112,-0.004532401,5240,0,-0.01016817,0.50686187,-9.834552,5240,0,0,2,1
987139396,-0.00083617587,0.009872862,0.0008096753,5231,0,-0.13573897,0.6374299,-9.948525,5231,0,0,2,1
987144657,0.013738606,-0.013404775,-0.0034428677,5261,0,-0.07408556,0.4207629,-9.937877,5261,0,0,2,1
987149798,0.0019789375,-0.0024206871,-0.0033846395,5141,0,0.0744076,0.5151708,-9.983024,5141,0,0,2,1
987155034,-0.0017390698,0.008507618,0.00064450386,5236,0,-0.23310435,0.66771305,-9.901634,5236,0,0,2,1
987160279,0.0067118504,-0.010478626,0.0015576549,5245,0,0.0019253603,0.4813591,-9.936444,5245,0,0,2,1
987165420,0.0030723677,0.005736426,0.0020574727,5141,0,-0.12798469,0.5654948,-9.95344,5141,0,0,2,1
987170658,-0.0035760114,-0.022049474,0.0017245976,5238,0,0.03033054,0.5448679,-9.876929,5238,0,0,2,1
