timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
986707653,0,1,1,1,1,1,1,0,0,0,1,1
987712316,0,1,1,1,1,1,1,0,0,0,1,1
988712780,0,1,1,1,1,1,1,0,0,0,1,1
989053295,0,1,1,1,0,0,1,0,0,0,1,1
990062625,0,1,1,1,0,0,1,0,0,0,1,1
991063201,0,1,1,1,0,0,1,0,0,0,1,1
991333108,0,1,1,1,1,0,1,0,0,0,1,1
992013512,0,1,1,1,1,0,1,0,0,0,1,0
992133616,0,1,0,0,1,0,1,0,0,0,1,0
992143772,0,0,0,0,1,0,1,0,0,0,1,0
993143892,0,0,0,0,1,0,0,0,0,0,1,0
994144334,0,0,0,0,1,0,0,0,0,0,1,0
994334522,0,0,0,0,0,0,0,0,0,0,1,0
995334800,0,0,0,0,0,0,0,0,0,0,1,0
996334934,0,0,0,0,0,0,0,0,0,0,1,0
997335257,0,0,0,0,0,0,0,0,0,0,1,0
998335734,0,0,0,0,0,0,0,0,0,0,1,0
999335918,0,0,0,0,0,0,0,0,0,0,1,0
1000345489,0,0,0,0,0,0,0,0,0,0,1,0
1001345654,0,0,0,0,0,0,0,0,0,0,1,0
1002346072,0,0,0,0,0,0,0,0,0,0,1,0
1003358739,0,0,0,0,0,0,0,0,0,0,1,0
1004360295,0,0,0,0,0,0,0,0,0,0,1,0
1005366918,0,0,0,0,0,0,0,0,0,0,1,0
1006368774,0,0,0,0,0,0,0,0,0,0,1,0
1007369242,0,0,0,0,0,0,0,0,0,0,1,0
1008375547,0,0,0,0,0,0,0,0,0,0,1,0
1009384869,0,0,0,0,0,0,0,0,0,0,1,0
1010394460,0,0,0,0,0,0,0,0,0,0,1,0
1011394819,0,0,0,0,0,0,0,0,0,0,1,0
1012402860,0,0,0,0,0,0,0,0,0,0,1,0
1013403201,0,0,0,0,0,0,0,0,0,0,1,0
1014410362,0,0,0,0,0,0,0,0,0,0,1,0
1015415603,0,0,0,0,0,0,0,0,0,0,1,0
1016415814,0,0,0,0,0,0,0,0,0,0,1,0
1017419853,0,0,0,0,0,0,0,0,0,0,1,0
1018425372,0,0,0,0,0,0,0,0,0,0,1,0
1019427403,0,0,0,0,0,0,0,0,0,0,1,0
1020434009,0,0,0,0,0,0,0,0,0,0,1,0
1021436959,0,0,0,0,0,0,0,0,0,0,1,0
1022447820,0,0,0,0,0,0,0,0,0,0,1,0
1023452625,0,0,0,0,0,0,0,0,0,0,1,0
1024454284,0,0,0,0,0,0,0,0,0,0,1,0
1025454702,0,0,0,0,0,0,0,0,0,0,1,0
1026465330,0,0,0,0,0,0,0,0,0,0,1,0
1027468684,0,0,0,0,0,0,0,0,0,0,1,0
1028469005,0,0,0,0,0,0,0,0,0,0,1,0
1029469272,0,0,0,0,0,0,0,0,0,0,1,0
1030472536,0,0,0,0,0,0,0,0,0,0,1,0
1031478593,0,0,0,0,0,0,0,0,0,0,1,0
1032485270,0,0,0,0,0,0,0,0,0,0,1,0
1033489824,0,0,0,0,0,0,0,0,0,0,1,0
1034494849,0,0,0,0,0,0,0,0,0,0,1,0
1035497805,0,0,0,0,0,0,0,0,0,0,1,0
1036504206,0,0,0,0,0,0,0,0,0,0,1,0
1037509060,0,0,0,0,0,0,0,0,0,0,1,0
1038513576,0,0,0,0,0,0,0,0,0,0,1,0
1039513615,0,0,0,0,0,0,0,0,0,0,1,0
1040514099,0,0,0,0,0,0,0,0,0,0,1,0
1041514318,0,0,0,0,0,0,0,0,0,0,1,0
1042518977,0,0,0,0,0,0,0,0,0,0,1,0
1043531708,0,0,0,0,0,0,0,0,0,0,1,0
1044537460,0,0,0,0,0,0,0,0,0,0,1,0
1045542208,0,0,0,0,0,0,0,0,0,0,1,0
1046542645,0,0,0,0,0,0,0,0,0,0,1,0
1047553167,0,0,0,0,0,0,0,0,0,0,1,0
1048557804,0,0,0,0,0,0,0,0,0,0,1,0
1049563908,0,0,0,0,0,0,0,0,0,1,1,0
1050568656,0,0,0,0,0,0,0,0,0,0,1,0
1051581767,0,0,0,0,0,0,0,0,0,0,1,0
1052584314,0,0,0,0,0,0,0,0,0,0,1,0
1053590544,0,0,0,0,0,0,0,0,0,0,1,0
1054595507,0,0,0,0,0,0,0,0,0,0,1,0
1055602945,0,0,0,0,0,0,0,0,0,0,1,0
1056615444,0,0,0,0,0,0,0,0,0,0,1,0
1057616882,0,0,0,0,0,0,0,0,0,0,1,0
1058618538,0,0,0,0,0,0,0,0,0,0,1,0
1059626534,0,0,0,0,0,0,0,0,0,1,1,0
1060627906,0,0,0,0,0,0,0,0,0,0,1,0
1061629524,0,0,0,0,0,0,0,0,0,0,1,0
1062642005,0,0,0,0,0,0,0,0,0,0,1,0
1063650962,0,0,0,0,0,0,0,0,0,0,1,0
1064663202,0,0,0,0,0,0,0,0,0,0,1,0
1065670937,0,0,0,0,0,0,0,0,0,0,1,0
1066678675,0,0,0,0,0,0,0,0,0,0,1,0
1067680759,0,0,0,0,0,0,0,0,0,0,1,0
1068684902,0,0,0,0,0,0,0,0,0,0,1,0
1069686695,0,0,0,0,0,0,0,0,0,0,1,0
1070691414,0,0,0,0,0,0,0,0,0,0,1,0
1071693070,0,0,0,0,0,0,0,0,0,0,1,0
1072694780,0,0,0,0,0,0,0,0,0,0,1,0
1073705686,0,0,0,0,0,0,0,0,0,0,1,0
1074707156,0,0,0,0,0,0,0,0,0,0,1,0
1075710290,0,0,0,0,0,0,0,0,0,0,1,0
1076710439,0,0,0,0,0,0,0,0,0,0,1,0
1077719444,0,0,0,0,0,0,0,0,0,0,1,0
1078722884,0,0,0,0,0,0,0,0,0,1,1,0
1079730317,0,0,0,0,0,0,0,0,0,0,1,0
1080738044,0,0,0,0,0,0,0,0,0,0,1,0
1081738779,0,0,0,0,0,0,0,0,0,0,1,0
