timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
988205334,988205093,0.0017637189,0.0049739964,0.0039605945,0.33758742,0.36864403,0.37953416
988225907,988225670,-0.0020046656,0.0051415553,0.00038223318,0.50566316,0.47440588,0.30349225
988246759,988246523,-0.0020880357,0.0024724752,-0.0065266024,0.42011073,-0.03598615,-0.76662827
988264956,988264719,-0.0014792338,0.006445014,-0.003210391,0.17902555,0.35367662,-0.19019921
988285884,988285646,0.0013517521,0.0038028732,0.005160892,0.37083307,0.34934297,0.4718372
988306632,988306396,0.0008962925,0.003596536,-0.0009002237,0.5142537,0.27794814,-0.022496952
988323588,988323350,-0.00083089364,0.000888397,-0.004402155,-0.33331862,0.49011678,-0.6093215
988345768,988345533,-0.0014849633,0.0054366486,0.0026168341,0.25884643,0.8782533,-0.11065822
988366647,988366410,-0.0032691883,0.005667966,0.0045649135,0.18821186,0.6246373,0.3226838
988387439,988387203,-0.004032928,0.0055357963,-0.00037687493,0.36944836,0.5822871,0.30485862
988404378,988404143,-0.0036544898,0.0050313557,-0.0025183316,-0.39445418,0.6590138,-0.39079425
988425160,988424925,-0.0028157388,0.0014329322,0.004831515,-0.23736177,0.3268361,0.23861165
988446031,988445796,-0.0051625636,0.005050853,0.0035164128,-0.43205544,0.74631524,0.33209863
988464283,988464047,-0.0039422926,9.4142975e-05,-0.006059412,-0.89779985,0.14062074,-0.5817124
988485149,988484912,-0.0017367178,0.002017678,-0.00749897,-0.22673815,0.8924669,-0.6176826
988505983,988505746,-0.0028133406,0.0019993952,0.0018773357,-0.44377014,0.40622795,0.007926627
988526785,988526549,-0.004767959,0.0038872878,0.0036578027,-0.28771383,0.47059065,0.2912603
988545061,988544823,-0.0035554867,0.00284226,-0.003146603,-0.7398615,0.44449487,-0.30563098
988565884,988565649,-0.0039138235,-0.0008430169,-0.0035895414,-0.54088485,0.5050261,-0.41837198
988586734,988586499,-0.004282413,-0.002078582,0.0020577605,-0.6143776,0.25391173,-0.14450458
988603668,988603431,-0.0007883494,0.00063579204,-0.0012079366,-0.5254837,0.21346301,0.07463907
988625809,988625570,-0.002581814,-0.0012021521,-0.007379075,-0.6033735,0.38556132,-0.18173449
988646764,988646526,-0.0054157684,-0.00074696774,0.0011623049,-0.70254064,0.49937442,0.050048918
988667454,988667214,-0.0061891777,-0.0020681582,0.0038873195,-0.7328136,0.026935471,-0.30006173
988684426,988684189,0.00017890637,-0.000737885,-5.2437303e-05,-0.45737785,-0.040469415,0.07213193
988705202,988704966,0.0028472722,-0.0022900188,-0.0072356197,0.20799008,0.048422135,-0.112039626
988726109,988725871,-0.0025168306,-0.0035527654,-0.001088553,-0.7875537,-0.24247839,-0.17307568
988744298,988744061,-0.0019624785,-0.004263253,0.0046749557,-0.47777668,-0.67968935,0.43621862
988765160,988764923,0.0016054965,-0.0014770443,0.0007656714,0.012113917,-0.26124176,0.16358642
988786034,988785796,0.0026118315,-0.0051413896,-0.003894162,0.103274494,-0.185119,-0.3273699
988806825,988806590,-0.0018390336,-0.005785277,-0.0015826513,-0.7529718,-0.48679236,-0.0664713
988825062,988824824,0.0031241581,-0.0049369456,0.0059089162,-0.15067509,-0.75884295,0.6810306
988845879,988845641,0.002630533,-0.0029094915,0.00039117032,0.4114683,-0.18531753,-0.087319344
988866848,988866612,-0.0013239502,-0.007341711,-0.009332553,0.023885317,-0.8354946,-0.6860888
988883733,988883496,0.0027270534,-0.0011153298,0.0011787559,0.22477314,-0.8646682,0.6382398
988904501,988904266,0.0045607807,-0.0010517461,0.0059790895,0.39648885,-0.63969004,0.36484355
988926634,988926398,0.007991731,0.0008776111,0.0014269252,0.55100155,-0.15063582,-0.10046302
988947489,988947249,0.0016656355,-0.0066485973,-0.002331925,0.24500437,-0.80378693,-0.18482739
988964458,988964222,0.0032665865,-0.0037747158,-0.0020346583,0.30005068,-0.86800873,0.11951853
988985311,988985073,0.004630609,-0.0011585837,0.004332733,0.55309623,-0.28430375,0.33415487
989006134,989005894,0.0038953917,-0.0038223045,0.00094864017,0.57975197,-0.4980591,0.0037710508
989024416,989024177,1.6306527e-05,0.00039098808,-0.004922498,0.4503775,-0.2950465,-0.26054963
989045177,989044939,0.0055225687,-0.0018313162,0.0012137342,0.6056581,-0.834298,0.38699105
989066699,989066472,0.0006483393,0.0022637062,0.0017789743,-0.050302103,-0.0860819,0.2813776
989086706,989086480,0.00052043796,-0.00041877286,-0.0022711242,0.15677707,0.16327624,-0.23635598
989104216,989103987,-0.0005438924,-0.0034381552,-0.0024813972,-0.29829606,-0.27797708,0.15871117
989125472,989125246,-0.00048206188,-0.0026100539,0.0030126767,-0.118342824,-0.26251212,0.35058093
989146730,989146504,-2.5128946e-05,0.00044024648,-0.0012987106,0.17193682,0.126739,-0.3462119
989164238,989164011,-0.0008507194,-0.000585393,-0.002134934,0.012230553,0.070267424,-0.1164899
989185496,989185270,-0.00085830316,-0.0013799192,0.000103646074,-0.18592022,-0.36905393,0.07381394
989205628,989205278,0.0013688672,0.0026883222,0.0010303856,-0.012670063,-0.17615928,0.12656754
989226761,989226537,0.0010263594,0.0042103324,-0.0013825622,0.26692745,0.30076054,-0.09487211
989244270,989244044,-0.0014819326,-0.0014962461,-0.0011776293,-0.06478041,-0.1849913,-0.13334815
989265613,989265303,-0.001621237,-0.0029410021,0.0027448433,-0.18303731,-0.32070583,0.29875332
989286789,989286561,-0.00015227403,0.00035006186,0.0012353818,-0.03828535,-0.018367086,0.3324584
989304297,989304068,0.0019661193,0.0001902972,-0.0023435457,0.44311872,0.3947559,-0.28048113
989325551,989325327,-0.002711012,-0.00029095815,-0.00096683844,-0.15294683,0.052828018,-0.22164878
989346816,989346586,-0.0023106253,-0.00064707914,0.0026259292,-0.33506522,-0.35114214,0.23697706
989364519,989364093,0.0015966063,0.0033267178,4.9609807e-05,0.13634278,0.35126165,0.3742155
