timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1007097491,1007097225,3670026,3670026,-3.991481e-05,-0.00035976683,-0.00032340444,0.004438719,-0.006027704,-0.04808844,5001,5001,0,0,1,1
1007597601,1007597335,3670026,3670026,-0.00030775223,0.00013600188,0.0003210229,0.009206237,0.005532751,-0.060929593,5001,5001,0,0,1,1
1008097711,1008097442,3670026,3670026,-3.2437925e-05,7.0834205e-05,0.00023073654,0.006074479,0.009680313,-0.047958728,5001,5001,0,0,1,1
1008592815,1008592546,3670026,3670026,0.00030173257,0.00064746046,0.00012123679,0.0091479225,-0.0023748912,-0.04685071,5001,5001,0,0,1,1
1009097924,1009097650,3670026,3670026,5.3782398e-05,8.5871674e-05,-7.620138e-05,0.0036799794,0.002378717,-0.04324445,5001,5001,0,0,1,1
1009593010,1009592749,3670026,3670026,-0.00021334727,-4.318778e-05,0.00018772647,-0.0024123597,0.016567579,-0.060573146,5001,5001,0,0,1,1
1010098129,1010097848,3670026,3670026,-1.2224058e-05,9.402421e-05,-4.4481152e-05,0.009168429,0.005673607,-0.050644904,5001,5001,0,0,1,1
1010598207,1010597943,3670026,3670026,-0.00022758618,-0.00040398698,-0.00010380157,-0.00072150026,-0.004063142,-0.051517896,5001,5001,0,0,1,1
1011098301,1011098036,3670026,3670026,0.00027775258,0.00035982757,-0.00018589714,0.008299601,0.004074098,-0.054228313,5001,5001,0,0,1,1
1011598392,1011598127,3670026,3670026,0.00018691832,-0.00014499016,-0.00012518464,0.0023701827,-0.012182901,-0.04095804,5001,5001,0,0,1,1
1012093481,1012093215,3670026,3670026,0.0002018105,-0.0002909891,-0.0005155253,8.973158e-05,-0.0014052861,-0.050080713,5001,5001,0,0,1,1
1012593564,1012593301,3670026,3670026,8.5783046e-05,0.00070842344,8.918588e-05,0.0009498606,0.007841902,-0.061012506,5001,5001,0,0,1,1
1013093679,1013093385,3670026,3670026,-7.144459e-06,3.5004566e-06,2.3671284e-05,0.0051725777,0.009438901,-0.051578388,5001,5001,0,0,1,1
1013593749,1013593466,3670026,3670026,9.2220354e-05,0.00046552895,1.0838643e-05,0.0097373035,-0.0011916766,-0.05827029,5000,5000,0,0,1,1
1014098919,1014098547,3670026,3670026,-0.0003048274,-0.00065087766,-0.00018787432,0.0042071394,-0.013824482,-0.045155153,5001,5001,0,0,1,1
1014598902,1014598624,3670026,3670026,0.000118250806,-0.00020788354,-0.00026020707,0.00479474,-0.0063238894,-0.051859945,4998,4998,0,0,1,1
1015098980,1015098700,3670026,3670026,0.00012340625,-1.6414779e-05,4.881728e-05,0.0058987783,0.0012521319,-0.044679847,5001,5001,0,0,1,1
1015589038,1015588772,3670026,3670026,-1.8903622e-05,-0.00018088335,-0.00026859457,-0.0012366929,-0.0058614,-0.03959639,5001,5001,0,0,1,1
1016094286,1016093843,3670026,3670026,-3.742286e-05,3.217945e-05,0.00019658972,-0.00060066505,0.008847654,-0.06272881,4998,4998,0,0,1,1
1016598096,1016593913,3670026,3670026,0.00011633128,-0.00036571248,-0.00039038056,0.012600962,-0.009495024,-0.04231508,5001,5001,0,0,1,1
1017098122,1017093980,3670026,3670026,0.00012777689,0.00020016856,0.00022253915,-0.0039515155,0.008821211,-0.05548654,5001,5001,0,0,1,1
1017594329,1017594045,3670026,3670026,-6.79578e-05,-3.2625034e-05,0.00038761363,0.002716879,0.00036708819,-0.048901055,5001,5001,0,0,1,1
1018094373,1018094109,3670026,3670026,-9.551571e-05,0.0005511644,-0.0006980112,0.022798663,0.0027481765,-0.049250163,5001,5001,0,0,1,1
1018599637,1018599170,3670026,3670026,0.0004063753,0.00018317194,-0.00035822968,-0.00011282325,-0.0031823798,-0.04783069,5000,5000,0,0,1,1
1019094536,1019094230,3670026,3670026,0.00018997159,-2.3025781e-05,-0.0005966119,0.008175205,-0.010295416,-0.04674367,5001,5001,0,0,1,1
1019594548,1019594288,3670026,3670026,-0.00017128067,-0.0004922853,-0.00017574397,-0.00079093775,-0.017379966,-0.051981684,5001,5001,0,0,1,1
1020094778,1020094345,3670026,3670026,7.803994e-05,-0.00015574622,-2.7933505e-05,-0.0075020655,0.0049777958,-0.039870176,5001,5001,0,0,1,1
1020594708,1020594400,3670026,3670026,0.0001266442,0.00030597893,-0.00012715539,0.00022359984,-0.0054529975,-0.043632988,5001,5001,0,0,1,1
1021094718,1021094453,3670026,3670026,-0.00024824965,0.00024876985,5.2269424e-05,0.019357398,0.00128851,-0.04737934,5001,5001,0,0,1,1
1021594765,1021594504,3670026,3670026,-4.5064306e-05,-6.461291e-05,9.5312855e-05,-0.0077732885,0.0022242519,-0.04496691,5000,5000,0,0,1,1
1022099927,1022099555,3670026,3670026,-0.00013330473,-0.00010342495,-0.00025711354,0.006094824,0.011132476,-0.046216685,5000,5000,0,0,1,1
1022594865,1022594603,3670026,3670026,8.5704385e-05,-0.00012420116,-0.00027563324,-0.0037277264,-0.016544811,-0.046736393,5001,5001,0,0,1,1
1023094921,1023094650,3670026,3670026,-0.00013358057,0.00012900449,-0.00013471245,0.0010235376,-0.00032859333,-0.04787819,5001,5001,0,0,1,1
1023595071,1023594695,3670026,3670026,0.000105095125,-2.9476425e-05,-0.00031693283,0.009826021,-0.007629741,-0.049307633,5001,5001,0,0,1,1
1024095004,1024094738,3670026,3670026,-0.0003180077,-0.00069105177,-0.000373583,-0.0024580632,-0.009759047,-0.052065082,4998,4998,0,0,1,1
1024595045,1024594780,3670026,3670026,0.00011932655,0.0002579165,-5.1072835e-05,0.0037473112,0.0034791115,-0.059892368,5000,5000,0,0,1,1
1025095086,1025094821,3670026,3670026,-0.00016683988,-5.9048707e-05,-0.00020567492,0.014786076,-0.006035686,-0.054594915,5001,5001,0,0,1,1
1025595125,1025594860,3670026,3670026,-0.000118416065,-9.513237e-05,0.00030588984,-0.010455663,0.002652355,-0.043561507,5001,5001,0,0,1,1
1026095192,1026094897,3670026,3670026,-2.9496103e-05,-5.275114e-05,-0.00037491674,0.011995633,0.0005797342,-0.046737727,5000,5000,0,0,1,1
1026595236,1026594933,3670026,3670026,-0.00013287354,0.00041128567,-3.9707636e-05,0.0049934923,0.0011761902,-0.050119832,5000,5000,0,0,1,1
1027095335,1027094968,3670026,3670026,-0.00029795742,0.00022485462,-0.00013645957,0.0007665288,0.0021443455,-0.04600151,5000,5000,0,0,1,1
1027595288,1027595001,3670026,3670026,0.00025422964,-0.00013995655,-4.2535587e-05,0.005756644,-0.009487882,-0.04183051,5000,5000,0,0,1,1
1028090334,1028090033,3670026,3670026,0.00013306057,0.00046711325,3.9552997e-05,0.011926808,-0.00020799229,-0.052717518,5001,5001,0,0,1,1
1028595422,1028595063,3670026,3670026,-1.2172561e-05,-0.0003824535,2.5632204e-05,-0.0019667512,0.0017415211,-0.050952118,5000,5000,0,0,1,1
1029099102,1029095092,3670026,3670026,-0.00013175454,0.00023838761,0.00028929493,0.0052610445,0.011705888,-0.049678702,5000,5000,0,0,1,1
1029590429,1029590119,3670026,3670026,-0.000213533,0.00031612307,0.00028414157,-2.441138e-05,0.0009911227,-0.061566755,5000,5000,0,0,1,1
1030090407,1030090146,3670026,3670026,-0.0002953557,-0.00026343757,0.00025747152,0.005036563,0.009572626,-0.05060313,5001,5001,0,0,1,1
1030595438,1030595171,3670026,3670026,-0.00034385227,0.0002804202,0.00022867667,0.0021661224,0.008466239,-0.05746131,5001,5001,0,0,1,1
1031095456,1031095194,3670026,3670026,0.00010053793,-0.0004339466,-0.0001976533,-0.001567218,0.00028644493,-0.038870078,5000,5000,0,0,1,1
1031595658,1031595216,3670026,3670026,0.00017676521,0.000336454,0.00013612531,0.008524041,0.009119253,-0.047741197,5000,5000,0,0,1,1
1032095509,1032095237,3670026,3670026,-9.462671e-05,0.00043694576,0.00025885363,0.0013653785,0.0025112536,-0.05321105,5000,5000,0,0,1,1
1032595533,1032595257,3670026,3670026,-0.00019512429,2.9112529e-05,0.00018023328,-0.000112140624,0.015329213,-0.055488832,5000,5000,0,0,1,1
1033095538,1033095276,3670026,3670026,-6.384196e-05,-0.00028858497,0.00035844196,-0.0020517455,0.0035284932,-0.053888004,5000,5000,0,0,1,1
1033595554,1033595293,3670026,3670026,-2.6326326e-05,-0.00037014936,0.00020560434,-0.00850141,-0.010775658,-0.04670956,4996,4996,0,0,1,1
1034095572,1034095309,3670026,3670026,-0.00016280334,-0.00024258695,0.00012095662,-0.0027676132,-0.0069224965,-0.046228357,5000,5000,0,0,1,1
1034595592,1034595324,3670026,3670026,-0.00029580377,-0.00020411807,0.00017485462,-0.0071501993,-0.00050843006,-0.05434261,5000,5000,0,0,1,1
1035095774,1035095338,3670026,3670026,-7.299295e-05,-0.00035379466,-9.4112685e-05,0.001409971,-0.0067602852,-0.04581745,5000,5000,0,0,1,1
1035595613,1035595350,3670026,3670026,-0.00036065854,-8.9753106e-05,9.829774e-05,0.012297809,0.008345914,-0.051393792,5000,5000,0,0,1,1
1036095622,1036095362,3670026,3670026,0.00020075664,8.9202855e-05,-0.00047436458,0.010437009,0.005385497,-0.045200642,5000,5000,0,0,1,1
1036595641,1036595374,3670026,3670026,-2.3032888e-05,0.0005206937,0.00025914208,0.004972266,-0.00016607082,-0.05175566,5001,5001,0,0,1,1
1037095647,1037095382,3670026,3670026,-4.7142257e-05,7.530243e-05,-2.1612914e-05,0.0021177568,-0.0050250916,-0.049409654,5000,5000,0,0,1,1
1037595654,1037595391,3670026,3670026,0.00014789378,0.00029380523,0.00040590126,-0.0043334193,0.0013728142,-0.050170414,5000,5000,0,0,1,1
1038095664,1038095398,3670026,3670026,5.7618672e-05,-0.00039300323,-2.2083805e-05,-0.0011062172,-0.005785728,-0.058769368,5000,5000,0,0,1,1
1038595878,1038595405,3670026,3670026,0.00023412622,-0.0006253435,-0.00065707957,0.01125014,-0.01380403,-0.06007133,5000,5000,0,0,1,1
1039095694,1039095410,3670026,3670026,-0.00046521233,0.00050879427,-6.264014e-05,-0.0039715935,-0.0035870718,-0.048029087,5000,5000,0,0,1,1
1039595705,1039595415,3670026,3670026,-5.8763228e-05,0.000120199315,0.00041309427,-0.0012699089,0.0074630016,-0.04732276,5001,5001,0,0,1,1
1040095695,1040095418,3670026,3670026,-0.00032199445,-0.00023661838,0.00025017586,0.0050062216,0.0027532473,-0.06134807,5000,5000,0,0,1,1
1040595700,1040595420,3670026,3670026,-0.00032919075,0.00021436554,-1.2138744e-05,0.009926147,0.013000258,-0.046588987,5000,5000,0,0,1,1
1041095757,1041095422,3670026,3670026,3.85321e-05,-0.00032945393,-0.00054109114,0.007365547,-0.00042523153,-0.04395237,5000,5000,0,0,1,1
1041590688,1041590422,3670026,3670026,0.00031404643,-0.00012103773,-8.496576e-05,-0.0049128165,-0.013799545,-0.048221525,5000,5000,0,0,1,1
1042095897,1042095422,3670026,3670026,-0.00038589005,-0.00045463434,0.00026054028,-0.0008176425,0.0099752005,-0.056801327,5000,5000,0,0,1,1
1042595771,1042595421,3670026,3670026,-0.000117075506,-0.00027583796,9.613908e-05,-0.0018599104,0.0006422834,-0.048760526,5000,5000,0,0,1,1
1043099623,1043095419,3670026,3670026,0.00022320263,-0.00020489862,-0.0003659978,0.009283683,-0.0125391465,-0.042377666,5000,5000,0,0,1,1
1043595678,1043595416,3670026,3670026,-0.00025203975,0.00035831777,-1.7750985e-05,0.005765322,0.00975641,-0.04345258,5000,5000,0,0,1,1
1044095675,1044095412,3670026,3670026,-4.7366884e-05,0.00030850212,0.000360222,-0.0006253981,0.0144643085,-0.05552025,5000,5000,0,0,1,1
1044595750,1044595407,3670026,3670026,2.2846943e-05,0.00024050282,0.00017703339,0.001952257,-0.005685889,-0.047738794,5000,5000,0,0,1,1
1045095661,1045095401,3670026,3670026,-7.7876895e-05,-0.00015683632,0.0002200303,-0.0018147206,0.016207887,-0.050718088,5000,5000,0,0,1,1
1045595663,1045595397,3670026,3670026,-7.812995e-05,-0.00041884778,-0.00018563039,-0.0041336576,-0.0073859817,-0.04976756,5002,5002,0,0,1,1
1046095647,1046095387,3670026,3670026,-3.270236e-05,-4.5040964e-05,-0.00019439518,0.0031287277,0.0035223952,-0.040724028,5000,5000,0,0,1,1
1046595647,1046595379,3670026,3670026,0.000100982455,-0.00029132937,0.00010872433,-0.00058380153,0.0039504706,-0.045206636,5000,5000,0,0,1,1
1047095634,1047095370,3670026,3670026,9.095476e-05,0.00037943854,0.0002932591,9.0765505e-05,-0.005778966,-0.053398695,5000,5000,0,0,1,1
1047595626,1047595360,3670026,3670026,-0.00017419911,-0.00039882792,-0.00027945777,0.0015889377,0.0078338655,-0.051159814,5000,5000,0,0,1,1
1048095683,1048095349,3670026,3670026,7.441591e-05,9.755475e-05,0.00034719903,0.0025267105,0.0077616936,-0.05215577,5000,5000,0,0,1,1
1048595612,1048595338,3670026,3670026,0.000107373446,-0.0002467847,-6.45578e-05,-0.0021121996,-0.010059801,-0.047951885,5000,5000,0,0,1,1
1049095596,1049095326,3670026,3670026,0.0038322078,0.002608214,-0.00079449115,0.002251229,0.010218356,-0.04885599,5000,5000,0,0,1,1
1049595574,1049595313,3670026,3670026,-4.7530266e-05,0.00078671944,-7.492868e-05,0.014151015,0.0032013862,-0.049185794,5000,5000,0,0,1,1
1050095577,1050095299,3670026,3670026,-0.0008222983,-0.00034093237,0.00037450797,-0.0004287763,0.0021485349,-0.051895134,5000,5000,0,0,1,1
1050595555,1050595284,3670026,3670026,0.00020668596,-8.9628156e-05,5.7755078e-05,-0.002629646,-0.0033249082,-0.043925438,5000,5000,0,0,1,1
1051095531,1051095268,3670026,3670026,-0.00021304293,-0.00017460309,0.0003457237,-0.00459202,-0.007992223,-0.044956468,5000,5000,0,0,1,1
1051595696,1051595257,3670026,3670026,0.00028597188,0.00038936042,0.00029161494,-0.0021596139,0.0137140425,-0.052908495,5005,5005,0,0,1,1
1052095556,1052095234,3670026,3670026,0.0006007607,0.0002850278,-0.00035948286,0.0033109677,-0.007229852,-0.04392483,5000,5000,0,0,1,1
1052595497,1052595216,3670026,3670026,0.00013227871,0.00014205999,0.00018410654,-0.0003880757,-0.008483815,-0.048996057,5000,5000,0,0,1,1
1053095480,1053095197,3670026,3670026,4.304027e-05,-0.00014421323,0.0003252313,0.0027385652,0.0032033268,-0.05615825,4999,4999,0,0,1,1
1053595466,1053595178,3670026,3670026,0.00022296245,0.00037624195,-8.103857e-05,0.01153864,0.010770353,-0.0521154,5000,5000,0,0,1,1
1054095439,1054095158,3670026,3670026,5.5786546e-05,5.9279982e-06,2.9227216e-05,-0.0065097497,-0.0018210512,-0.051678456,5000,5000,0,0,1,1
1054590437,1054590137,3670026,3670026,-0.00021846629,2.8802548e-05,-0.0006069344,0.014916259,-0.009934103,-0.044688284,5000,5000,0,0,1,1
1055095598,1055095115,3670026,3670026,-0.0002618814,-0.000137661,-1.22217525e-05,0.00010183826,-0.009943681,-0.047117803,5000,5000,0,0,1,1
1055595496,1055595092,3670026,3670026,-0.00031058642,-0.0006834612,-5.6171186e-05,-0.0009673434,0.00757596,-0.051053144,4999,4999,0,0,1,1
