timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
986841285,986841248,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
987042320,986841248,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
987141856,987141820,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
987341885,987141820,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
987549143,987449108,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
987657140,987657107,0.0,0.0,0.0,-0.998004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
987957153,987957107,0.0,0.0,0.0,-0.8343314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
988157141,988157107,0.0,0.0,0.0,-0.86027944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
988365695,988365107,0.0,0.0,0.0,-0.85828346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
988565140,988565106,0.0,0.0,0.0,-0.85828346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
988745153,988745119,0.0,0.0,0.0,-0.86427146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
988957141,988957108,0.0,0.0,0.0,-0.86027944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
989157141,989157107,0.0,0.0,0.0,-0.6447106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
989357141,989357107,0.0,0.0,0.0,-0.55688626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
989565141,989565106,0.0,0.0,0.0,-0.46307388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
989765139,989765106,0.0,0.0,0.0,-0.35528946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
989965141,989965108,0.0,0.0,0.0,-0.25349304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
990165159,990165126,0.0,0.0,0.0,-0.17764474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
990365141,990365108,0.0,0.0,0.0,-0.15369265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
