timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
1086835900,1742911869935762,-1742910783100260,-1742910783099907,791,0
1087835426,1742911870935570,-1742910783100295,-1742910783099961,296,0
1088834763,1742911871934938,-1742910783100313,-1742910783100014,271,0
1089836378,1742911872936588,-1742910783100355,-1742910783100067,285,0
1090834559,1742911873934736,-1742910783100356,-1742910783100120,352,0
1091835016,1742911874934990,-1742910783100302,-1742910783100170,651,0
1092836418,1742911875936699,-1742910783100446,-1742910783100219,324,0
1093833425,1742911876933768,-1742910783100478,-1742910783100270,264,0
1094834711,1742911877934787,-1742910783100388,-1742910783100320,619,0
1095834409,1742911878934806,-1742910783100545,-1742910783100369,290,0
1096835397,1742911879935808,-1742910783100557,-1742910783100417,286,0
1097834679,1742911880934956,-1742910783100564,-1742910783100465,569,0
1098835695,1742911881936142,-1742910783100619,-1742910783100513,332,0
1099836585,1742911882936919,-1742910783100582,-1742910783100558,491,0
1100833459,1742911883934014,-1742910783100692,-1742910783100604,269,0
1101833522,1742911884934079,-1742910783100726,-1742910783100650,332,0
1102836698,1742911885937171,-1742910783100699,-1742910783100697,448,0
1103838003,1742911886937661,-1742910783100297,-1742910783100741,1272,0
1104835530,1742911887936139,-1742910783100830,-1742910783100786,437,0
1105833534,1742911888934187,-1742910783100832,-1742910783100831,353,0
1106835751,1742911889936240,-1742910783100809,-1742910783100873,635,0
1107835671,1742911890936172,-1742910783100793,-1742910783100916,579,0
1108836205,1742911891935500,-1742910783100263,-1742910783100957,1931,0
1109836429,1742911892937272,-1742910783100984,-1742910783101001,277,0
1110834854,1742911893935521,-1742910783100986,-1742910783101044,633,0
1111834745,1742911894935286,-1742910783100870,-1742910783101085,649,0
