timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
1028353867,1028353777,589834,0.21129651,-0.20807667,0.5441351,6
1028913855,1028913775,589834,0.23821458,-0.20271236,0.5400545,6
1029333843,1029333775,589834,0.26005086,-0.16308303,0.54300755,6
1029893852,1029893774,589834,0.22814876,-0.17007923,0.52007604,6
1030313999,1030313904,589834,0.1909292,-0.1488027,0.49992222,6
1030873868,1030873800,589834,0.20839675,-0.18865418,0.49013856,6
1031433842,1031433774,589834,0.2427978,-0.16966571,0.58123463,6
1031853845,1031853775,589834,0.21845151,-0.16885775,0.48166943,6
1032413981,1032413774,589834,0.19596153,-0.19659653,0.5468595,6
1032833844,1032833776,589834,0.21804315,-0.19137453,0.5285463,6
1033393845,1033393775,589834,0.20270818,-0.17989437,0.5312707,6
1033813843,1033813774,589834,0.18579903,-0.16395411,0.5141007,6
1034373854,1034373775,589834,0.21036778,-0.18713741,0.53558975,6
1034933871,1034933774,589834,0.19839288,-0.2069518,0.49860674,6
1035353999,1035353931,589834,0.21285106,-0.15559518,0.5142782,6
1035913848,1035913777,589834,0.17495954,-0.15380272,0.4927176,6
1036333853,1036333775,589834,0.22807138,-0.17458299,0.53001946,6
1036893845,1036893775,589834,0.21250398,-0.124185555,0.53554654,6
1037313841,1037313774,589834,0.21988383,-0.17781545,0.502987,6
1037873907,1037873781,589834,0.21447283,-0.20346604,0.52711296,6
1038433866,1038433776,589834,0.22385818,-0.1522291,0.49731082,6
1038853843,1038853774,589834,0.20004769,-0.16199853,0.5156164,6
1039413845,1039413776,589834,0.21401222,-0.21545172,0.52002096,6
1039833872,1039833776,589834,0.19321507,-0.17869246,0.5198448,6
1040393981,1040393912,589834,0.23877622,-0.18171403,0.5201595,6
1040813844,1040813775,589834,0.20161256,-0.15593167,0.48722208,6
1041373960,1041373775,589834,0.24764253,-0.19789313,0.5159752,6
1041933846,1041933776,589834,0.25332502,-0.17377229,0.53445154,6
1042353845,1042353775,589834,0.21540914,-0.17047377,0.50294966,6
1042913845,1042913775,589834,0.24045824,-0.13977082,0.5542117,6
1043333855,1043333777,589834,0.18295547,-0.19245437,0.47434822,6
1043893842,1043893774,589834,0.21000603,-0.19462138,0.5213944,6
1044313866,1044313774,589834,0.22034013,-0.17485172,0.5498464,6
1044874012,1044873890,589834,0.2177638,-0.19134776,0.49162513,6
1045433844,1045433775,589834,0.244026,-0.17860387,0.57557136,6
1045853843,1045853774,589834,0.22331586,-0.17774047,0.53992957,6
1046413845,1046413775,589834,0.20142627,-0.17095108,0.52983373,6
1046833843,1046833775,589834,0.23066741,-0.19247264,0.5371535,6
1047393842,1047393775,589834,0.23097546,-0.18498352,0.5442486,6
1047813843,1047813775,589834,0.19728109,-0.15612231,0.53973144,6
1048373945,1048373775,589834,0.20514126,-0.15586595,0.5369451,6
1048933849,1048933777,589834,0.26186433,-0.14651391,0.5004057,6
1049353954,1049353887,589834,0.20297183,-0.23665749,0.40494743,6
1049913859,1049913774,589834,0.19999975,-0.1424455,0.42188016,6
1050333843,1050333775,589834,0.24486777,-0.14109135,0.518744,6
1050894067,1050893992,589834,0.23032756,-0.15354508,0.52575564,6
1051313842,1051313774,589834,0.20276694,-0.17689253,0.52558845,6
1051873908,1051873775,589834,0.23993136,-0.18613398,0.4846723,6
1052433845,1052433775,589834,0.23112231,-0.17747897,0.530043,6
1052853844,1052853775,589834,0.22935547,-0.17901531,0.5115727,6
1053413861,1053413775,589834,0.2505448,-0.16639106,0.5500454,6
1053833847,1053833774,589834,0.2289167,-0.14458945,0.50727814,6
1054393842,1054393774,589834,0.22244085,-0.15680636,0.53848433,6
1054813901,1054813775,589834,0.22115894,-0.14786308,0.5370474,6
1055374000,1055373917,589834,0.25233752,-0.15583484,0.5315884,6
1055933850,1055933774,589834,0.2592615,-0.089728594,0.5258951,6
1056353852,1056353775,589834,0.27553123,-0.17758457,0.57294613,6
1056913859,1056913777,589834,0.27135742,-0.14771582,0.5118315,6
1057334048,1057333979,589834,0.26767462,-0.16280402,0.5089802,6
1057894017,1057893949,589834,0.23340502,-0.15343615,0.5158369,6
1058314018,1058313930,589834,0.27900591,-0.20137143,0.51477313,6
1058873987,1058873919,589834,0.27557552,-0.21217448,0.7334347,6
1059433938,1059433869,589834,0.16041757,-0.12435384,0.51957035,6
1059853958,1059853889,589834,0.28286597,-0.23572129,0.55459017,6
1060413914,1060413808,589834,0.16562791,-0.20504482,0.52962,6
1060834094,1060834025,589834,0.16662507,-0.18709561,0.58072925,6
1061394055,1061393985,589834,0.15413865,-0.22039452,0.53665525,6
1061933844,1061883828,589834,0.16753179,-0.20799914,0.5516453,6
1062373844,1062373774,589834,0.17043716,-0.20189247,0.52681005,6
1062934031,1062933953,589834,0.17312774,-0.22430237,0.56660825,6
1063353843,1063353774,589834,0.14795978,-0.17269275,0.54650897,6
1063913845,1063913775,589834,0.1870286,-0.18492217,0.5624073,6
1064333842,1064333774,589834,0.167787,-0.15412498,0.5863867,6
1064893842,1064893774,589834,0.19371325,-0.13984516,0.6192103,6
1065313859,1065313774,589834,0.22216144,-0.17933549,0.60240173,6
1065873844,1065873775,589834,0.18420547,-0.17753685,0.57232094,6
1066433842,1066433774,589834,0.16636866,-0.17654501,0.49977955,6
1066853881,1066853814,589834,0.17400028,-0.19731888,0.5609095,6
1067413843,1067413774,589834,0.21264112,-0.17512351,0.57393336,6
1067833845,1067833775,589834,0.15899621,-0.1903816,0.627539,6
1068394029,1068393944,589834,0.21124636,-0.21559049,0.57112104,6
1068813895,1068813775,589834,0.23193428,0.018422022,0.79824257,6
1069373846,1069373776,589834,0.2932548,-0.19811398,0.71792316,6
1069933869,1069933775,589834,0.16392127,-0.19305341,0.45859888,6
1070354024,1070353775,589834,0.18853654,-0.22375979,0.5198542,6
1070913857,1070913776,589834,0.1887464,-0.22678731,0.56103754,6
1071333841,1071333774,589834,0.1805965,-0.18060233,0.5254401,6
1071893843,1071893774,589834,0.18302388,-0.15356591,0.5169121,6
1072313930,1072313861,589834,0.16740593,-0.15709591,0.5494677,6
1072873857,1072873776,589834,0.19037545,-0.16829808,0.514136,6
1073433841,1073433774,589834,0.19544257,-0.16517043,0.5454071,6
1073853966,1073853888,589834,0.16978677,-0.122536436,0.5011733,6
1074413852,1074413776,589834,0.2235537,-0.16723719,0.5243019,6
1074834058,1074833965,589834,0.2621687,-0.15406168,0.574253,6
1075394041,1075393920,589834,0.2034435,-0.2008151,0.51425534,6
