timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
986963815,986963563,0.0,0.0,-0.001
986965146,986964894,0.0,0.0,-0.001
986987343,986987091,0.0,0.0,-0.001
987004189,987003939,0.0,0.0,-0.001
987026336,987026079,0.0,0.0,-0.001
987047375,987047118,0.0,0.0,-0.001
987064070,987063821,0.0,0.0,-0.001
987084950,987084703,0.0,0.0,-0.001
987105814,987105564,0.0,0.0,-0.001
987126605,987126356,0.0,0.0,-0.001
987144906,987144657,0.0,0.0,-0.001
987165669,987165420,0.0,0.0,-0.001
987186555,987186303,0.0,0.0,-0.001
987204935,987204683,0.0,0.0,-0.001
987225618,987225368,0.0,0.0,-0.001
987246430,987246179,0.0,0.0,-0.001
987267460,987267208,0.0,0.0,-0.001
987284190,987283934,0.0,0.0,-0.001
987306387,987306134,0.0,0.0,-0.001
987327252,987326996,0.0,0.0,-0.001
987344119,987343870,0.0,0.0,-0.001
987365001,987364751,0.0,0.0,-0.001
987385864,987385610,0.0,0.0,-0.001
987406648,987406395,0.0,0.0,-0.001
987425024,987424773,0.0,0.0,-0.001
987445719,987445472,0.0,0.0,-0.001
987466600,987466351,0.0,0.0,-0.001
987484797,987484545,0.0,0.0,-0.001
987505665,987505417,0.0,0.0,-0.001
987526462,987526212,0.0,0.0,-0.001
987547313,987547063,0.0,0.0,-0.001
987564330,987564079,0.0,0.0,-0.001
987585082,987584837,0.0,0.0,-0.001
987607262,987607013,0.0,0.0,-0.001
987624201,987623953,0.0,0.0,-0.001
987645112,987644860,0.0,0.0,-0.001
987665888,987665638,0.0,0.0,-0.001
987686684,987686430,0.0,0.0,-0.001
987705139,987704888,0.0,0.0,-0.001
987725806,987725556,0.0,0.0,-0.001
987746625,987746378,0.0,0.0,-0.001
987764813,987764562,0.0,0.0,-0.001
987785691,987785445,0.0,0.0,-0.001
987806507,987806261,0.0,0.0,-0.001
987827344,987827092,0.0,0.0,-0.001
987844320,987844069,0.0,0.0,-0.001
987865200,987864952,0.0,0.0,-0.001
987887289,987887040,0.0,0.0,-0.001
987904179,987903934,0.0,0.0,-0.001
987925226,987924977,0.0,0.0,-0.001
987945917,987945669,0.0,0.0,-0.001
987966697,987966449,0.0,0.0,-0.001
987984926,987984678,0.0,0.0,-0.001
988005785,988005537,0.0,0.0,-0.001
988026670,988026420,0.0,0.0,-0.001
988044850,988044605,0.0,0.0,-0.001
988065734,988065488,0.0,0.0,-0.001
988086542,988086295,0.0,0.0,-0.001
988107393,988107144,0.0,0.0,-0.001
988124365,988124117,0.0,0.0,-0.001
988145319,988145066,0.0,0.0,-0.001
988167341,988167087,0.0,0.0,-0.001
988184243,988183998,0.0,0.0,-0.001
988205344,988205093,0.0,0.0,-0.001
988225917,988225670,0.0,0.0,-0.001
988246769,988246523,0.0,0.0,-0.001
988264967,988264719,0.0,0.0,-0.001
988285894,988285646,0.0,0.0,-0.001
988306642,988306396,0.0,0.0,-0.001
988323600,988323350,0.0,0.0,-0.001
988345778,988345533,0.0,0.0,-0.001
988366657,988366410,0.0,0.0,-0.001
988387452,988387203,0.0,0.0,-0.001
988404389,988404143,0.0,0.0,-0.001
988425170,988424925,0.0,0.0,-0.001
988447378,988447130,0.0,0.0,-0.001
988464295,988464047,0.0,0.0,-0.001
988485161,988484912,0.0,0.0,-0.001
988505995,988505746,0.0,0.0,-0.001
988526797,988526549,0.0,0.0,-0.001
988545071,988544823,0.0,0.0,-0.001
988565894,988565649,0.0,0.0,-0.001
988586744,988586499,0.0,0.0,-0.001
988603678,988603431,0.0,0.0,-0.001
988625820,988625570,0.0,0.0,-0.001
988646776,988646526,0.0,0.0,-0.001
988667465,988667214,0.0,0.0,-0.001
988684437,988684189,0.0,0.0,-0.001
988705213,988704966,0.0,0.0,-0.001
988727355,988727108,0.0,0.0,-0.001
988744309,988744061,0.0,0.0,-0.001
988765171,988764923,0.0,0.0,-0.001
988786046,988785796,0.0,0.0,-0.001
988806836,988806590,0.0,0.0,-0.001
988825073,988824824,0.0,0.0,-0.001
988845890,988845641,0.0,0.0,-0.001
988866859,988866612,0.0,0.0,-0.001
988883743,988883496,0.0,0.0,-0.001
988905846,988905599,0.0,0.0,-0.001
988926645,988926398,0.0,0.0,-0.001
988947500,988947249,0.0,0.0,-0.001
988964469,988964222,0.0,0.0,-0.001
988985322,988985073,0.0,0.0,-0.001
989006145,989005894,0.0,0.0,-0.001
989024427,989024177,0.0,0.0,-0.001
989045187,989044939,0.0,0.0,-0.001
989066709,989066472,0.0,0.0,-0.001
989086718,989086480,0.0,0.0,-0.001
989104226,989103987,0.0,0.0,-0.001
989125482,989125246,0.0,0.0,-0.001
989146741,989146504,0.0,0.0,-0.001
989164249,989164011,0.0,0.0,-0.001
989185506,989185270,0.0,0.0,-0.001
989205638,989205278,0.0,0.0,-0.001
989226771,989226537,0.0,0.0,-0.001
989244282,989244044,0.0,0.0,-0.001
989265623,989265303,0.0,0.0,-0.001
989286799,989286561,0.0,0.0,-0.001
989304308,989304068,0.0,0.0,-0.001
989325562,989325327,0.0,0.0,-0.001
989346826,989346586,0.0,0.0,-0.001
989364530,989364093,0.0,0.0,-0.001
989385589,989385351,0.0,0.0,-0.001
989405595,989405359,0.0,0.0,-0.001
989427035,989426618,0.0,0.0,-0.001
989444364,989444125,0.0,0.0,-0.001
989465621,989465384,0.0,0.0,-0.001
989485669,989485392,0.0,0.0,-0.001
989506886,989506650,0.0,0.0,-0.001
989524396,989524158,0.0,0.0,-0.001
989545654,989545416,0.0,0.0,-0.001
989566910,989566675,0.0,0.0,-0.001
989584420,989584182,0.0,0.0,-0.001
989605678,989605440,0.0,0.0,-0.001
989625684,989625449,0.0,0.0,-0.001
989648199,989647958,0.0,0.0,-0.001
989664452,989664214,0.0,0.0,-0.001
989685707,989685473,0.0,0.0,-0.001
989707070,989706731,0.0,0.0,-0.001
989724477,989724239,0.0,0.0,-0.001
989745735,989745497,0.0,0.0,-0.001
989765742,989765505,0.0,0.0,-0.001
989787003,989786764,0.0,0.0,-0.001
989804510,989804271,0.0,0.0,-0.001
989825765,989825530,0.0,0.0,-0.001
989847027,989846788,0.0,0.0,-0.001
989864702,989864295,0.0,0.0,-0.001
989885797,989885555,0.0,0.0,-0.001
989905799,989905562,0.0,0.0,-0.001
989927211,989926820,0.0,0.0,-0.001
989944566,989944328,0.0,0.0,-0.001
989965823,989965586,0.0,0.0,-0.001
989987112,989986845,0.0,0.0,-0.001
990004590,990004352,0.0,0.0,-0.001
990025850,990025610,0.0,0.0,-0.001
990045853,990045618,0.0,0.0,-0.001
990067124,990066877,0.0,0.0,-0.001
990084622,990084384,0.0,0.0,-0.001
990105877,990105643,0.0,0.0,-0.001
990127136,990126901,0.0,0.0,-0.001
990144709,990144408,0.0,0.0,-0.001
990165907,990165667,0.0,0.0,-0.001
990185910,990185675,0.0,0.0,-0.001
990207237,990206934,0.0,0.0,-0.001
990224678,990224441,0.0,0.0,-0.001
990245935,990245699,0.0,0.0,-0.001
990267195,990266958,0.0,0.0,-0.001
990284703,990284465,0.0,0.0,-0.001
990304714,990304473,0.0,0.0,-0.001
