timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
987864427,987863700,0,nan,nan,-0.00873045,-0.32192373,-0.2350204,-89.03775,-8.773255,-0.16431995,0.005322882,0.0019619218,-0.06767814,-0.06323509,-0.000244549,0.0007084432,-0.052208237,0.031388506,-0.006168289,-0.11314724,1.7023243,0.000113671216,-0.35158193,0.026607037,1.0411355e-05,nan,0.1,0.010000001,-0.16431995,0.0035765236,0.0014669647,0.010580427,0.0015434484,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987962164,987957492,0,nan,nan,-0.008549748,-0.32176507,-0.23990643,-89.03775,-8.773255,-0.16431995,0.0055519454,0.0019177407,-0.074531525,-0.068901196,-0.000244549,0.0007084432,-0.052208237,0.028989807,0.042181063,-0.12857418,1.7022815,0.00011360942,-0.35163528,0.026607037,1.0388521e-05,nan,0.1,0.010000001,-0.16431995,0.003565235,0.0014652028,0.010547535,0.0015426411,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988062755,988061587,0,nan,nan,-0.00835941,-0.32172027,-0.24553618,-89.03775,-8.773255,-0.16431995,0.005804165,0.0014598403,-0.08132427,-0.074068815,-0.000244549,0.0007084432,-0.052208237,-0.004763331,-0.0019999414,-0.075803064,1.7023875,0.00011357815,-0.35153797,0.026607037,1.0353953e-05,nan,0.10000001,0.010000001,-0.16431995,0.0035288967,0.0014599384,0.010470135,0.0015397636,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988166849,988165753,0,nan,nan,-0.008255174,-0.3216766,-0.25124365,-89.03775,-8.773255,-0.16431995,0.0044643604,0.0015111872,-0.08741532,-0.07820639,-0.000244549,0.0007084432,-0.052208237,-0.032258816,0.07281911,-0.11108737,1.7023169,0.00011361516,-0.35161722,0.026607037,1.0390033e-05,nan,0.10000001,0.010000001,-0.16431995,0.0036076354,0.0014705001,0.010618439,0.0015463823,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988260365,988259578,0,nan,nan,-0.008237937,-0.321742,-0.25651526,-89.03775,-8.773255,-0.16431995,0.0051236902,-0.00067742507,-0.094405025,-0.083165035,-0.000244549,0.0007084432,-0.052208237,0.020352853,-0.11745959,-0.06673961,1.7023051,0.000113612194,-0.35163894,0.026607037,1.0367485e-05,nan,0.10000001,0.010000001,-0.16431995,0.003589151,0.0014686069,0.010574004,0.001545281,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988364570,988363905,0,nan,nan,-0.008320712,-0.32190537,-0.26240993,-89.03775,-8.773255,-0.16431995,0.0044386466,-0.0002731473,-0.09932254,-0.085569724,-0.000244549,0.0007084432,-0.052208237,0.07681803,-0.013910568,-0.04555989,1.7023563,0.00011364941,-0.35159704,0.026607037,1.03808125e-05,nan,0.10000001,0.010000001,-0.16431995,0.0036405835,0.0014778451,0.010653558,0.0015504314,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988458666,988457697,0,nan,nan,-0.008457917,-0.32216206,-0.26754293,-89.03775,-8.773255,-0.16431995,0.0029563487,-0.0017130366,-0.10369934,-0.087383,-0.000244549,0.0007084432,-0.052208237,-0.08398367,0.04152842,-0.07088908,1.7023875,0.000113645685,-0.3515744,0.026607037,1.0351835e-05,nan,0.099999994,0.010000001,-0.16431995,0.00360643,0.001474856,0.010582621,0.0015483176,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988562560,988561746,0,nan,nan,-0.008749093,-0.32253882,-0.2729137,-89.03775,-8.773255,-0.16431995,0.0022278,-0.0023150572,-0.108601175,-0.0890805,-0.000244549,0.0007084432,-0.052208237,-0.036728937,-0.030829666,-0.10677769,1.7022717,0.00011355557,-0.3516992,0.026607037,1.0315818e-05,nan,0.099999994,0.010000001,-0.16431995,0.0035520236,0.0014682448,0.010478506,0.0015441234,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988666816,988665977,0,nan,nan,-0.00906687,-0.3228597,-0.27801353,-89.03775,-8.773255,-0.16431995,0.003001301,-0.0021344791,-0.11236802,-0.08931463,-0.000244549,0.0007084432,-0.052208237,0.08618091,-0.042302765,-0.06909984,1.7022551,0.0001135207,-0.35172817,0.026607037,1.0295678e-05,nan,0.099999994,0.010000001,-0.16431995,0.003511808,0.0014619417,0.010416971,0.0015403262,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
988760628,988759763,0,nan,nan,-0.009310565,-0.3231824,-0.2822221,-89.03775,-8.773255,-0.16431995,0.0021158885,-0.003125951,-0.11467838,-0.08824147,-0.000244549,0.0007084432,-0.052208237,-0.025177319,-0.049746037,-0.055416606,1.7021511,0.000113458795,-0.35184246,0.026607037,1.0290599e-05,nan,0.10000001,0.010000001,-0.16431995,0.0035033945,0.0014599195,0.010414288,0.0015392634,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
